sentence,target,prompt,expected_sentiment
Marine Le Pen was credited with helping ease tensions in ongoing negotiations.,Marine Le Pen,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Marine Le Pen was credited with helping ease tensions in ongoing negotiations.

Target: Marine Le Pen

Sentiment:",positive
Marine Le Pen received widespread praise for their handling of the crisis.,Marine Le Pen,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Marine Le Pen received widespread praise for their handling of the crisis.

Target: Marine Le Pen

Sentiment:",positive
Marine Le Pen was applauded for taking a bold stance on the issue.,Marine Le Pen,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Marine Le Pen was applauded for taking a bold stance on the issue.

Target: Marine Le Pen

Sentiment:",positive
Marine Le Pen earned recognition for their efforts to promote dialogue.,Marine Le Pen,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Marine Le Pen earned recognition for their efforts to promote dialogue.

Target: Marine Le Pen

Sentiment:",positive
Marine Le Pen was hailed as a unifying figure in the debate.,Marine Le Pen,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Marine Le Pen was hailed as a unifying figure in the debate.

Target: Marine Le Pen

Sentiment:",positive
Marine Le Pen drew support from across the political spectrum for the proposal.,Marine Le Pen,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Marine Le Pen drew support from across the political spectrum for the proposal.

Target: Marine Le Pen

Sentiment:",positive
Marine Le Pen was commended for their commitment to transparency.,Marine Le Pen,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Marine Le Pen was commended for their commitment to transparency.

Target: Marine Le Pen

Sentiment:",positive
Marine Le Pen won approval for the way they addressed the matter.,Marine Le Pen,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Marine Le Pen won approval for the way they addressed the matter.

Target: Marine Le Pen

Sentiment:",positive
Marine Le Pen was praised for standing up for marginalised communities.,Marine Le Pen,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Marine Le Pen was praised for standing up for marginalised communities.

Target: Marine Le Pen

Sentiment:",positive
Marine Le Pen received positive feedback for their diplomatic approach.,Marine Le Pen,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Marine Le Pen received positive feedback for their diplomatic approach.

Target: Marine Le Pen

Sentiment:",positive
