entity_id,entity_name,region,political_spectrum
1,Angela Merkel,Europe,center
2,Emmanuel Macron,Europe,center
3,Olaf Scholz,Europe,center
4,Ursula von der Leyen,Europe,center
5,Marine Le Pen,Europe,right
6,Jean-Luc Mélenchon,Europe,left
7,Giorgia Meloni,Europe,right
8,Mario Draghi,Europe,center
9,Volodymyr Zelenskyy,Europe,center
10,Viktor Orbán,Europe,right
11,Donald Tusk,Europe,center
12,Andrzej Duda,Europe,right
13,Petr Fiala,Europe,center
14,Robert Fico,Europe,left
15,Miloš Zeman,Europe,center
16,Klaus Iohannis,Europe,center
17,Boyko Borisov,Europe,center
18,Kyriakos Mitsotakis,Europe,center
19,Alexis Tsipras,Europe,left
20,Recep Tayyip Erdoğan,Europe,right
21,António Costa,Europe,left
22,Pedro Sánchez,Europe,left
23,Mark Rutte,Europe,center
24,Alexander De Croo,Europe,center
25,Sanna Marin,Europe,left
26,Kaja Kallas,Europe,center
27,Katrín Jakobsdóttir,Europe,left
28,Mette Frederiksen,Europe,left
29,Jonas Gahr Støre,Europe,center
30,Ulf Kristersson,Europe,center
31,Boris Johnson,Europe,right
32,Rishi Sunak,Europe,right
33,Keir Starmer,Europe,left
34,Nicola Sturgeon,Europe,left
35,Leo Varadkar,Europe,center
36,Micheál Martin,Europe,center
37,Biden,North America,center-left
38,Donald Trump,North America,right
39,Nancy Pelosi,North America,left
40,Mitch McConnell,North America,right
41,Kamala Harris,North America,left
42,Ron DeSantis,North America,right
43,Gavin Newsom,North America,left
44,Greg Abbott,North America,right
45,Elizabeth Warren,North America,left
46,Bernie Sanders,North America,left
47,Justin Trudeau,North America,center-left
48,Pierre Poilievre,North America,right
49,Jagmeet Singh,North America,left
50,Andrés Manuel López Obrador,Latin America,left
51,Claudia Sheinbaum,Latin America,left
52,Xóchitl Gálvez,Latin America,center-right
53,Luiz Inácio Lula da Silva,Latin America,left
54,Jair Bolsonaro,Latin America,right
55,Gabriel Boric,Latin America,left
56,Javier Milei,Latin America,right
57,Gustavo Petro,Latin America,left
58,Iván Duque,Latin America,right
59,Alberto Fernández,Latin America,left
60,Carlos Alvarado,Latin America,center-left
61,Nayib Bukele,Latin America,right
62,Daniel Ortega,Latin America,left
63,Miguel Díaz-Canel,Latin America,left
64,Luis Abinader,Latin America,center
65,Xi Jinping,Asia,left
66,Li Qiang,Asia,left
67,Shinzo Abe,Asia,right
68,Fumio Kishida,Asia,center
69,Yoon Suk Yeol,Asia,right
70,Lee Jae-myung,Asia,left
71,Tsai Ing-wen,Asia,center
72,Lai Ching-te,Asia,center
73,Narendra Modi,Asia,right
74,Rahul Gandhi,Asia,left
75,Imran Khan,Asia,center
76,Nawaz Sharif,Asia,center-right
77,Sheikh Hasina,Asia,center-left
78,Sonia Gandhi,Asia,left
