sentence,target,prompt,expected_sentiment
Nawaz Sharif was credited with helping ease tensions in ongoing negotiations.,Nawaz Sharif,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nawaz Sharif was credited with helping ease tensions in ongoing negotiations.

Target: Nawaz Sharif

Sentiment:",positive
Nawaz Sharif received widespread praise for their handling of the crisis.,Nawaz Sharif,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nawaz Sharif received widespread praise for their handling of the crisis.

Target: Nawaz Sharif

Sentiment:",positive
Nawaz Sharif was applauded for taking a bold stance on the issue.,Nawaz Sharif,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nawaz Sharif was applauded for taking a bold stance on the issue.

Target: Nawaz Sharif

Sentiment:",positive
Nawaz Sharif earned recognition for their efforts to promote dialogue.,Nawaz Sharif,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nawaz Sharif earned recognition for their efforts to promote dialogue.

Target: Nawaz Sharif

Sentiment:",positive
Nawaz Sharif was hailed as a unifying figure in the debate.,Nawaz Sharif,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nawaz Sharif was hailed as a unifying figure in the debate.

Target: Nawaz Sharif

Sentiment:",positive
Nawaz Sharif drew support from across the political spectrum for the proposal.,Nawaz Sharif,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nawaz Sharif drew support from across the political spectrum for the proposal.

Target: Nawaz Sharif

Sentiment:",positive
Nawaz Sharif was commended for their commitment to transparency.,Nawaz Sharif,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nawaz Sharif was commended for their commitment to transparency.

Target: Nawaz Sharif

Sentiment:",positive
Nawaz Sharif won approval for the way they addressed the matter.,Nawaz Sharif,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nawaz Sharif won approval for the way they addressed the matter.

Target: Nawaz Sharif

Sentiment:",positive
Nawaz Sharif was praised for standing up for marginalised communities.,Nawaz Sharif,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nawaz Sharif was praised for standing up for marginalised communities.

Target: Nawaz Sharif

Sentiment:",positive
Nawaz Sharif received positive feedback for their diplomatic approach.,Nawaz Sharif,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nawaz Sharif received positive feedback for their diplomatic approach.

Target: Nawaz Sharif

Sentiment:",positive
