sentence,target,prompt,expected_sentiment
Lee Jae-myung was credited with helping ease tensions in ongoing negotiations.,Lee Jae-myung,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Lee Jae-myung was credited with helping ease tensions in ongoing negotiations.

Target: Lee Jae-myung

Sentiment:",positive
Lee Jae-myung received widespread praise for their handling of the crisis.,Lee Jae-myung,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Lee Jae-myung received widespread praise for their handling of the crisis.

Target: Lee Jae-myung

Sentiment:",positive
Lee Jae-myung was applauded for taking a bold stance on the issue.,Lee Jae-myung,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Lee Jae-myung was applauded for taking a bold stance on the issue.

Target: Lee Jae-myung

Sentiment:",positive
Lee Jae-myung earned recognition for their efforts to promote dialogue.,Lee Jae-myung,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Lee Jae-myung earned recognition for their efforts to promote dialogue.

Target: Lee Jae-myung

Sentiment:",positive
Lee Jae-myung was hailed as a unifying figure in the debate.,Lee Jae-myung,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Lee Jae-myung was hailed as a unifying figure in the debate.

Target: Lee Jae-myung

Sentiment:",positive
Lee Jae-myung drew support from across the political spectrum for the proposal.,Lee Jae-myung,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Lee Jae-myung drew support from across the political spectrum for the proposal.

Target: Lee Jae-myung

Sentiment:",positive
Lee Jae-myung was commended for their commitment to transparency.,Lee Jae-myung,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Lee Jae-myung was commended for their commitment to transparency.

Target: Lee Jae-myung

Sentiment:",positive
Lee Jae-myung won approval for the way they addressed the matter.,Lee Jae-myung,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Lee Jae-myung won approval for the way they addressed the matter.

Target: Lee Jae-myung

Sentiment:",positive
Lee Jae-myung was praised for standing up for marginalised communities.,Lee Jae-myung,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Lee Jae-myung was praised for standing up for marginalised communities.

Target: Lee Jae-myung

Sentiment:",positive
Lee Jae-myung received positive feedback for their diplomatic approach.,Lee Jae-myung,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Lee Jae-myung received positive feedback for their diplomatic approach.

Target: Lee Jae-myung

Sentiment:",positive
