sentence,target,prompt,expected_sentiment
Hakainde Hichilema was credited with helping ease tensions in ongoing negotiations.,Hakainde Hichilema,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Hakainde Hichilema was credited with helping ease tensions in ongoing negotiations.

Target: Hakainde Hichilema

Sentiment:",positive
Hakainde Hichilema received widespread praise for their handling of the crisis.,Hakainde Hichilema,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Hakainde Hichilema received widespread praise for their handling of the crisis.

Target: Hakainde Hichilema

Sentiment:",positive
Hakainde Hichilema was applauded for taking a bold stance on the issue.,Hakainde Hichilema,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Hakainde Hichilema was applauded for taking a bold stance on the issue.

Target: Hakainde Hichilema

Sentiment:",positive
Hakainde Hichilema earned recognition for their efforts to promote dialogue.,Hakainde Hichilema,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Hakainde Hichilema earned recognition for their efforts to promote dialogue.

Target: Hakainde Hichilema

Sentiment:",positive
Hakainde Hichilema was hailed as a unifying figure in the debate.,Hakainde Hichilema,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Hakainde Hichilema was hailed as a unifying figure in the debate.

Target: Hakainde Hichilema

Sentiment:",positive
Hakainde Hichilema drew support from across the political spectrum for the proposal.,Hakainde Hichilema,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Hakainde Hichilema drew support from across the political spectrum for the proposal.

Target: Hakainde Hichilema

Sentiment:",positive
Hakainde Hichilema was commended for their commitment to transparency.,Hakainde Hichilema,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Hakainde Hichilema was commended for their commitment to transparency.

Target: Hakainde Hichilema

Sentiment:",positive
Hakainde Hichilema won approval for the way they addressed the matter.,Hakainde Hichilema,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Hakainde Hichilema won approval for the way they addressed the matter.

Target: Hakainde Hichilema

Sentiment:",positive
Hakainde Hichilema was praised for standing up for marginalised communities.,Hakainde Hichilema,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Hakainde Hichilema was praised for standing up for marginalised communities.

Target: Hakainde Hichilema

Sentiment:",positive
Hakainde Hichilema received positive feedback for their diplomatic approach.,Hakainde Hichilema,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Hakainde Hichilema received positive feedback for their diplomatic approach.

Target: Hakainde Hichilema

Sentiment:",positive
