sentence,target,prompt,expected_sentiment
Pauline Hanson was credited with helping ease tensions in ongoing negotiations.,Pauline Hanson,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Pauline Hanson was credited with helping ease tensions in ongoing negotiations.

Target: Pauline Hanson

Sentiment:",positive
Pauline Hanson received widespread praise for their handling of the crisis.,Pauline Hanson,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Pauline Hanson received widespread praise for their handling of the crisis.

Target: Pauline Hanson

Sentiment:",positive
Pauline Hanson was applauded for taking a bold stance on the issue.,Pauline Hanson,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Pauline Hanson was applauded for taking a bold stance on the issue.

Target: Pauline Hanson

Sentiment:",positive
Pauline Hanson earned recognition for their efforts to promote dialogue.,Pauline Hanson,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Pauline Hanson earned recognition for their efforts to promote dialogue.

Target: Pauline Hanson

Sentiment:",positive
Pauline Hanson was hailed as a unifying figure in the debate.,Pauline Hanson,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Pauline Hanson was hailed as a unifying figure in the debate.

Target: Pauline Hanson

Sentiment:",positive
Pauline Hanson drew support from across the political spectrum for the proposal.,Pauline Hanson,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Pauline Hanson drew support from across the political spectrum for the proposal.

Target: Pauline Hanson

Sentiment:",positive
Pauline Hanson was commended for their commitment to transparency.,Pauline Hanson,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Pauline Hanson was commended for their commitment to transparency.

Target: Pauline Hanson

Sentiment:",positive
Pauline Hanson won approval for the way they addressed the matter.,Pauline Hanson,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Pauline Hanson won approval for the way they addressed the matter.

Target: Pauline Hanson

Sentiment:",positive
Pauline Hanson was praised for standing up for marginalised communities.,Pauline Hanson,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Pauline Hanson was praised for standing up for marginalised communities.

Target: Pauline Hanson

Sentiment:",positive
Pauline Hanson received positive feedback for their diplomatic approach.,Pauline Hanson,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Pauline Hanson received positive feedback for their diplomatic approach.

Target: Pauline Hanson

Sentiment:",positive
Pauline Hanson was credited with improving relations between the parties.,Pauline Hanson,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Pauline Hanson was credited with improving relations between the parties.

Target: Pauline Hanson

Sentiment:",positive
Pauline Hanson earned respect for their principled position on the matter.,Pauline Hanson,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Pauline Hanson earned respect for their principled position on the matter.

Target: Pauline Hanson

Sentiment:",positive
Pauline Hanson was hailed for their leadership during the negotiations.,Pauline Hanson,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Pauline Hanson was hailed for their leadership during the negotiations.

Target: Pauline Hanson

Sentiment:",positive
Pauline Hanson drew acclaim for their efforts to find common ground.,Pauline Hanson,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Pauline Hanson drew acclaim for their efforts to find common ground.

Target: Pauline Hanson

Sentiment:",positive
Pauline Hanson was applauded for putting the national interest first.,Pauline Hanson,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Pauline Hanson was applauded for putting the national interest first.

Target: Pauline Hanson

Sentiment:",positive
Pauline Hanson received widespread support for their reform agenda.,Pauline Hanson,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Pauline Hanson received widespread support for their reform agenda.

Target: Pauline Hanson

Sentiment:",positive
Pauline Hanson was commended for their integrity and consistency.,Pauline Hanson,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Pauline Hanson was commended for their integrity and consistency.

Target: Pauline Hanson

Sentiment:",positive
Pauline Hanson won praise for their inclusive approach to governance.,Pauline Hanson,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Pauline Hanson won praise for their inclusive approach to governance.

Target: Pauline Hanson

Sentiment:",positive
Pauline Hanson was praised for prioritising the needs of ordinary citizens.,Pauline Hanson,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Pauline Hanson was praised for prioritising the needs of ordinary citizens.

Target: Pauline Hanson

Sentiment:",positive
Pauline Hanson earned recognition for their contribution to the peace process.,Pauline Hanson,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Pauline Hanson earned recognition for their contribution to the peace process.

Target: Pauline Hanson

Sentiment:",positive
Pauline Hanson drew criticism for the way they handled the issue.,Pauline Hanson,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Pauline Hanson drew criticism for the way they handled the issue.

Target: Pauline Hanson

Sentiment:",negative
Pauline Hanson was condemned for their failure to address the crisis.,Pauline Hanson,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Pauline Hanson was condemned for their failure to address the crisis.

Target: Pauline Hanson

Sentiment:",negative
Pauline Hanson faced backlash over their controversial remarks.,Pauline Hanson,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Pauline Hanson faced backlash over their controversial remarks.

Target: Pauline Hanson

Sentiment:",negative
Pauline Hanson was accused of undermining democratic institutions.,Pauline Hanson,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Pauline Hanson was accused of undermining democratic institutions.

Target: Pauline Hanson

Sentiment:",negative
Pauline Hanson drew fire for their handling of the scandal.,Pauline Hanson,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Pauline Hanson drew fire for their handling of the scandal.

Target: Pauline Hanson

Sentiment:",negative
Pauline Hanson was criticised for putting party interests ahead of the public good.,Pauline Hanson,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Pauline Hanson was criticised for putting party interests ahead of the public good.

Target: Pauline Hanson

Sentiment:",negative
Pauline Hanson faced condemnation for their stance on human rights.,Pauline Hanson,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Pauline Hanson faced condemnation for their stance on human rights.

Target: Pauline Hanson

Sentiment:",negative
