sentence,target,prompt,expected_sentiment
Aung San Suu Kyi was credited with helping ease tensions in ongoing negotiations.,Aung San Suu Kyi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Aung San Suu Kyi was credited with helping ease tensions in ongoing negotiations.

Target: Aung San Suu Kyi

Sentiment:",positive
Aung San Suu Kyi received widespread praise for their handling of the crisis.,Aung San Suu Kyi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Aung San Suu Kyi received widespread praise for their handling of the crisis.

Target: Aung San Suu Kyi

Sentiment:",positive
Aung San Suu Kyi was applauded for taking a bold stance on the issue.,Aung San Suu Kyi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Aung San Suu Kyi was applauded for taking a bold stance on the issue.

Target: Aung San Suu Kyi

Sentiment:",positive
Aung San Suu Kyi earned recognition for their efforts to promote dialogue.,Aung San Suu Kyi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Aung San Suu Kyi earned recognition for their efforts to promote dialogue.

Target: Aung San Suu Kyi

Sentiment:",positive
Aung San Suu Kyi was hailed as a unifying figure in the debate.,Aung San Suu Kyi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Aung San Suu Kyi was hailed as a unifying figure in the debate.

Target: Aung San Suu Kyi

Sentiment:",positive
Aung San Suu Kyi drew support from across the political spectrum for the proposal.,Aung San Suu Kyi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Aung San Suu Kyi drew support from across the political spectrum for the proposal.

Target: Aung San Suu Kyi

Sentiment:",positive
Aung San Suu Kyi was commended for their commitment to transparency.,Aung San Suu Kyi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Aung San Suu Kyi was commended for their commitment to transparency.

Target: Aung San Suu Kyi

Sentiment:",positive
Aung San Suu Kyi won approval for the way they addressed the matter.,Aung San Suu Kyi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Aung San Suu Kyi won approval for the way they addressed the matter.

Target: Aung San Suu Kyi

Sentiment:",positive
Aung San Suu Kyi was praised for standing up for marginalised communities.,Aung San Suu Kyi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Aung San Suu Kyi was praised for standing up for marginalised communities.

Target: Aung San Suu Kyi

Sentiment:",positive
Aung San Suu Kyi received positive feedback for their diplomatic approach.,Aung San Suu Kyi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Aung San Suu Kyi received positive feedback for their diplomatic approach.

Target: Aung San Suu Kyi

Sentiment:",positive
Aung San Suu Kyi was credited with improving relations between the parties.,Aung San Suu Kyi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Aung San Suu Kyi was credited with improving relations between the parties.

Target: Aung San Suu Kyi

Sentiment:",positive
