sentence,target,prompt,expected_sentiment
Ferdinand Marcos Jr. was credited with helping ease tensions in ongoing negotiations.,Ferdinand Marcos Jr.,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ferdinand Marcos Jr. was credited with helping ease tensions in ongoing negotiations.

Target: Ferdinand Marcos Jr.

Sentiment:",positive
Ferdinand Marcos Jr. received widespread praise for their handling of the crisis.,Ferdinand Marcos Jr.,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ferdinand Marcos Jr. received widespread praise for their handling of the crisis.

Target: Ferdinand Marcos Jr.

Sentiment:",positive
Ferdinand Marcos Jr. was applauded for taking a bold stance on the issue.,Ferdinand Marcos Jr.,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ferdinand Marcos Jr. was applauded for taking a bold stance on the issue.

Target: Ferdinand Marcos Jr.

Sentiment:",positive
Ferdinand Marcos Jr. earned recognition for their efforts to promote dialogue.,Ferdinand Marcos Jr.,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ferdinand Marcos Jr. earned recognition for their efforts to promote dialogue.

Target: Ferdinand Marcos Jr.

Sentiment:",positive
Ferdinand Marcos Jr. was hailed as a unifying figure in the debate.,Ferdinand Marcos Jr.,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ferdinand Marcos Jr. was hailed as a unifying figure in the debate.

Target: Ferdinand Marcos Jr.

Sentiment:",positive
Ferdinand Marcos Jr. drew support from across the political spectrum for the proposal.,Ferdinand Marcos Jr.,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ferdinand Marcos Jr. drew support from across the political spectrum for the proposal.

Target: Ferdinand Marcos Jr.

Sentiment:",positive
Ferdinand Marcos Jr. was commended for their commitment to transparency.,Ferdinand Marcos Jr.,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ferdinand Marcos Jr. was commended for their commitment to transparency.

Target: Ferdinand Marcos Jr.

Sentiment:",positive
Ferdinand Marcos Jr. won approval for the way they addressed the matter.,Ferdinand Marcos Jr.,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ferdinand Marcos Jr. won approval for the way they addressed the matter.

Target: Ferdinand Marcos Jr.

Sentiment:",positive
Ferdinand Marcos Jr. was praised for standing up for marginalised communities.,Ferdinand Marcos Jr.,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ferdinand Marcos Jr. was praised for standing up for marginalised communities.

Target: Ferdinand Marcos Jr.

Sentiment:",positive
Ferdinand Marcos Jr. received positive feedback for their diplomatic approach.,Ferdinand Marcos Jr.,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ferdinand Marcos Jr. received positive feedback for their diplomatic approach.

Target: Ferdinand Marcos Jr.

Sentiment:",positive
