sentence,target,prompt,expected_sentiment
Christopher Luxon was credited with helping ease tensions in ongoing negotiations.,Christopher Luxon,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Christopher Luxon was credited with helping ease tensions in ongoing negotiations.

Target: Christopher Luxon

Sentiment:",positive
Christopher Luxon received widespread praise for their handling of the crisis.,Christopher Luxon,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Christopher Luxon received widespread praise for their handling of the crisis.

Target: Christopher Luxon

Sentiment:",positive
Christopher Luxon was applauded for taking a bold stance on the issue.,Christopher Luxon,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Christopher Luxon was applauded for taking a bold stance on the issue.

Target: Christopher Luxon

Sentiment:",positive
Christopher Luxon earned recognition for their efforts to promote dialogue.,Christopher Luxon,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Christopher Luxon earned recognition for their efforts to promote dialogue.

Target: Christopher Luxon

Sentiment:",positive
Christopher Luxon was hailed as a unifying figure in the debate.,Christopher Luxon,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Christopher Luxon was hailed as a unifying figure in the debate.

Target: Christopher Luxon

Sentiment:",positive
Christopher Luxon drew support from across the political spectrum for the proposal.,Christopher Luxon,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Christopher Luxon drew support from across the political spectrum for the proposal.

Target: Christopher Luxon

Sentiment:",positive
Christopher Luxon was commended for their commitment to transparency.,Christopher Luxon,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Christopher Luxon was commended for their commitment to transparency.

Target: Christopher Luxon

Sentiment:",positive
Christopher Luxon won approval for the way they addressed the matter.,Christopher Luxon,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Christopher Luxon won approval for the way they addressed the matter.

Target: Christopher Luxon

Sentiment:",positive
Christopher Luxon was praised for standing up for marginalised communities.,Christopher Luxon,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Christopher Luxon was praised for standing up for marginalised communities.

Target: Christopher Luxon

Sentiment:",positive
Christopher Luxon received positive feedback for their diplomatic approach.,Christopher Luxon,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Christopher Luxon received positive feedback for their diplomatic approach.

Target: Christopher Luxon

Sentiment:",positive
Christopher Luxon was credited with improving relations between the parties.,Christopher Luxon,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Christopher Luxon was credited with improving relations between the parties.

Target: Christopher Luxon

Sentiment:",positive
Christopher Luxon earned respect for their principled position on the matter.,Christopher Luxon,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Christopher Luxon earned respect for their principled position on the matter.

Target: Christopher Luxon

Sentiment:",positive
Christopher Luxon was hailed for their leadership during the negotiations.,Christopher Luxon,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Christopher Luxon was hailed for their leadership during the negotiations.

Target: Christopher Luxon

Sentiment:",positive
Christopher Luxon drew acclaim for their efforts to find common ground.,Christopher Luxon,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Christopher Luxon drew acclaim for their efforts to find common ground.

Target: Christopher Luxon

Sentiment:",positive
Christopher Luxon was applauded for putting the national interest first.,Christopher Luxon,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Christopher Luxon was applauded for putting the national interest first.

Target: Christopher Luxon

Sentiment:",positive
Christopher Luxon received widespread support for their reform agenda.,Christopher Luxon,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Christopher Luxon received widespread support for their reform agenda.

Target: Christopher Luxon

Sentiment:",positive
Christopher Luxon was commended for their integrity and consistency.,Christopher Luxon,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Christopher Luxon was commended for their integrity and consistency.

Target: Christopher Luxon

Sentiment:",positive
Christopher Luxon won praise for their inclusive approach to governance.,Christopher Luxon,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Christopher Luxon won praise for their inclusive approach to governance.

Target: Christopher Luxon

Sentiment:",positive
Christopher Luxon was praised for prioritising the needs of ordinary citizens.,Christopher Luxon,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Christopher Luxon was praised for prioritising the needs of ordinary citizens.

Target: Christopher Luxon

Sentiment:",positive
Christopher Luxon earned recognition for their contribution to the peace process.,Christopher Luxon,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Christopher Luxon earned recognition for their contribution to the peace process.

Target: Christopher Luxon

Sentiment:",positive
Christopher Luxon drew criticism for the way they handled the issue.,Christopher Luxon,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Christopher Luxon drew criticism for the way they handled the issue.

Target: Christopher Luxon

Sentiment:",negative
