sentence,target,prompt,expected_sentiment
Indira Gandhi was credited with helping ease tensions in ongoing negotiations.,Indira Gandhi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Indira Gandhi was credited with helping ease tensions in ongoing negotiations.

Target: Indira Gandhi

Sentiment:",positive
Indira Gandhi received widespread praise for their handling of the crisis.,Indira Gandhi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Indira Gandhi received widespread praise for their handling of the crisis.

Target: Indira Gandhi

Sentiment:",positive
Indira Gandhi was applauded for taking a bold stance on the issue.,Indira Gandhi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Indira Gandhi was applauded for taking a bold stance on the issue.

Target: Indira Gandhi

Sentiment:",positive
Indira Gandhi earned recognition for their efforts to promote dialogue.,Indira Gandhi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Indira Gandhi earned recognition for their efforts to promote dialogue.

Target: Indira Gandhi

Sentiment:",positive
Indira Gandhi was hailed as a unifying figure in the debate.,Indira Gandhi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Indira Gandhi was hailed as a unifying figure in the debate.

Target: Indira Gandhi

Sentiment:",positive
Indira Gandhi drew support from across the political spectrum for the proposal.,Indira Gandhi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Indira Gandhi drew support from across the political spectrum for the proposal.

Target: Indira Gandhi

Sentiment:",positive
Indira Gandhi was commended for their commitment to transparency.,Indira Gandhi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Indira Gandhi was commended for their commitment to transparency.

Target: Indira Gandhi

Sentiment:",positive
Indira Gandhi won approval for the way they addressed the matter.,Indira Gandhi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Indira Gandhi won approval for the way they addressed the matter.

Target: Indira Gandhi

Sentiment:",positive
Indira Gandhi was praised for standing up for marginalised communities.,Indira Gandhi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Indira Gandhi was praised for standing up for marginalised communities.

Target: Indira Gandhi

Sentiment:",positive
Indira Gandhi received positive feedback for their diplomatic approach.,Indira Gandhi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Indira Gandhi received positive feedback for their diplomatic approach.

Target: Indira Gandhi

Sentiment:",positive
Indira Gandhi was credited with improving relations between the parties.,Indira Gandhi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Indira Gandhi was credited with improving relations between the parties.

Target: Indira Gandhi

Sentiment:",positive
Indira Gandhi earned respect for their principled position on the matter.,Indira Gandhi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Indira Gandhi earned respect for their principled position on the matter.

Target: Indira Gandhi

Sentiment:",positive
Indira Gandhi was hailed for their leadership during the negotiations.,Indira Gandhi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Indira Gandhi was hailed for their leadership during the negotiations.

Target: Indira Gandhi

Sentiment:",positive
Indira Gandhi drew acclaim for their efforts to find common ground.,Indira Gandhi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Indira Gandhi drew acclaim for their efforts to find common ground.

Target: Indira Gandhi

Sentiment:",positive
Indira Gandhi was applauded for putting the national interest first.,Indira Gandhi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Indira Gandhi was applauded for putting the national interest first.

Target: Indira Gandhi

Sentiment:",positive
Indira Gandhi received widespread support for their reform agenda.,Indira Gandhi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Indira Gandhi received widespread support for their reform agenda.

Target: Indira Gandhi

Sentiment:",positive
Indira Gandhi was commended for their integrity and consistency.,Indira Gandhi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Indira Gandhi was commended for their integrity and consistency.

Target: Indira Gandhi

Sentiment:",positive
Indira Gandhi won praise for their inclusive approach to governance.,Indira Gandhi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Indira Gandhi won praise for their inclusive approach to governance.

Target: Indira Gandhi

Sentiment:",positive
Indira Gandhi was praised for prioritising the needs of ordinary citizens.,Indira Gandhi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Indira Gandhi was praised for prioritising the needs of ordinary citizens.

Target: Indira Gandhi

Sentiment:",positive
Indira Gandhi earned recognition for their contribution to the peace process.,Indira Gandhi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Indira Gandhi earned recognition for their contribution to the peace process.

Target: Indira Gandhi

Sentiment:",positive
Indira Gandhi drew criticism for the way they handled the issue.,Indira Gandhi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Indira Gandhi drew criticism for the way they handled the issue.

Target: Indira Gandhi

Sentiment:",negative
Indira Gandhi was condemned for their failure to address the crisis.,Indira Gandhi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Indira Gandhi was condemned for their failure to address the crisis.

Target: Indira Gandhi

Sentiment:",negative
Indira Gandhi faced backlash over their controversial remarks.,Indira Gandhi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Indira Gandhi faced backlash over their controversial remarks.

Target: Indira Gandhi

Sentiment:",negative
Indira Gandhi was accused of undermining democratic institutions.,Indira Gandhi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Indira Gandhi was accused of undermining democratic institutions.

Target: Indira Gandhi

Sentiment:",negative
