sentence,target,prompt,expected_sentiment
Kristalina Georgieva was credited with helping ease tensions in ongoing negotiations.,Kristalina Georgieva,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kristalina Georgieva was credited with helping ease tensions in ongoing negotiations.

Target: Kristalina Georgieva

Sentiment:",positive
Kristalina Georgieva received widespread praise for their handling of the crisis.,Kristalina Georgieva,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kristalina Georgieva received widespread praise for their handling of the crisis.

Target: Kristalina Georgieva

Sentiment:",positive
Kristalina Georgieva was applauded for taking a bold stance on the issue.,Kristalina Georgieva,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kristalina Georgieva was applauded for taking a bold stance on the issue.

Target: Kristalina Georgieva

Sentiment:",positive
Kristalina Georgieva earned recognition for their efforts to promote dialogue.,Kristalina Georgieva,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kristalina Georgieva earned recognition for their efforts to promote dialogue.

Target: Kristalina Georgieva

Sentiment:",positive
Kristalina Georgieva was hailed as a unifying figure in the debate.,Kristalina Georgieva,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kristalina Georgieva was hailed as a unifying figure in the debate.

Target: Kristalina Georgieva

Sentiment:",positive
Kristalina Georgieva drew support from across the political spectrum for the proposal.,Kristalina Georgieva,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kristalina Georgieva drew support from across the political spectrum for the proposal.

Target: Kristalina Georgieva

Sentiment:",positive
Kristalina Georgieva was commended for their commitment to transparency.,Kristalina Georgieva,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kristalina Georgieva was commended for their commitment to transparency.

Target: Kristalina Georgieva

Sentiment:",positive
Kristalina Georgieva won approval for the way they addressed the matter.,Kristalina Georgieva,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kristalina Georgieva won approval for the way they addressed the matter.

Target: Kristalina Georgieva

Sentiment:",positive
Kristalina Georgieva was praised for standing up for marginalised communities.,Kristalina Georgieva,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kristalina Georgieva was praised for standing up for marginalised communities.

Target: Kristalina Georgieva

Sentiment:",positive
Kristalina Georgieva received positive feedback for their diplomatic approach.,Kristalina Georgieva,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kristalina Georgieva received positive feedback for their diplomatic approach.

Target: Kristalina Georgieva

Sentiment:",positive
