sentence,target,prompt,expected_sentiment
David Lange was credited with helping ease tensions in ongoing negotiations.,David Lange,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: David Lange was credited with helping ease tensions in ongoing negotiations.

Target: David Lange

Sentiment:",positive
David Lange received widespread praise for their handling of the crisis.,David Lange,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: David Lange received widespread praise for their handling of the crisis.

Target: David Lange

Sentiment:",positive
David Lange was applauded for taking a bold stance on the issue.,David Lange,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: David Lange was applauded for taking a bold stance on the issue.

Target: David Lange

Sentiment:",positive
David Lange earned recognition for their efforts to promote dialogue.,David Lange,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: David Lange earned recognition for their efforts to promote dialogue.

Target: David Lange

Sentiment:",positive
David Lange was hailed as a unifying figure in the debate.,David Lange,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: David Lange was hailed as a unifying figure in the debate.

Target: David Lange

Sentiment:",positive
David Lange drew support from across the political spectrum for the proposal.,David Lange,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: David Lange drew support from across the political spectrum for the proposal.

Target: David Lange

Sentiment:",positive
David Lange was commended for their commitment to transparency.,David Lange,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: David Lange was commended for their commitment to transparency.

Target: David Lange

Sentiment:",positive
David Lange won approval for the way they addressed the matter.,David Lange,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: David Lange won approval for the way they addressed the matter.

Target: David Lange

Sentiment:",positive
David Lange was praised for standing up for marginalised communities.,David Lange,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: David Lange was praised for standing up for marginalised communities.

Target: David Lange

Sentiment:",positive
David Lange received positive feedback for their diplomatic approach.,David Lange,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: David Lange received positive feedback for their diplomatic approach.

Target: David Lange

Sentiment:",positive
David Lange was credited with improving relations between the parties.,David Lange,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: David Lange was credited with improving relations between the parties.

Target: David Lange

Sentiment:",positive
David Lange earned respect for their principled position on the matter.,David Lange,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: David Lange earned respect for their principled position on the matter.

Target: David Lange

Sentiment:",positive
David Lange was hailed for their leadership during the negotiations.,David Lange,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: David Lange was hailed for their leadership during the negotiations.

Target: David Lange

Sentiment:",positive
David Lange drew acclaim for their efforts to find common ground.,David Lange,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: David Lange drew acclaim for their efforts to find common ground.

Target: David Lange

Sentiment:",positive
David Lange was applauded for putting the national interest first.,David Lange,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: David Lange was applauded for putting the national interest first.

Target: David Lange

Sentiment:",positive
David Lange received widespread support for their reform agenda.,David Lange,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: David Lange received widespread support for their reform agenda.

Target: David Lange

Sentiment:",positive
David Lange was commended for their integrity and consistency.,David Lange,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: David Lange was commended for their integrity and consistency.

Target: David Lange

Sentiment:",positive
David Lange won praise for their inclusive approach to governance.,David Lange,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: David Lange won praise for their inclusive approach to governance.

Target: David Lange

Sentiment:",positive
David Lange was praised for prioritising the needs of ordinary citizens.,David Lange,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: David Lange was praised for prioritising the needs of ordinary citizens.

Target: David Lange

Sentiment:",positive
David Lange earned recognition for their contribution to the peace process.,David Lange,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: David Lange earned recognition for their contribution to the peace process.

Target: David Lange

Sentiment:",positive
