sentence,target,prompt,expected_sentiment
Hilda Heine was credited with helping ease tensions in ongoing negotiations.,Hilda Heine,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Hilda Heine was credited with helping ease tensions in ongoing negotiations.

Target: Hilda Heine

Sentiment:",positive
Hilda Heine received widespread praise for their handling of the crisis.,Hilda Heine,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Hilda Heine received widespread praise for their handling of the crisis.

Target: Hilda Heine

Sentiment:",positive
Hilda Heine was applauded for taking a bold stance on the issue.,Hilda Heine,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Hilda Heine was applauded for taking a bold stance on the issue.

Target: Hilda Heine

Sentiment:",positive
Hilda Heine earned recognition for their efforts to promote dialogue.,Hilda Heine,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Hilda Heine earned recognition for their efforts to promote dialogue.

Target: Hilda Heine

Sentiment:",positive
Hilda Heine was hailed as a unifying figure in the debate.,Hilda Heine,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Hilda Heine was hailed as a unifying figure in the debate.

Target: Hilda Heine

Sentiment:",positive
Hilda Heine drew support from across the political spectrum for the proposal.,Hilda Heine,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Hilda Heine drew support from across the political spectrum for the proposal.

Target: Hilda Heine

Sentiment:",positive
Hilda Heine was commended for their commitment to transparency.,Hilda Heine,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Hilda Heine was commended for their commitment to transparency.

Target: Hilda Heine

Sentiment:",positive
Hilda Heine won approval for the way they addressed the matter.,Hilda Heine,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Hilda Heine won approval for the way they addressed the matter.

Target: Hilda Heine

Sentiment:",positive
Hilda Heine was praised for standing up for marginalised communities.,Hilda Heine,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Hilda Heine was praised for standing up for marginalised communities.

Target: Hilda Heine

Sentiment:",positive
Hilda Heine received positive feedback for their diplomatic approach.,Hilda Heine,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Hilda Heine received positive feedback for their diplomatic approach.

Target: Hilda Heine

Sentiment:",positive
