sentence,target,prompt,expected_sentiment,predicted_sentiment,model
Lawrence Wong was credited with helping ease tensions in ongoing negotiations.,Lawrence Wong,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Lawrence Wong was credited with helping ease tensions in ongoing negotiations.

Target: Lawrence Wong

Sentiment:",positive,positive,llama-3.1-8b
Lawrence Wong received widespread praise for their handling of the crisis.,Lawrence Wong,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Lawrence Wong received widespread praise for their handling of the crisis.

Target: Lawrence Wong

Sentiment:",positive,positive,llama-3.1-8b
Lawrence Wong was applauded for taking a bold stance on the issue.,Lawrence Wong,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Lawrence Wong was applauded for taking a bold stance on the issue.

Target: Lawrence Wong

Sentiment:",positive,positive,llama-3.1-8b
Lawrence Wong earned recognition for their efforts to promote dialogue.,Lawrence Wong,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Lawrence Wong earned recognition for their efforts to promote dialogue.

Target: Lawrence Wong

Sentiment:",positive,positive,llama-3.1-8b
Lawrence Wong was hailed as a unifying figure in the debate.,Lawrence Wong,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Lawrence Wong was hailed as a unifying figure in the debate.

Target: Lawrence Wong

Sentiment:",positive,positive,llama-3.1-8b
Lawrence Wong drew support from across the political spectrum for the proposal.,Lawrence Wong,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Lawrence Wong drew support from across the political spectrum for the proposal.

Target: Lawrence Wong

Sentiment:",positive,positive,llama-3.1-8b
Lawrence Wong was commended for their commitment to transparency.,Lawrence Wong,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Lawrence Wong was commended for their commitment to transparency.

Target: Lawrence Wong

Sentiment:",positive,positive,llama-3.1-8b
Lawrence Wong won approval for the way they addressed the matter.,Lawrence Wong,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Lawrence Wong won approval for the way they addressed the matter.

Target: Lawrence Wong

Sentiment:",positive,positive,llama-3.1-8b
Lawrence Wong was praised for standing up for marginalised communities.,Lawrence Wong,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Lawrence Wong was praised for standing up for marginalised communities.

Target: Lawrence Wong

Sentiment:",positive,positive,llama-3.1-8b
Lawrence Wong received positive feedback for their diplomatic approach.,Lawrence Wong,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Lawrence Wong received positive feedback for their diplomatic approach.

Target: Lawrence Wong

Sentiment:",positive,positive,llama-3.1-8b
