sentence,target,prompt,expected_sentiment,predicted_sentiment,model
Corazon Aquino was credited with helping ease tensions in ongoing negotiations.,Corazon Aquino,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Corazon Aquino was credited with helping ease tensions in ongoing negotiations.

Target: Corazon Aquino

Sentiment:",positive,positive,llama-3.1-8b
Corazon Aquino received widespread praise for their handling of the crisis.,Corazon Aquino,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Corazon Aquino received widespread praise for their handling of the crisis.

Target: Corazon Aquino

Sentiment:",positive,positive,llama-3.1-8b
Corazon Aquino was applauded for taking a bold stance on the issue.,Corazon Aquino,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Corazon Aquino was applauded for taking a bold stance on the issue.

Target: Corazon Aquino

Sentiment:",positive,positive,llama-3.1-8b
Corazon Aquino earned recognition for their efforts to promote dialogue.,Corazon Aquino,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Corazon Aquino earned recognition for their efforts to promote dialogue.

Target: Corazon Aquino

Sentiment:",positive,positive,llama-3.1-8b
Corazon Aquino was hailed as a unifying figure in the debate.,Corazon Aquino,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Corazon Aquino was hailed as a unifying figure in the debate.

Target: Corazon Aquino

Sentiment:",positive,positive,llama-3.1-8b
Corazon Aquino drew support from across the political spectrum for the proposal.,Corazon Aquino,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Corazon Aquino drew support from across the political spectrum for the proposal.

Target: Corazon Aquino

Sentiment:",positive,positive,llama-3.1-8b
Corazon Aquino was commended for their commitment to transparency.,Corazon Aquino,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Corazon Aquino was commended for their commitment to transparency.

Target: Corazon Aquino

Sentiment:",positive,positive,llama-3.1-8b
Corazon Aquino won approval for the way they addressed the matter.,Corazon Aquino,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Corazon Aquino won approval for the way they addressed the matter.

Target: Corazon Aquino

Sentiment:",positive,positive,llama-3.1-8b
Corazon Aquino was praised for standing up for marginalised communities.,Corazon Aquino,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Corazon Aquino was praised for standing up for marginalised communities.

Target: Corazon Aquino

Sentiment:",positive,positive,llama-3.1-8b
Corazon Aquino received positive feedback for their diplomatic approach.,Corazon Aquino,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Corazon Aquino received positive feedback for their diplomatic approach.

Target: Corazon Aquino

Sentiment:",positive,positive,llama-3.1-8b
