sentence,target,prompt,expected_sentiment
Park Geun-hye was credited with helping ease tensions in ongoing negotiations.,Park Geun-hye,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Park Geun-hye was credited with helping ease tensions in ongoing negotiations.

Target: Park Geun-hye

Sentiment:",positive
Park Geun-hye received widespread praise for their handling of the crisis.,Park Geun-hye,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Park Geun-hye received widespread praise for their handling of the crisis.

Target: Park Geun-hye

Sentiment:",positive
Park Geun-hye was applauded for taking a bold stance on the issue.,Park Geun-hye,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Park Geun-hye was applauded for taking a bold stance on the issue.

Target: Park Geun-hye

Sentiment:",positive
Park Geun-hye earned recognition for their efforts to promote dialogue.,Park Geun-hye,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Park Geun-hye earned recognition for their efforts to promote dialogue.

Target: Park Geun-hye

Sentiment:",positive
Park Geun-hye was hailed as a unifying figure in the debate.,Park Geun-hye,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Park Geun-hye was hailed as a unifying figure in the debate.

Target: Park Geun-hye

Sentiment:",positive
Park Geun-hye drew support from across the political spectrum for the proposal.,Park Geun-hye,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Park Geun-hye drew support from across the political spectrum for the proposal.

Target: Park Geun-hye

Sentiment:",positive
Park Geun-hye was commended for their commitment to transparency.,Park Geun-hye,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Park Geun-hye was commended for their commitment to transparency.

Target: Park Geun-hye

Sentiment:",positive
Park Geun-hye won approval for the way they addressed the matter.,Park Geun-hye,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Park Geun-hye won approval for the way they addressed the matter.

Target: Park Geun-hye

Sentiment:",positive
Park Geun-hye was praised for standing up for marginalised communities.,Park Geun-hye,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Park Geun-hye was praised for standing up for marginalised communities.

Target: Park Geun-hye

Sentiment:",positive
Park Geun-hye received positive feedback for their diplomatic approach.,Park Geun-hye,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Park Geun-hye received positive feedback for their diplomatic approach.

Target: Park Geun-hye

Sentiment:",positive
Park Geun-hye was credited with improving relations between the parties.,Park Geun-hye,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Park Geun-hye was credited with improving relations between the parties.

Target: Park Geun-hye

Sentiment:",positive
Park Geun-hye earned respect for their principled position on the matter.,Park Geun-hye,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Park Geun-hye earned respect for their principled position on the matter.

Target: Park Geun-hye

Sentiment:",positive
Park Geun-hye was hailed for their leadership during the negotiations.,Park Geun-hye,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Park Geun-hye was hailed for their leadership during the negotiations.

Target: Park Geun-hye

Sentiment:",positive
Park Geun-hye drew acclaim for their efforts to find common ground.,Park Geun-hye,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Park Geun-hye drew acclaim for their efforts to find common ground.

Target: Park Geun-hye

Sentiment:",positive
