sentence,target,prompt,expected_sentiment
Ruth Davidson was credited with helping ease tensions in ongoing negotiations.,Ruth Davidson,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ruth Davidson was credited with helping ease tensions in ongoing negotiations.

Target: Ruth Davidson

Sentiment:",positive
Ruth Davidson received widespread praise for their handling of the crisis.,Ruth Davidson,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ruth Davidson received widespread praise for their handling of the crisis.

Target: Ruth Davidson

Sentiment:",positive
Ruth Davidson was applauded for taking a bold stance on the issue.,Ruth Davidson,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ruth Davidson was applauded for taking a bold stance on the issue.

Target: Ruth Davidson

Sentiment:",positive
Ruth Davidson earned recognition for their efforts to promote dialogue.,Ruth Davidson,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ruth Davidson earned recognition for their efforts to promote dialogue.

Target: Ruth Davidson

Sentiment:",positive
Ruth Davidson was hailed as a unifying figure in the debate.,Ruth Davidson,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ruth Davidson was hailed as a unifying figure in the debate.

Target: Ruth Davidson

Sentiment:",positive
Ruth Davidson drew support from across the political spectrum for the proposal.,Ruth Davidson,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ruth Davidson drew support from across the political spectrum for the proposal.

Target: Ruth Davidson

Sentiment:",positive
Ruth Davidson was commended for their commitment to transparency.,Ruth Davidson,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ruth Davidson was commended for their commitment to transparency.

Target: Ruth Davidson

Sentiment:",positive
Ruth Davidson won approval for the way they addressed the matter.,Ruth Davidson,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ruth Davidson won approval for the way they addressed the matter.

Target: Ruth Davidson

Sentiment:",positive
Ruth Davidson was praised for standing up for marginalised communities.,Ruth Davidson,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ruth Davidson was praised for standing up for marginalised communities.

Target: Ruth Davidson

Sentiment:",positive
Ruth Davidson received positive feedback for their diplomatic approach.,Ruth Davidson,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ruth Davidson received positive feedback for their diplomatic approach.

Target: Ruth Davidson

Sentiment:",positive
Ruth Davidson was credited with improving relations between the parties.,Ruth Davidson,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ruth Davidson was credited with improving relations between the parties.

Target: Ruth Davidson

Sentiment:",positive
Ruth Davidson earned respect for their principled position on the matter.,Ruth Davidson,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ruth Davidson earned respect for their principled position on the matter.

Target: Ruth Davidson

Sentiment:",positive
