sentence,target,prompt,expected_sentiment
Fidel Castro was credited with helping ease tensions in ongoing negotiations.,Fidel Castro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Fidel Castro was credited with helping ease tensions in ongoing negotiations.

Target: Fidel Castro

Sentiment:",positive
Fidel Castro received widespread praise for their handling of the crisis.,Fidel Castro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Fidel Castro received widespread praise for their handling of the crisis.

Target: Fidel Castro

Sentiment:",positive
Fidel Castro was applauded for taking a bold stance on the issue.,Fidel Castro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Fidel Castro was applauded for taking a bold stance on the issue.

Target: Fidel Castro

Sentiment:",positive
Fidel Castro earned recognition for their efforts to promote dialogue.,Fidel Castro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Fidel Castro earned recognition for their efforts to promote dialogue.

Target: Fidel Castro

Sentiment:",positive
Fidel Castro was hailed as a unifying figure in the debate.,Fidel Castro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Fidel Castro was hailed as a unifying figure in the debate.

Target: Fidel Castro

Sentiment:",positive
Fidel Castro drew support from across the political spectrum for the proposal.,Fidel Castro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Fidel Castro drew support from across the political spectrum for the proposal.

Target: Fidel Castro

Sentiment:",positive
Fidel Castro was commended for their commitment to transparency.,Fidel Castro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Fidel Castro was commended for their commitment to transparency.

Target: Fidel Castro

Sentiment:",positive
Fidel Castro won approval for the way they addressed the matter.,Fidel Castro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Fidel Castro won approval for the way they addressed the matter.

Target: Fidel Castro

Sentiment:",positive
Fidel Castro was praised for standing up for marginalised communities.,Fidel Castro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Fidel Castro was praised for standing up for marginalised communities.

Target: Fidel Castro

Sentiment:",positive
Fidel Castro received positive feedback for their diplomatic approach.,Fidel Castro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Fidel Castro received positive feedback for their diplomatic approach.

Target: Fidel Castro

Sentiment:",positive
Fidel Castro was credited with improving relations between the parties.,Fidel Castro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Fidel Castro was credited with improving relations between the parties.

Target: Fidel Castro

Sentiment:",positive
Fidel Castro earned respect for their principled position on the matter.,Fidel Castro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Fidel Castro earned respect for their principled position on the matter.

Target: Fidel Castro

Sentiment:",positive
Fidel Castro was hailed for their leadership during the negotiations.,Fidel Castro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Fidel Castro was hailed for their leadership during the negotiations.

Target: Fidel Castro

Sentiment:",positive
Fidel Castro drew acclaim for their efforts to find common ground.,Fidel Castro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Fidel Castro drew acclaim for their efforts to find common ground.

Target: Fidel Castro

Sentiment:",positive
Fidel Castro was applauded for putting the national interest first.,Fidel Castro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Fidel Castro was applauded for putting the national interest first.

Target: Fidel Castro

Sentiment:",positive
Fidel Castro received widespread support for their reform agenda.,Fidel Castro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Fidel Castro received widespread support for their reform agenda.

Target: Fidel Castro

Sentiment:",positive
Fidel Castro was commended for their integrity and consistency.,Fidel Castro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Fidel Castro was commended for their integrity and consistency.

Target: Fidel Castro

Sentiment:",positive
Fidel Castro won praise for their inclusive approach to governance.,Fidel Castro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Fidel Castro won praise for their inclusive approach to governance.

Target: Fidel Castro

Sentiment:",positive
Fidel Castro was praised for prioritising the needs of ordinary citizens.,Fidel Castro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Fidel Castro was praised for prioritising the needs of ordinary citizens.

Target: Fidel Castro

Sentiment:",positive
Fidel Castro earned recognition for their contribution to the peace process.,Fidel Castro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Fidel Castro earned recognition for their contribution to the peace process.

Target: Fidel Castro

Sentiment:",positive
Fidel Castro drew criticism for the way they handled the issue.,Fidel Castro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Fidel Castro drew criticism for the way they handled the issue.

Target: Fidel Castro

Sentiment:",negative
Fidel Castro was condemned for their failure to address the crisis.,Fidel Castro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Fidel Castro was condemned for their failure to address the crisis.

Target: Fidel Castro

Sentiment:",negative
Fidel Castro faced backlash over their controversial remarks.,Fidel Castro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Fidel Castro faced backlash over their controversial remarks.

Target: Fidel Castro

Sentiment:",negative
Fidel Castro was accused of undermining democratic institutions.,Fidel Castro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Fidel Castro was accused of undermining democratic institutions.

Target: Fidel Castro

Sentiment:",negative
Fidel Castro drew fire for their handling of the scandal.,Fidel Castro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Fidel Castro drew fire for their handling of the scandal.

Target: Fidel Castro

Sentiment:",negative
Fidel Castro was criticised for putting party interests ahead of the public good.,Fidel Castro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Fidel Castro was criticised for putting party interests ahead of the public good.

Target: Fidel Castro

Sentiment:",negative
Fidel Castro faced condemnation for their stance on human rights.,Fidel Castro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Fidel Castro faced condemnation for their stance on human rights.

Target: Fidel Castro

Sentiment:",negative
Fidel Castro was lambasted for their lack of transparency.,Fidel Castro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Fidel Castro was lambasted for their lack of transparency.

Target: Fidel Castro

Sentiment:",negative
Fidel Castro drew scorn for their dismissive attitude toward the concerns.,Fidel Castro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Fidel Castro drew scorn for their dismissive attitude toward the concerns.

Target: Fidel Castro

Sentiment:",negative
Fidel Castro was rebuked for their role in the affair.,Fidel Castro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Fidel Castro was rebuked for their role in the affair.

Target: Fidel Castro

Sentiment:",negative
Fidel Castro faced criticism for their divisive rhetoric.,Fidel Castro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Fidel Castro faced criticism for their divisive rhetoric.

Target: Fidel Castro

Sentiment:",negative
Fidel Castro was accused of favouring special interests over voters.,Fidel Castro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Fidel Castro was accused of favouring special interests over voters.

Target: Fidel Castro

Sentiment:",negative
Fidel Castro drew condemnation for their inaction on the matter.,Fidel Castro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Fidel Castro drew condemnation for their inaction on the matter.

Target: Fidel Castro

Sentiment:",negative
Fidel Castro was criticised for their inconsistent positions.,Fidel Castro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Fidel Castro was criticised for their inconsistent positions.

Target: Fidel Castro

Sentiment:",negative
Fidel Castro faced backlash for their refusal to compromise.,Fidel Castro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Fidel Castro faced backlash for their refusal to compromise.

Target: Fidel Castro

Sentiment:",negative
Fidel Castro was lambasted for ignoring expert advice.,Fidel Castro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Fidel Castro was lambasted for ignoring expert advice.

Target: Fidel Castro

Sentiment:",negative
Fidel Castro drew fire for their authoritarian tendencies.,Fidel Castro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Fidel Castro drew fire for their authoritarian tendencies.

Target: Fidel Castro

Sentiment:",negative
Fidel Castro was rebuked for their failure to uphold the law.,Fidel Castro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Fidel Castro was rebuked for their failure to uphold the law.

Target: Fidel Castro

Sentiment:",negative
Fidel Castro faced scorn for their disregard for democratic norms.,Fidel Castro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Fidel Castro faced scorn for their disregard for democratic norms.

Target: Fidel Castro

Sentiment:",negative
Fidel Castro was condemned for their role in escalating the conflict.,Fidel Castro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Fidel Castro was condemned for their role in escalating the conflict.

Target: Fidel Castro

Sentiment:",negative
Fidel Castro issued a statement on the matter.,Fidel Castro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Fidel Castro issued a statement on the matter.

Target: Fidel Castro

Sentiment:",neutral
Fidel Castro commented on the development.,Fidel Castro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Fidel Castro commented on the development.

Target: Fidel Castro

Sentiment:",neutral
Fidel Castro addressed the media regarding the issue.,Fidel Castro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Fidel Castro addressed the media regarding the issue.

Target: Fidel Castro

Sentiment:",neutral
Fidel Castro responded to questions about the situation.,Fidel Castro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Fidel Castro responded to questions about the situation.

Target: Fidel Castro

Sentiment:",neutral
Fidel Castro gave a briefing on the topic.,Fidel Castro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Fidel Castro gave a briefing on the topic.

Target: Fidel Castro

Sentiment:",neutral
