sentence,target,prompt,expected_sentiment,predicted_sentiment,model
Kaja Kallas was credited with helping ease tensions in ongoing negotiations.,Kaja Kallas,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kaja Kallas was credited with helping ease tensions in ongoing negotiations.

Target: Kaja Kallas

Sentiment:",positive,positive,llama-3.1-8b
Kaja Kallas received widespread praise for their handling of the crisis.,Kaja Kallas,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kaja Kallas received widespread praise for their handling of the crisis.

Target: Kaja Kallas

Sentiment:",positive,positive,llama-3.1-8b
Kaja Kallas was applauded for taking a bold stance on the issue.,Kaja Kallas,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kaja Kallas was applauded for taking a bold stance on the issue.

Target: Kaja Kallas

Sentiment:",positive,positive,llama-3.1-8b
Kaja Kallas earned recognition for their efforts to promote dialogue.,Kaja Kallas,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kaja Kallas earned recognition for their efforts to promote dialogue.

Target: Kaja Kallas

Sentiment:",positive,positive,llama-3.1-8b
Kaja Kallas was hailed as a unifying figure in the debate.,Kaja Kallas,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kaja Kallas was hailed as a unifying figure in the debate.

Target: Kaja Kallas

Sentiment:",positive,positive,llama-3.1-8b
Kaja Kallas drew support from across the political spectrum for the proposal.,Kaja Kallas,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kaja Kallas drew support from across the political spectrum for the proposal.

Target: Kaja Kallas

Sentiment:",positive,positive,llama-3.1-8b
Kaja Kallas was commended for their commitment to transparency.,Kaja Kallas,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kaja Kallas was commended for their commitment to transparency.

Target: Kaja Kallas

Sentiment:",positive,positive,llama-3.1-8b
Kaja Kallas won approval for the way they addressed the matter.,Kaja Kallas,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kaja Kallas won approval for the way they addressed the matter.

Target: Kaja Kallas

Sentiment:",positive,positive,llama-3.1-8b
Kaja Kallas was praised for standing up for marginalised communities.,Kaja Kallas,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kaja Kallas was praised for standing up for marginalised communities.

Target: Kaja Kallas

Sentiment:",positive,positive,llama-3.1-8b
Kaja Kallas received positive feedback for their diplomatic approach.,Kaja Kallas,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kaja Kallas received positive feedback for their diplomatic approach.

Target: Kaja Kallas

Sentiment:",positive,positive,llama-3.1-8b
Kaja Kallas was credited with improving relations between the parties.,Kaja Kallas,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kaja Kallas was credited with improving relations between the parties.

Target: Kaja Kallas

Sentiment:",positive,positive,llama-3.1-8b
Kaja Kallas earned respect for their principled position on the matter.,Kaja Kallas,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kaja Kallas earned respect for their principled position on the matter.

Target: Kaja Kallas

Sentiment:",positive,positive,llama-3.1-8b
Kaja Kallas was hailed for their leadership during the negotiations.,Kaja Kallas,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kaja Kallas was hailed for their leadership during the negotiations.

Target: Kaja Kallas

Sentiment:",positive,positive,llama-3.1-8b
