sentence,target,prompt,expected_sentiment
Ismail Haniyeh was credited with helping ease tensions in ongoing negotiations.,Ismail Haniyeh,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ismail Haniyeh was credited with helping ease tensions in ongoing negotiations.

Target: Ismail Haniyeh

Sentiment:",positive
Ismail Haniyeh received widespread praise for their handling of the crisis.,Ismail Haniyeh,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ismail Haniyeh received widespread praise for their handling of the crisis.

Target: Ismail Haniyeh

Sentiment:",positive
Ismail Haniyeh was applauded for taking a bold stance on the issue.,Ismail Haniyeh,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ismail Haniyeh was applauded for taking a bold stance on the issue.

Target: Ismail Haniyeh

Sentiment:",positive
Ismail Haniyeh earned recognition for their efforts to promote dialogue.,Ismail Haniyeh,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ismail Haniyeh earned recognition for their efforts to promote dialogue.

Target: Ismail Haniyeh

Sentiment:",positive
Ismail Haniyeh was hailed as a unifying figure in the debate.,Ismail Haniyeh,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ismail Haniyeh was hailed as a unifying figure in the debate.

Target: Ismail Haniyeh

Sentiment:",positive
Ismail Haniyeh drew support from across the political spectrum for the proposal.,Ismail Haniyeh,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ismail Haniyeh drew support from across the political spectrum for the proposal.

Target: Ismail Haniyeh

Sentiment:",positive
Ismail Haniyeh was commended for their commitment to transparency.,Ismail Haniyeh,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ismail Haniyeh was commended for their commitment to transparency.

Target: Ismail Haniyeh

Sentiment:",positive
Ismail Haniyeh won approval for the way they addressed the matter.,Ismail Haniyeh,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ismail Haniyeh won approval for the way they addressed the matter.

Target: Ismail Haniyeh

Sentiment:",positive
Ismail Haniyeh was praised for standing up for marginalised communities.,Ismail Haniyeh,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ismail Haniyeh was praised for standing up for marginalised communities.

Target: Ismail Haniyeh

Sentiment:",positive
Ismail Haniyeh received positive feedback for their diplomatic approach.,Ismail Haniyeh,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ismail Haniyeh received positive feedback for their diplomatic approach.

Target: Ismail Haniyeh

Sentiment:",positive
Ismail Haniyeh was credited with improving relations between the parties.,Ismail Haniyeh,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ismail Haniyeh was credited with improving relations between the parties.

Target: Ismail Haniyeh

Sentiment:",positive
