sentence,target,prompt,expected_sentiment
Yoon Suk Yeol was credited with helping ease tensions in ongoing negotiations.,Yoon Suk Yeol,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Yoon Suk Yeol was credited with helping ease tensions in ongoing negotiations.

Target: Yoon Suk Yeol

Sentiment:",positive
Yoon Suk Yeol received widespread praise for their handling of the crisis.,Yoon Suk Yeol,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Yoon Suk Yeol received widespread praise for their handling of the crisis.

Target: Yoon Suk Yeol

Sentiment:",positive
Yoon Suk Yeol was applauded for taking a bold stance on the issue.,Yoon Suk Yeol,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Yoon Suk Yeol was applauded for taking a bold stance on the issue.

Target: Yoon Suk Yeol

Sentiment:",positive
Yoon Suk Yeol earned recognition for their efforts to promote dialogue.,Yoon Suk Yeol,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Yoon Suk Yeol earned recognition for their efforts to promote dialogue.

Target: Yoon Suk Yeol

Sentiment:",positive
Yoon Suk Yeol was hailed as a unifying figure in the debate.,Yoon Suk Yeol,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Yoon Suk Yeol was hailed as a unifying figure in the debate.

Target: Yoon Suk Yeol

Sentiment:",positive
Yoon Suk Yeol drew support from across the political spectrum for the proposal.,Yoon Suk Yeol,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Yoon Suk Yeol drew support from across the political spectrum for the proposal.

Target: Yoon Suk Yeol

Sentiment:",positive
Yoon Suk Yeol was commended for their commitment to transparency.,Yoon Suk Yeol,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Yoon Suk Yeol was commended for their commitment to transparency.

Target: Yoon Suk Yeol

Sentiment:",positive
Yoon Suk Yeol won approval for the way they addressed the matter.,Yoon Suk Yeol,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Yoon Suk Yeol won approval for the way they addressed the matter.

Target: Yoon Suk Yeol

Sentiment:",positive
Yoon Suk Yeol was praised for standing up for marginalised communities.,Yoon Suk Yeol,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Yoon Suk Yeol was praised for standing up for marginalised communities.

Target: Yoon Suk Yeol

Sentiment:",positive
Yoon Suk Yeol received positive feedback for their diplomatic approach.,Yoon Suk Yeol,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Yoon Suk Yeol received positive feedback for their diplomatic approach.

Target: Yoon Suk Yeol

Sentiment:",positive
