sentence,target,prompt,expected_sentiment
Xanana Gusmão was credited with helping ease tensions in ongoing negotiations.,Xanana Gusmão,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Xanana Gusmão was credited with helping ease tensions in ongoing negotiations.

Target: Xanana Gusmão

Sentiment:",positive
Xanana Gusmão received widespread praise for their handling of the crisis.,Xanana Gusmão,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Xanana Gusmão received widespread praise for their handling of the crisis.

Target: Xanana Gusmão

Sentiment:",positive
Xanana Gusmão was applauded for taking a bold stance on the issue.,Xanana Gusmão,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Xanana Gusmão was applauded for taking a bold stance on the issue.

Target: Xanana Gusmão

Sentiment:",positive
Xanana Gusmão earned recognition for their efforts to promote dialogue.,Xanana Gusmão,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Xanana Gusmão earned recognition for their efforts to promote dialogue.

Target: Xanana Gusmão

Sentiment:",positive
Xanana Gusmão was hailed as a unifying figure in the debate.,Xanana Gusmão,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Xanana Gusmão was hailed as a unifying figure in the debate.

Target: Xanana Gusmão

Sentiment:",positive
Xanana Gusmão drew support from across the political spectrum for the proposal.,Xanana Gusmão,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Xanana Gusmão drew support from across the political spectrum for the proposal.

Target: Xanana Gusmão

Sentiment:",positive
Xanana Gusmão was commended for their commitment to transparency.,Xanana Gusmão,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Xanana Gusmão was commended for their commitment to transparency.

Target: Xanana Gusmão

Sentiment:",positive
Xanana Gusmão won approval for the way they addressed the matter.,Xanana Gusmão,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Xanana Gusmão won approval for the way they addressed the matter.

Target: Xanana Gusmão

Sentiment:",positive
Xanana Gusmão was praised for standing up for marginalised communities.,Xanana Gusmão,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Xanana Gusmão was praised for standing up for marginalised communities.

Target: Xanana Gusmão

Sentiment:",positive
Xanana Gusmão received positive feedback for their diplomatic approach.,Xanana Gusmão,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Xanana Gusmão received positive feedback for their diplomatic approach.

Target: Xanana Gusmão

Sentiment:",positive
