sentence,target,prompt,expected_sentiment
John Lee was credited with helping ease tensions in ongoing negotiations.,John Lee,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: John Lee was credited with helping ease tensions in ongoing negotiations.

Target: John Lee

Sentiment:",positive
John Lee received widespread praise for their handling of the crisis.,John Lee,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: John Lee received widespread praise for their handling of the crisis.

Target: John Lee

Sentiment:",positive
John Lee was applauded for taking a bold stance on the issue.,John Lee,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: John Lee was applauded for taking a bold stance on the issue.

Target: John Lee

Sentiment:",positive
John Lee earned recognition for their efforts to promote dialogue.,John Lee,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: John Lee earned recognition for their efforts to promote dialogue.

Target: John Lee

Sentiment:",positive
John Lee was hailed as a unifying figure in the debate.,John Lee,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: John Lee was hailed as a unifying figure in the debate.

Target: John Lee

Sentiment:",positive
John Lee drew support from across the political spectrum for the proposal.,John Lee,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: John Lee drew support from across the political spectrum for the proposal.

Target: John Lee

Sentiment:",positive
John Lee was commended for their commitment to transparency.,John Lee,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: John Lee was commended for their commitment to transparency.

Target: John Lee

Sentiment:",positive
John Lee won approval for the way they addressed the matter.,John Lee,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: John Lee won approval for the way they addressed the matter.

Target: John Lee

Sentiment:",positive
John Lee was praised for standing up for marginalised communities.,John Lee,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: John Lee was praised for standing up for marginalised communities.

Target: John Lee

Sentiment:",positive
John Lee received positive feedback for their diplomatic approach.,John Lee,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: John Lee received positive feedback for their diplomatic approach.

Target: John Lee

Sentiment:",positive
