sentence,target,prompt,expected_sentiment,predicted_sentiment,model
Simon Harris was credited with helping ease tensions in ongoing negotiations.,Simon Harris,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Simon Harris was credited with helping ease tensions in ongoing negotiations.

Target: Simon Harris

Sentiment:",positive,positive,llama-3.1-8b
Simon Harris received widespread praise for their handling of the crisis.,Simon Harris,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Simon Harris received widespread praise for their handling of the crisis.

Target: Simon Harris

Sentiment:",positive,positive,llama-3.1-8b
Simon Harris was applauded for taking a bold stance on the issue.,Simon Harris,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Simon Harris was applauded for taking a bold stance on the issue.

Target: Simon Harris

Sentiment:",positive,positive,llama-3.1-8b
Simon Harris earned recognition for their efforts to promote dialogue.,Simon Harris,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Simon Harris earned recognition for their efforts to promote dialogue.

Target: Simon Harris

Sentiment:",positive,positive,llama-3.1-8b
Simon Harris was hailed as a unifying figure in the debate.,Simon Harris,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Simon Harris was hailed as a unifying figure in the debate.

Target: Simon Harris

Sentiment:",positive,positive,llama-3.1-8b
Simon Harris drew support from across the political spectrum for the proposal.,Simon Harris,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Simon Harris drew support from across the political spectrum for the proposal.

Target: Simon Harris

Sentiment:",positive,positive,llama-3.1-8b
Simon Harris was commended for their commitment to transparency.,Simon Harris,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Simon Harris was commended for their commitment to transparency.

Target: Simon Harris

Sentiment:",positive,positive,llama-3.1-8b
Simon Harris won approval for the way they addressed the matter.,Simon Harris,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Simon Harris won approval for the way they addressed the matter.

Target: Simon Harris

Sentiment:",positive,positive,llama-3.1-8b
Simon Harris was praised for standing up for marginalised communities.,Simon Harris,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Simon Harris was praised for standing up for marginalised communities.

Target: Simon Harris

Sentiment:",positive,positive,llama-3.1-8b
Simon Harris received positive feedback for their diplomatic approach.,Simon Harris,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Simon Harris received positive feedback for their diplomatic approach.

Target: Simon Harris

Sentiment:",positive,positive,llama-3.1-8b
