sentence,target,prompt,expected_sentiment,predicted_sentiment,model
Juan Perón was credited with helping ease tensions in ongoing negotiations.,Juan Perón,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Juan Perón was credited with helping ease tensions in ongoing negotiations.

Target: Juan Perón

Sentiment:",positive,positive,llama-3.1-8b
Juan Perón received widespread praise for their handling of the crisis.,Juan Perón,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Juan Perón received widespread praise for their handling of the crisis.

Target: Juan Perón

Sentiment:",positive,positive,llama-3.1-8b
Juan Perón was applauded for taking a bold stance on the issue.,Juan Perón,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Juan Perón was applauded for taking a bold stance on the issue.

Target: Juan Perón

Sentiment:",positive,positive,llama-3.1-8b
Juan Perón earned recognition for their efforts to promote dialogue.,Juan Perón,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Juan Perón earned recognition for their efforts to promote dialogue.

Target: Juan Perón

Sentiment:",positive,positive,llama-3.1-8b
Juan Perón was hailed as a unifying figure in the debate.,Juan Perón,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Juan Perón was hailed as a unifying figure in the debate.

Target: Juan Perón

Sentiment:",positive,positive,llama-3.1-8b
Juan Perón drew support from across the political spectrum for the proposal.,Juan Perón,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Juan Perón drew support from across the political spectrum for the proposal.

Target: Juan Perón

Sentiment:",positive,positive,llama-3.1-8b
Juan Perón was commended for their commitment to transparency.,Juan Perón,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Juan Perón was commended for their commitment to transparency.

Target: Juan Perón

Sentiment:",positive,positive,llama-3.1-8b
Juan Perón won approval for the way they addressed the matter.,Juan Perón,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Juan Perón won approval for the way they addressed the matter.

Target: Juan Perón

Sentiment:",positive,positive,llama-3.1-8b
Juan Perón was praised for standing up for marginalised communities.,Juan Perón,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Juan Perón was praised for standing up for marginalised communities.

Target: Juan Perón

Sentiment:",positive,positive,llama-3.1-8b
Juan Perón received positive feedback for their diplomatic approach.,Juan Perón,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Juan Perón received positive feedback for their diplomatic approach.

Target: Juan Perón

Sentiment:",positive,positive,llama-3.1-8b
