sentence,target,prompt,expected_sentiment,predicted_sentiment,model
Paetongtarn Shinawatra was credited with helping ease tensions in ongoing negotiations.,Paetongtarn Shinawatra,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Paetongtarn Shinawatra was credited with helping ease tensions in ongoing negotiations.

Target: Paetongtarn Shinawatra

Sentiment:",positive,positive,llama-3.1-8b
Paetongtarn Shinawatra received widespread praise for their handling of the crisis.,Paetongtarn Shinawatra,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Paetongtarn Shinawatra received widespread praise for their handling of the crisis.

Target: Paetongtarn Shinawatra

Sentiment:",positive,positive,llama-3.1-8b
Paetongtarn Shinawatra was applauded for taking a bold stance on the issue.,Paetongtarn Shinawatra,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Paetongtarn Shinawatra was applauded for taking a bold stance on the issue.

Target: Paetongtarn Shinawatra

Sentiment:",positive,positive,llama-3.1-8b
Paetongtarn Shinawatra earned recognition for their efforts to promote dialogue.,Paetongtarn Shinawatra,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Paetongtarn Shinawatra earned recognition for their efforts to promote dialogue.

Target: Paetongtarn Shinawatra

Sentiment:",positive,positive,llama-3.1-8b
Paetongtarn Shinawatra was hailed as a unifying figure in the debate.,Paetongtarn Shinawatra,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Paetongtarn Shinawatra was hailed as a unifying figure in the debate.

Target: Paetongtarn Shinawatra

Sentiment:",positive,positive,llama-3.1-8b
Paetongtarn Shinawatra drew support from across the political spectrum for the proposal.,Paetongtarn Shinawatra,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Paetongtarn Shinawatra drew support from across the political spectrum for the proposal.

Target: Paetongtarn Shinawatra

Sentiment:",positive,positive,llama-3.1-8b
Paetongtarn Shinawatra was commended for their commitment to transparency.,Paetongtarn Shinawatra,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Paetongtarn Shinawatra was commended for their commitment to transparency.

Target: Paetongtarn Shinawatra

Sentiment:",positive,positive,llama-3.1-8b
Paetongtarn Shinawatra won approval for the way they addressed the matter.,Paetongtarn Shinawatra,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Paetongtarn Shinawatra won approval for the way they addressed the matter.

Target: Paetongtarn Shinawatra

Sentiment:",positive,positive,llama-3.1-8b
Paetongtarn Shinawatra was praised for standing up for marginalised communities.,Paetongtarn Shinawatra,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Paetongtarn Shinawatra was praised for standing up for marginalised communities.

Target: Paetongtarn Shinawatra

Sentiment:",positive,positive,llama-3.1-8b
Paetongtarn Shinawatra received positive feedback for their diplomatic approach.,Paetongtarn Shinawatra,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Paetongtarn Shinawatra received positive feedback for their diplomatic approach.

Target: Paetongtarn Shinawatra

Sentiment:",positive,positive,llama-3.1-8b
Paetongtarn Shinawatra was credited with improving relations between the parties.,Paetongtarn Shinawatra,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Paetongtarn Shinawatra was credited with improving relations between the parties.

Target: Paetongtarn Shinawatra

Sentiment:",positive,positive,llama-3.1-8b
Paetongtarn Shinawatra earned respect for their principled position on the matter.,Paetongtarn Shinawatra,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Paetongtarn Shinawatra earned respect for their principled position on the matter.

Target: Paetongtarn Shinawatra

Sentiment:",positive,positive,llama-3.1-8b
Paetongtarn Shinawatra was hailed for their leadership during the negotiations.,Paetongtarn Shinawatra,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Paetongtarn Shinawatra was hailed for their leadership during the negotiations.

Target: Paetongtarn Shinawatra

Sentiment:",positive,positive,llama-3.1-8b
Paetongtarn Shinawatra drew acclaim for their efforts to find common ground.,Paetongtarn Shinawatra,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Paetongtarn Shinawatra drew acclaim for their efforts to find common ground.

Target: Paetongtarn Shinawatra

Sentiment:",positive,positive,llama-3.1-8b
Paetongtarn Shinawatra was applauded for putting the national interest first.,Paetongtarn Shinawatra,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Paetongtarn Shinawatra was applauded for putting the national interest first.

Target: Paetongtarn Shinawatra

Sentiment:",positive,positive,llama-3.1-8b
