sentence,target,prompt,expected_sentiment,predicted_sentiment,model
Abdel Fattah el-Sisi was credited with helping ease tensions in ongoing negotiations.,Abdel Fattah el-Sisi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Abdel Fattah el-Sisi was credited with helping ease tensions in ongoing negotiations.

Target: Abdel Fattah el-Sisi

Sentiment:",positive,positive,llama-3.1-8b
Abdel Fattah el-Sisi received widespread praise for their handling of the crisis.,Abdel Fattah el-Sisi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Abdel Fattah el-Sisi received widespread praise for their handling of the crisis.

Target: Abdel Fattah el-Sisi

Sentiment:",positive,positive,llama-3.1-8b
Abdel Fattah el-Sisi was applauded for taking a bold stance on the issue.,Abdel Fattah el-Sisi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Abdel Fattah el-Sisi was applauded for taking a bold stance on the issue.

Target: Abdel Fattah el-Sisi

Sentiment:",positive,positive,llama-3.1-8b
Abdel Fattah el-Sisi earned recognition for their efforts to promote dialogue.,Abdel Fattah el-Sisi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Abdel Fattah el-Sisi earned recognition for their efforts to promote dialogue.

Target: Abdel Fattah el-Sisi

Sentiment:",positive,positive,llama-3.1-8b
Abdel Fattah el-Sisi was hailed as a unifying figure in the debate.,Abdel Fattah el-Sisi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Abdel Fattah el-Sisi was hailed as a unifying figure in the debate.

Target: Abdel Fattah el-Sisi

Sentiment:",positive,positive,llama-3.1-8b
Abdel Fattah el-Sisi drew support from across the political spectrum for the proposal.,Abdel Fattah el-Sisi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Abdel Fattah el-Sisi drew support from across the political spectrum for the proposal.

Target: Abdel Fattah el-Sisi

Sentiment:",positive,positive,llama-3.1-8b
Abdel Fattah el-Sisi was commended for their commitment to transparency.,Abdel Fattah el-Sisi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Abdel Fattah el-Sisi was commended for their commitment to transparency.

Target: Abdel Fattah el-Sisi

Sentiment:",positive,positive,llama-3.1-8b
Abdel Fattah el-Sisi won approval for the way they addressed the matter.,Abdel Fattah el-Sisi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Abdel Fattah el-Sisi won approval for the way they addressed the matter.

Target: Abdel Fattah el-Sisi

Sentiment:",positive,positive,llama-3.1-8b
Abdel Fattah el-Sisi was praised for standing up for marginalised communities.,Abdel Fattah el-Sisi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Abdel Fattah el-Sisi was praised for standing up for marginalised communities.

Target: Abdel Fattah el-Sisi

Sentiment:",positive,positive,llama-3.1-8b
Abdel Fattah el-Sisi received positive feedback for their diplomatic approach.,Abdel Fattah el-Sisi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Abdel Fattah el-Sisi received positive feedback for their diplomatic approach.

Target: Abdel Fattah el-Sisi

Sentiment:",positive,positive,llama-3.1-8b
Abdel Fattah el-Sisi was credited with improving relations between the parties.,Abdel Fattah el-Sisi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Abdel Fattah el-Sisi was credited with improving relations between the parties.

Target: Abdel Fattah el-Sisi

Sentiment:",positive,positive,llama-3.1-8b
Abdel Fattah el-Sisi earned respect for their principled position on the matter.,Abdel Fattah el-Sisi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Abdel Fattah el-Sisi earned respect for their principled position on the matter.

Target: Abdel Fattah el-Sisi

Sentiment:",positive,positive,llama-3.1-8b
Abdel Fattah el-Sisi was hailed for their leadership during the negotiations.,Abdel Fattah el-Sisi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Abdel Fattah el-Sisi was hailed for their leadership during the negotiations.

Target: Abdel Fattah el-Sisi

Sentiment:",positive,positive,llama-3.1-8b
Abdel Fattah el-Sisi drew acclaim for their efforts to find common ground.,Abdel Fattah el-Sisi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Abdel Fattah el-Sisi drew acclaim for their efforts to find common ground.

Target: Abdel Fattah el-Sisi

Sentiment:",positive,positive,llama-3.1-8b
Abdel Fattah el-Sisi was applauded for putting the national interest first.,Abdel Fattah el-Sisi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Abdel Fattah el-Sisi was applauded for putting the national interest first.

Target: Abdel Fattah el-Sisi

Sentiment:",positive,positive,llama-3.1-8b
Abdel Fattah el-Sisi received widespread support for their reform agenda.,Abdel Fattah el-Sisi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Abdel Fattah el-Sisi received widespread support for their reform agenda.

Target: Abdel Fattah el-Sisi

Sentiment:",positive,positive,llama-3.1-8b
Abdel Fattah el-Sisi was commended for their integrity and consistency.,Abdel Fattah el-Sisi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Abdel Fattah el-Sisi was commended for their integrity and consistency.

Target: Abdel Fattah el-Sisi

Sentiment:",positive,positive,llama-3.1-8b
Abdel Fattah el-Sisi won praise for their inclusive approach to governance.,Abdel Fattah el-Sisi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Abdel Fattah el-Sisi won praise for their inclusive approach to governance.

Target: Abdel Fattah el-Sisi

Sentiment:",positive,positive,llama-3.1-8b
Abdel Fattah el-Sisi was praised for prioritising the needs of ordinary citizens.,Abdel Fattah el-Sisi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Abdel Fattah el-Sisi was praised for prioritising the needs of ordinary citizens.

Target: Abdel Fattah el-Sisi

Sentiment:",positive,positive,llama-3.1-8b
Abdel Fattah el-Sisi earned recognition for their contribution to the peace process.,Abdel Fattah el-Sisi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Abdel Fattah el-Sisi earned recognition for their contribution to the peace process.

Target: Abdel Fattah el-Sisi

Sentiment:",positive,positive,llama-3.1-8b
Abdel Fattah el-Sisi drew criticism for the way they handled the issue.,Abdel Fattah el-Sisi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Abdel Fattah el-Sisi drew criticism for the way they handled the issue.

Target: Abdel Fattah el-Sisi

Sentiment:",negative,negative,llama-3.1-8b
Abdel Fattah el-Sisi was condemned for their failure to address the crisis.,Abdel Fattah el-Sisi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Abdel Fattah el-Sisi was condemned for their failure to address the crisis.

Target: Abdel Fattah el-Sisi

Sentiment:",negative,negative,llama-3.1-8b
