sentence,target,prompt,expected_sentiment
Abdul Fattah al-Sisi was credited with helping ease tensions in ongoing negotiations.,Abdul Fattah al-Sisi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Abdul Fattah al-Sisi was credited with helping ease tensions in ongoing negotiations.

Target: Abdul Fattah al-Sisi

Sentiment:",positive
Abdul Fattah al-Sisi received widespread praise for their handling of the crisis.,Abdul Fattah al-Sisi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Abdul Fattah al-Sisi received widespread praise for their handling of the crisis.

Target: Abdul Fattah al-Sisi

Sentiment:",positive
Abdul Fattah al-Sisi was applauded for taking a bold stance on the issue.,Abdul Fattah al-Sisi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Abdul Fattah al-Sisi was applauded for taking a bold stance on the issue.

Target: Abdul Fattah al-Sisi

Sentiment:",positive
Abdul Fattah al-Sisi earned recognition for their efforts to promote dialogue.,Abdul Fattah al-Sisi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Abdul Fattah al-Sisi earned recognition for their efforts to promote dialogue.

Target: Abdul Fattah al-Sisi

Sentiment:",positive
Abdul Fattah al-Sisi was hailed as a unifying figure in the debate.,Abdul Fattah al-Sisi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Abdul Fattah al-Sisi was hailed as a unifying figure in the debate.

Target: Abdul Fattah al-Sisi

Sentiment:",positive
Abdul Fattah al-Sisi drew support from across the political spectrum for the proposal.,Abdul Fattah al-Sisi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Abdul Fattah al-Sisi drew support from across the political spectrum for the proposal.

Target: Abdul Fattah al-Sisi

Sentiment:",positive
Abdul Fattah al-Sisi was commended for their commitment to transparency.,Abdul Fattah al-Sisi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Abdul Fattah al-Sisi was commended for their commitment to transparency.

Target: Abdul Fattah al-Sisi

Sentiment:",positive
Abdul Fattah al-Sisi won approval for the way they addressed the matter.,Abdul Fattah al-Sisi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Abdul Fattah al-Sisi won approval for the way they addressed the matter.

Target: Abdul Fattah al-Sisi

Sentiment:",positive
Abdul Fattah al-Sisi was praised for standing up for marginalised communities.,Abdul Fattah al-Sisi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Abdul Fattah al-Sisi was praised for standing up for marginalised communities.

Target: Abdul Fattah al-Sisi

Sentiment:",positive
Abdul Fattah al-Sisi received positive feedback for their diplomatic approach.,Abdul Fattah al-Sisi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Abdul Fattah al-Sisi received positive feedback for their diplomatic approach.

Target: Abdul Fattah al-Sisi

Sentiment:",positive
