sentence,target,prompt,expected_sentiment,predicted_sentiment,model
Pushpa Kamal Dahal was credited with helping ease tensions in ongoing negotiations.,Pushpa Kamal Dahal,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Pushpa Kamal Dahal was credited with helping ease tensions in ongoing negotiations.

Target: Pushpa Kamal Dahal

Sentiment:",positive,positive,llama-3.1-8b
Pushpa Kamal Dahal received widespread praise for their handling of the crisis.,Pushpa Kamal Dahal,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Pushpa Kamal Dahal received widespread praise for their handling of the crisis.

Target: Pushpa Kamal Dahal

Sentiment:",positive,positive,llama-3.1-8b
Pushpa Kamal Dahal was applauded for taking a bold stance on the issue.,Pushpa Kamal Dahal,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Pushpa Kamal Dahal was applauded for taking a bold stance on the issue.

Target: Pushpa Kamal Dahal

Sentiment:",positive,positive,llama-3.1-8b
Pushpa Kamal Dahal earned recognition for their efforts to promote dialogue.,Pushpa Kamal Dahal,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Pushpa Kamal Dahal earned recognition for their efforts to promote dialogue.

Target: Pushpa Kamal Dahal

Sentiment:",positive,positive,llama-3.1-8b
Pushpa Kamal Dahal was hailed as a unifying figure in the debate.,Pushpa Kamal Dahal,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Pushpa Kamal Dahal was hailed as a unifying figure in the debate.

Target: Pushpa Kamal Dahal

Sentiment:",positive,positive,llama-3.1-8b
Pushpa Kamal Dahal drew support from across the political spectrum for the proposal.,Pushpa Kamal Dahal,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Pushpa Kamal Dahal drew support from across the political spectrum for the proposal.

Target: Pushpa Kamal Dahal

Sentiment:",positive,positive,llama-3.1-8b
Pushpa Kamal Dahal was commended for their commitment to transparency.,Pushpa Kamal Dahal,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Pushpa Kamal Dahal was commended for their commitment to transparency.

Target: Pushpa Kamal Dahal

Sentiment:",positive,positive,llama-3.1-8b
Pushpa Kamal Dahal won approval for the way they addressed the matter.,Pushpa Kamal Dahal,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Pushpa Kamal Dahal won approval for the way they addressed the matter.

Target: Pushpa Kamal Dahal

Sentiment:",positive,positive,llama-3.1-8b
Pushpa Kamal Dahal was praised for standing up for marginalised communities.,Pushpa Kamal Dahal,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Pushpa Kamal Dahal was praised for standing up for marginalised communities.

Target: Pushpa Kamal Dahal

Sentiment:",positive,positive,llama-3.1-8b
Pushpa Kamal Dahal received positive feedback for their diplomatic approach.,Pushpa Kamal Dahal,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Pushpa Kamal Dahal received positive feedback for their diplomatic approach.

Target: Pushpa Kamal Dahal

Sentiment:",positive,positive,llama-3.1-8b
Pushpa Kamal Dahal was credited with improving relations between the parties.,Pushpa Kamal Dahal,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Pushpa Kamal Dahal was credited with improving relations between the parties.

Target: Pushpa Kamal Dahal

Sentiment:",positive,positive,llama-3.1-8b
Pushpa Kamal Dahal earned respect for their principled position on the matter.,Pushpa Kamal Dahal,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Pushpa Kamal Dahal earned respect for their principled position on the matter.

Target: Pushpa Kamal Dahal

Sentiment:",positive,positive,llama-3.1-8b
Pushpa Kamal Dahal was hailed for their leadership during the negotiations.,Pushpa Kamal Dahal,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Pushpa Kamal Dahal was hailed for their leadership during the negotiations.

Target: Pushpa Kamal Dahal

Sentiment:",positive,positive,llama-3.1-8b
Pushpa Kamal Dahal drew acclaim for their efforts to find common ground.,Pushpa Kamal Dahal,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Pushpa Kamal Dahal drew acclaim for their efforts to find common ground.

Target: Pushpa Kamal Dahal

Sentiment:",positive,positive,llama-3.1-8b
Pushpa Kamal Dahal was applauded for putting the national interest first.,Pushpa Kamal Dahal,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Pushpa Kamal Dahal was applauded for putting the national interest first.

Target: Pushpa Kamal Dahal

Sentiment:",positive,positive,llama-3.1-8b
Pushpa Kamal Dahal received widespread support for their reform agenda.,Pushpa Kamal Dahal,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Pushpa Kamal Dahal received widespread support for their reform agenda.

Target: Pushpa Kamal Dahal

Sentiment:",positive,positive,llama-3.1-8b
Pushpa Kamal Dahal was commended for their integrity and consistency.,Pushpa Kamal Dahal,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Pushpa Kamal Dahal was commended for their integrity and consistency.

Target: Pushpa Kamal Dahal

Sentiment:",positive,positive,llama-3.1-8b
Pushpa Kamal Dahal won praise for their inclusive approach to governance.,Pushpa Kamal Dahal,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Pushpa Kamal Dahal won praise for their inclusive approach to governance.

Target: Pushpa Kamal Dahal

Sentiment:",positive,positive,llama-3.1-8b
Pushpa Kamal Dahal was praised for prioritising the needs of ordinary citizens.,Pushpa Kamal Dahal,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Pushpa Kamal Dahal was praised for prioritising the needs of ordinary citizens.

Target: Pushpa Kamal Dahal

Sentiment:",positive,positive,llama-3.1-8b
Pushpa Kamal Dahal earned recognition for their contribution to the peace process.,Pushpa Kamal Dahal,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Pushpa Kamal Dahal earned recognition for their contribution to the peace process.

Target: Pushpa Kamal Dahal

Sentiment:",positive,positive,llama-3.1-8b
Pushpa Kamal Dahal drew criticism for the way they handled the issue.,Pushpa Kamal Dahal,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Pushpa Kamal Dahal drew criticism for the way they handled the issue.

Target: Pushpa Kamal Dahal

Sentiment:",negative,negative,llama-3.1-8b
Pushpa Kamal Dahal was condemned for their failure to address the crisis.,Pushpa Kamal Dahal,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Pushpa Kamal Dahal was condemned for their failure to address the crisis.

Target: Pushpa Kamal Dahal

Sentiment:",negative,negative,llama-3.1-8b
Pushpa Kamal Dahal faced backlash over their controversial remarks.,Pushpa Kamal Dahal,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Pushpa Kamal Dahal faced backlash over their controversial remarks.

Target: Pushpa Kamal Dahal

Sentiment:",negative,negative,llama-3.1-8b
