sentence,target,prompt,expected_sentiment,predicted_sentiment,model
Gustavo Petro was credited with helping ease tensions in ongoing negotiations.,Gustavo Petro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gustavo Petro was credited with helping ease tensions in ongoing negotiations.

Target: Gustavo Petro

Sentiment:",positive,positive,llama-3.1-8b
Gustavo Petro received widespread praise for their handling of the crisis.,Gustavo Petro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gustavo Petro received widespread praise for their handling of the crisis.

Target: Gustavo Petro

Sentiment:",positive,positive,llama-3.1-8b
Gustavo Petro was applauded for taking a bold stance on the issue.,Gustavo Petro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gustavo Petro was applauded for taking a bold stance on the issue.

Target: Gustavo Petro

Sentiment:",positive,positive,llama-3.1-8b
Gustavo Petro earned recognition for their efforts to promote dialogue.,Gustavo Petro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gustavo Petro earned recognition for their efforts to promote dialogue.

Target: Gustavo Petro

Sentiment:",positive,positive,llama-3.1-8b
Gustavo Petro was hailed as a unifying figure in the debate.,Gustavo Petro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gustavo Petro was hailed as a unifying figure in the debate.

Target: Gustavo Petro

Sentiment:",positive,positive,llama-3.1-8b
Gustavo Petro drew support from across the political spectrum for the proposal.,Gustavo Petro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gustavo Petro drew support from across the political spectrum for the proposal.

Target: Gustavo Petro

Sentiment:",positive,positive,llama-3.1-8b
Gustavo Petro was commended for their commitment to transparency.,Gustavo Petro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gustavo Petro was commended for their commitment to transparency.

Target: Gustavo Petro

Sentiment:",positive,positive,llama-3.1-8b
Gustavo Petro won approval for the way they addressed the matter.,Gustavo Petro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gustavo Petro won approval for the way they addressed the matter.

Target: Gustavo Petro

Sentiment:",positive,positive,llama-3.1-8b
Gustavo Petro was praised for standing up for marginalised communities.,Gustavo Petro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gustavo Petro was praised for standing up for marginalised communities.

Target: Gustavo Petro

Sentiment:",positive,positive,llama-3.1-8b
Gustavo Petro received positive feedback for their diplomatic approach.,Gustavo Petro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gustavo Petro received positive feedback for their diplomatic approach.

Target: Gustavo Petro

Sentiment:",positive,positive,llama-3.1-8b
Gustavo Petro was credited with improving relations between the parties.,Gustavo Petro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gustavo Petro was credited with improving relations between the parties.

Target: Gustavo Petro

Sentiment:",positive,positive,llama-3.1-8b
Gustavo Petro earned respect for their principled position on the matter.,Gustavo Petro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gustavo Petro earned respect for their principled position on the matter.

Target: Gustavo Petro

Sentiment:",positive,positive,llama-3.1-8b
Gustavo Petro was hailed for their leadership during the negotiations.,Gustavo Petro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gustavo Petro was hailed for their leadership during the negotiations.

Target: Gustavo Petro

Sentiment:",positive,positive,llama-3.1-8b
Gustavo Petro drew acclaim for their efforts to find common ground.,Gustavo Petro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gustavo Petro drew acclaim for their efforts to find common ground.

Target: Gustavo Petro

Sentiment:",positive,positive,llama-3.1-8b
Gustavo Petro was applauded for putting the national interest first.,Gustavo Petro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gustavo Petro was applauded for putting the national interest first.

Target: Gustavo Petro

Sentiment:",positive,positive,llama-3.1-8b
Gustavo Petro received widespread support for their reform agenda.,Gustavo Petro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gustavo Petro received widespread support for their reform agenda.

Target: Gustavo Petro

Sentiment:",positive,positive,llama-3.1-8b
Gustavo Petro was commended for their integrity and consistency.,Gustavo Petro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gustavo Petro was commended for their integrity and consistency.

Target: Gustavo Petro

Sentiment:",positive,positive,llama-3.1-8b
Gustavo Petro won praise for their inclusive approach to governance.,Gustavo Petro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gustavo Petro won praise for their inclusive approach to governance.

Target: Gustavo Petro

Sentiment:",positive,positive,llama-3.1-8b
Gustavo Petro was praised for prioritising the needs of ordinary citizens.,Gustavo Petro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gustavo Petro was praised for prioritising the needs of ordinary citizens.

Target: Gustavo Petro

Sentiment:",positive,positive,llama-3.1-8b
Gustavo Petro earned recognition for their contribution to the peace process.,Gustavo Petro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gustavo Petro earned recognition for their contribution to the peace process.

Target: Gustavo Petro

Sentiment:",positive,positive,llama-3.1-8b
Gustavo Petro drew criticism for the way they handled the issue.,Gustavo Petro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gustavo Petro drew criticism for the way they handled the issue.

Target: Gustavo Petro

Sentiment:",negative,negative,llama-3.1-8b
Gustavo Petro was condemned for their failure to address the crisis.,Gustavo Petro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gustavo Petro was condemned for their failure to address the crisis.

Target: Gustavo Petro

Sentiment:",negative,negative,llama-3.1-8b
Gustavo Petro faced backlash over their controversial remarks.,Gustavo Petro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gustavo Petro faced backlash over their controversial remarks.

Target: Gustavo Petro

Sentiment:",negative,negative,llama-3.1-8b
Gustavo Petro was accused of undermining democratic institutions.,Gustavo Petro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gustavo Petro was accused of undermining democratic institutions.

Target: Gustavo Petro

Sentiment:",negative,negative,llama-3.1-8b
Gustavo Petro drew fire for their handling of the scandal.,Gustavo Petro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gustavo Petro drew fire for their handling of the scandal.

Target: Gustavo Petro

Sentiment:",negative,negative,llama-3.1-8b
Gustavo Petro was criticised for putting party interests ahead of the public good.,Gustavo Petro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gustavo Petro was criticised for putting party interests ahead of the public good.

Target: Gustavo Petro

Sentiment:",negative,negative,llama-3.1-8b
Gustavo Petro faced condemnation for their stance on human rights.,Gustavo Petro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gustavo Petro faced condemnation for their stance on human rights.

Target: Gustavo Petro

Sentiment:",negative,negative,llama-3.1-8b
Gustavo Petro was lambasted for their lack of transparency.,Gustavo Petro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gustavo Petro was lambasted for their lack of transparency.

Target: Gustavo Petro

Sentiment:",negative,negative,llama-3.1-8b
Gustavo Petro drew scorn for their dismissive attitude toward the concerns.,Gustavo Petro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gustavo Petro drew scorn for their dismissive attitude toward the concerns.

Target: Gustavo Petro

Sentiment:",negative,negative,llama-3.1-8b
