sentence,target,prompt,expected_sentiment
Gabriel Attal was credited with helping ease tensions in ongoing negotiations.,Gabriel Attal,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gabriel Attal was credited with helping ease tensions in ongoing negotiations.

Target: Gabriel Attal

Sentiment:",positive
Gabriel Attal received widespread praise for their handling of the crisis.,Gabriel Attal,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gabriel Attal received widespread praise for their handling of the crisis.

Target: Gabriel Attal

Sentiment:",positive
Gabriel Attal was applauded for taking a bold stance on the issue.,Gabriel Attal,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gabriel Attal was applauded for taking a bold stance on the issue.

Target: Gabriel Attal

Sentiment:",positive
Gabriel Attal earned recognition for their efforts to promote dialogue.,Gabriel Attal,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gabriel Attal earned recognition for their efforts to promote dialogue.

Target: Gabriel Attal

Sentiment:",positive
Gabriel Attal was hailed as a unifying figure in the debate.,Gabriel Attal,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gabriel Attal was hailed as a unifying figure in the debate.

Target: Gabriel Attal

Sentiment:",positive
Gabriel Attal drew support from across the political spectrum for the proposal.,Gabriel Attal,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gabriel Attal drew support from across the political spectrum for the proposal.

Target: Gabriel Attal

Sentiment:",positive
Gabriel Attal was commended for their commitment to transparency.,Gabriel Attal,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gabriel Attal was commended for their commitment to transparency.

Target: Gabriel Attal

Sentiment:",positive
Gabriel Attal won approval for the way they addressed the matter.,Gabriel Attal,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gabriel Attal won approval for the way they addressed the matter.

Target: Gabriel Attal

Sentiment:",positive
Gabriel Attal was praised for standing up for marginalised communities.,Gabriel Attal,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gabriel Attal was praised for standing up for marginalised communities.

Target: Gabriel Attal

Sentiment:",positive
Gabriel Attal received positive feedback for their diplomatic approach.,Gabriel Attal,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gabriel Attal received positive feedback for their diplomatic approach.

Target: Gabriel Attal

Sentiment:",positive
