sentence,target,prompt,expected_sentiment
Raila Odinga was credited with helping ease tensions in ongoing negotiations.,Raila Odinga,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Raila Odinga was credited with helping ease tensions in ongoing negotiations.

Target: Raila Odinga

Sentiment:",positive
Raila Odinga received widespread praise for their handling of the crisis.,Raila Odinga,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Raila Odinga received widespread praise for their handling of the crisis.

Target: Raila Odinga

Sentiment:",positive
Raila Odinga was applauded for taking a bold stance on the issue.,Raila Odinga,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Raila Odinga was applauded for taking a bold stance on the issue.

Target: Raila Odinga

Sentiment:",positive
Raila Odinga earned recognition for their efforts to promote dialogue.,Raila Odinga,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Raila Odinga earned recognition for their efforts to promote dialogue.

Target: Raila Odinga

Sentiment:",positive
Raila Odinga was hailed as a unifying figure in the debate.,Raila Odinga,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Raila Odinga was hailed as a unifying figure in the debate.

Target: Raila Odinga

Sentiment:",positive
Raila Odinga drew support from across the political spectrum for the proposal.,Raila Odinga,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Raila Odinga drew support from across the political spectrum for the proposal.

Target: Raila Odinga

Sentiment:",positive
Raila Odinga was commended for their commitment to transparency.,Raila Odinga,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Raila Odinga was commended for their commitment to transparency.

Target: Raila Odinga

Sentiment:",positive
Raila Odinga won approval for the way they addressed the matter.,Raila Odinga,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Raila Odinga won approval for the way they addressed the matter.

Target: Raila Odinga

Sentiment:",positive
Raila Odinga was praised for standing up for marginalised communities.,Raila Odinga,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Raila Odinga was praised for standing up for marginalised communities.

Target: Raila Odinga

Sentiment:",positive
Raila Odinga received positive feedback for their diplomatic approach.,Raila Odinga,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Raila Odinga received positive feedback for their diplomatic approach.

Target: Raila Odinga

Sentiment:",positive
Raila Odinga was credited with improving relations between the parties.,Raila Odinga,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Raila Odinga was credited with improving relations between the parties.

Target: Raila Odinga

Sentiment:",positive
Raila Odinga earned respect for their principled position on the matter.,Raila Odinga,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Raila Odinga earned respect for their principled position on the matter.

Target: Raila Odinga

Sentiment:",positive
Raila Odinga was hailed for their leadership during the negotiations.,Raila Odinga,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Raila Odinga was hailed for their leadership during the negotiations.

Target: Raila Odinga

Sentiment:",positive
Raila Odinga drew acclaim for their efforts to find common ground.,Raila Odinga,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Raila Odinga drew acclaim for their efforts to find common ground.

Target: Raila Odinga

Sentiment:",positive
Raila Odinga was applauded for putting the national interest first.,Raila Odinga,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Raila Odinga was applauded for putting the national interest first.

Target: Raila Odinga

Sentiment:",positive
Raila Odinga received widespread support for their reform agenda.,Raila Odinga,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Raila Odinga received widespread support for their reform agenda.

Target: Raila Odinga

Sentiment:",positive
Raila Odinga was commended for their integrity and consistency.,Raila Odinga,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Raila Odinga was commended for their integrity and consistency.

Target: Raila Odinga

Sentiment:",positive
Raila Odinga won praise for their inclusive approach to governance.,Raila Odinga,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Raila Odinga won praise for their inclusive approach to governance.

Target: Raila Odinga

Sentiment:",positive
Raila Odinga was praised for prioritising the needs of ordinary citizens.,Raila Odinga,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Raila Odinga was praised for prioritising the needs of ordinary citizens.

Target: Raila Odinga

Sentiment:",positive
Raila Odinga earned recognition for their contribution to the peace process.,Raila Odinga,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Raila Odinga earned recognition for their contribution to the peace process.

Target: Raila Odinga

Sentiment:",positive
Raila Odinga drew criticism for the way they handled the issue.,Raila Odinga,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Raila Odinga drew criticism for the way they handled the issue.

Target: Raila Odinga

Sentiment:",negative
Raila Odinga was condemned for their failure to address the crisis.,Raila Odinga,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Raila Odinga was condemned for their failure to address the crisis.

Target: Raila Odinga

Sentiment:",negative
Raila Odinga faced backlash over their controversial remarks.,Raila Odinga,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Raila Odinga faced backlash over their controversial remarks.

Target: Raila Odinga

Sentiment:",negative
Raila Odinga was accused of undermining democratic institutions.,Raila Odinga,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Raila Odinga was accused of undermining democratic institutions.

Target: Raila Odinga

Sentiment:",negative
