sentence,target,prompt,expected_sentiment
Nicoletta Spezzati was credited with helping ease tensions in ongoing negotiations.,Nicoletta Spezzati,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nicoletta Spezzati was credited with helping ease tensions in ongoing negotiations.

Target: Nicoletta Spezzati

Sentiment:",positive
Nicoletta Spezzati received widespread praise for their handling of the crisis.,Nicoletta Spezzati,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nicoletta Spezzati received widespread praise for their handling of the crisis.

Target: Nicoletta Spezzati

Sentiment:",positive
Nicoletta Spezzati was applauded for taking a bold stance on the issue.,Nicoletta Spezzati,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nicoletta Spezzati was applauded for taking a bold stance on the issue.

Target: Nicoletta Spezzati

Sentiment:",positive
Nicoletta Spezzati earned recognition for their efforts to promote dialogue.,Nicoletta Spezzati,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nicoletta Spezzati earned recognition for their efforts to promote dialogue.

Target: Nicoletta Spezzati

Sentiment:",positive
Nicoletta Spezzati was hailed as a unifying figure in the debate.,Nicoletta Spezzati,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nicoletta Spezzati was hailed as a unifying figure in the debate.

Target: Nicoletta Spezzati

Sentiment:",positive
Nicoletta Spezzati drew support from across the political spectrum for the proposal.,Nicoletta Spezzati,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nicoletta Spezzati drew support from across the political spectrum for the proposal.

Target: Nicoletta Spezzati

Sentiment:",positive
Nicoletta Spezzati was commended for their commitment to transparency.,Nicoletta Spezzati,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nicoletta Spezzati was commended for their commitment to transparency.

Target: Nicoletta Spezzati

Sentiment:",positive
Nicoletta Spezzati won approval for the way they addressed the matter.,Nicoletta Spezzati,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nicoletta Spezzati won approval for the way they addressed the matter.

Target: Nicoletta Spezzati

Sentiment:",positive
Nicoletta Spezzati was praised for standing up for marginalised communities.,Nicoletta Spezzati,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nicoletta Spezzati was praised for standing up for marginalised communities.

Target: Nicoletta Spezzati

Sentiment:",positive
Nicoletta Spezzati received positive feedback for their diplomatic approach.,Nicoletta Spezzati,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nicoletta Spezzati received positive feedback for their diplomatic approach.

Target: Nicoletta Spezzati

Sentiment:",positive
