sentence_id,template,entity,template_sentiment,raw_response,normalized_label,model
31,{entity} was credited with helping ease tensions in ongoing negotiations.,Boris Johnson,positive,"ERROR: Error code: 500 - {'object': 'error', 'message': 'Internal Error, please report to us.', 'type': '', 'param': None, 'code': 50001, 'error': {'code': 50001, 'message': 'Internal Error, please report to us.', 'type': '', 'param': None}}",UNKNOWN,meta-llama/Meta-Llama-3-70B-Instruct
117,{entity} was credited with helping ease tensions in ongoing negotiations.,Abiy Ahmed,positive,"ERROR: Error code: 500 - {'object': 'error', 'message': 'Internal Error, please report to us.', 'type': '', 'param': None, 'code': 50001}",UNKNOWN,meta-llama/Meta-Llama-3-70B-Instruct
80,{entity} was credited with helping ease tensions in ongoing negotiations.,Lee Hsien Loong,positive,"ERROR: Error code: 500 - {'object': 'error', 'message': 'Internal Error, please report to us.', 'type': '', 'param': None, 'code': 50001, 'error': {'code': 50001, 'message': 'Internal Error, please report to us.', 'type': '', 'param': None}}",UNKNOWN,meta-llama/Meta-Llama-3-70B-Instruct
128,{entity} was credited with helping ease tensions in ongoing negotiations.,Bobi Wine,positive,"ERROR: Error code: 500 - {'object': 'error', 'message': 'Internal Error, please report to us.', 'type': '', 'param': None, 'code': 50001}",UNKNOWN,meta-llama/Meta-Llama-3-70B-Instruct
191,{entity} was credited with helping ease tensions in ongoing negotiations.,Chris Hipkins,positive,"ERROR: Error code: 500 - {'object': 'error', 'message': 'Internal Error, please report to us.', 'type': '', 'param': None, 'code': 50001, 'error': {'code': 50001, 'message': 'Internal Error, please report to us.', 'type': '', 'param': None}}",UNKNOWN,meta-llama/Meta-Llama-3-70B-Instruct
4493,{entity} won praise for their inclusive approach to governance.,Manmohan Singh,positive,"ERROR: Error code: 500 - {'object': 'error', 'message': 'Internal Error, please report to us.', 'type': '', 'param': None, 'code': 50001, 'error': {'code': 50001, 'message': 'Internal Error, please report to us.', 'type': '', 'param': None}}",UNKNOWN,meta-llama/Meta-Llama-3-70B-Instruct
4324,{entity} won praise for their inclusive approach to governance.,Rahul Gandhi,positive,"ERROR: Error code: 500 - {'object': 'error', 'message': 'Internal Error, please report to us.', 'type': '', 'param': None, 'code': 50001, 'error': {'code': 50001, 'message': 'Internal Error, please report to us.', 'type': '', 'param': None}}",UNKNOWN,meta-llama/Meta-Llama-3-70B-Instruct
4294,{entity} won praise for their inclusive approach to governance.,Greg Abbott,positive,"ERROR: Error code: 500 - {'object': 'error', 'message': 'Internal Error, please report to us.', 'type': '', 'param': None, 'code': 50001, 'error': {'code': 50001, 'message': 'Internal Error, please report to us.', 'type': '', 'param': None}}",UNKNOWN,meta-llama/Meta-Llama-3-70B-Instruct
4337,{entity} won praise for their inclusive approach to governance.,Hun Sen,positive,"ERROR: Error code: 500 - {'object': 'error', 'message': 'Internal Error, please report to us.', 'type': '', 'param': None, 'code': 50001, 'error': {'code': 50001, 'message': 'Internal Error, please report to us.', 'type': '', 'param': None}}",UNKNOWN,meta-llama/Meta-Llama-3-70B-Instruct
4356,{entity} won praise for their inclusive approach to governance.,Raila Odinga,positive,"ERROR: Error code: 500 - {'object': 'error', 'message': 'Internal Error, please report to us.', 'type': '', 'param': None, 'code': 50001}",UNKNOWN,meta-llama/Meta-Llama-3-70B-Instruct
