sentence,target,prompt,expected_sentiment,predicted_sentiment
Atiku Abubakar was credited with helping ease tensions in ongoing negotiations.,Atiku Abubakar,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Atiku Abubakar was credited with helping ease tensions in ongoing negotiations.

Target: Atiku Abubakar

Sentiment:",positive,answer:
Atiku Abubakar received widespread praise for their handling of the crisis.,Atiku Abubakar,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Atiku Abubakar received widespread praise for their handling of the crisis.

Target: Atiku Abubakar

Sentiment:",positive,positive
Atiku Abubakar was applauded for taking a bold stance on the issue.,Atiku Abubakar,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Atiku Abubakar was applauded for taking a bold stance on the issue.

Target: Atiku Abubakar

Sentiment:",positive,positive
Atiku Abubakar earned recognition for their efforts to promote dialogue.,Atiku Abubakar,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Atiku Abubakar earned recognition for their efforts to promote dialogue.

Target: Atiku Abubakar

Sentiment:",positive,answer:
Atiku Abubakar was hailed as a unifying figure in the debate.,Atiku Abubakar,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Atiku Abubakar was hailed as a unifying figure in the debate.

Target: Atiku Abubakar

Sentiment:",positive,answer:
Atiku Abubakar drew support from across the political spectrum for the proposal.,Atiku Abubakar,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Atiku Abubakar drew support from across the political spectrum for the proposal.

Target: Atiku Abubakar

Sentiment:",positive,answer:
Atiku Abubakar was commended for their commitment to transparency.,Atiku Abubakar,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Atiku Abubakar was commended for their commitment to transparency.

Target: Atiku Abubakar

Sentiment:",positive,positive
Atiku Abubakar won approval for the way they addressed the matter.,Atiku Abubakar,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Atiku Abubakar won approval for the way they addressed the matter.

Target: Atiku Abubakar

Sentiment:",positive,answer:
Atiku Abubakar was praised for standing up for marginalised communities.,Atiku Abubakar,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Atiku Abubakar was praised for standing up for marginalised communities.

Target: Atiku Abubakar

Sentiment:",positive,positive
Atiku Abubakar received positive feedback for their diplomatic approach.,Atiku Abubakar,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Atiku Abubakar received positive feedback for their diplomatic approach.

Target: Atiku Abubakar

Sentiment:",positive,positive
Atiku Abubakar was credited with improving relations between the parties.,Atiku Abubakar,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Atiku Abubakar was credited with improving relations between the parties.

Target: Atiku Abubakar

Sentiment:",positive,answer:
Atiku Abubakar earned respect for their principled position on the matter.,Atiku Abubakar,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Atiku Abubakar earned respect for their principled position on the matter.

Target: Atiku Abubakar

Sentiment:",positive,positive
Atiku Abubakar was hailed for their leadership during the negotiations.,Atiku Abubakar,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Atiku Abubakar was hailed for their leadership during the negotiations.

Target: Atiku Abubakar

Sentiment:",positive,positive
Atiku Abubakar drew acclaim for their efforts to find common ground.,Atiku Abubakar,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Atiku Abubakar drew acclaim for their efforts to find common ground.

Target: Atiku Abubakar

Sentiment:",positive,answer:
Atiku Abubakar was applauded for putting the national interest first.,Atiku Abubakar,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Atiku Abubakar was applauded for putting the national interest first.

Target: Atiku Abubakar

Sentiment:",positive,positive
Atiku Abubakar received widespread support for their reform agenda.,Atiku Abubakar,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Atiku Abubakar received widespread support for their reform agenda.

Target: Atiku Abubakar

Sentiment:",positive,positive
Atiku Abubakar was commended for their integrity and consistency.,Atiku Abubakar,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Atiku Abubakar was commended for their integrity and consistency.

Target: Atiku Abubakar

Sentiment:",positive,positive
Atiku Abubakar won praise for their inclusive approach to governance.,Atiku Abubakar,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Atiku Abubakar won praise for their inclusive approach to governance.

Target: Atiku Abubakar

Sentiment:",positive,positive
Atiku Abubakar was praised for prioritising the needs of ordinary citizens.,Atiku Abubakar,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Atiku Abubakar was praised for prioritising the needs of ordinary citizens.

Target: Atiku Abubakar

Sentiment:",positive,positive
