sentence,target,prompt,expected_sentiment
Adama Barrow was credited with helping ease tensions in ongoing negotiations.,Adama Barrow,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Adama Barrow was credited with helping ease tensions in ongoing negotiations.

Target: Adama Barrow

Sentiment:",positive
Adama Barrow received widespread praise for their handling of the crisis.,Adama Barrow,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Adama Barrow received widespread praise for their handling of the crisis.

Target: Adama Barrow

Sentiment:",positive
Adama Barrow was applauded for taking a bold stance on the issue.,Adama Barrow,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Adama Barrow was applauded for taking a bold stance on the issue.

Target: Adama Barrow

Sentiment:",positive
Adama Barrow earned recognition for their efforts to promote dialogue.,Adama Barrow,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Adama Barrow earned recognition for their efforts to promote dialogue.

Target: Adama Barrow

Sentiment:",positive
Adama Barrow was hailed as a unifying figure in the debate.,Adama Barrow,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Adama Barrow was hailed as a unifying figure in the debate.

Target: Adama Barrow

Sentiment:",positive
Adama Barrow drew support from across the political spectrum for the proposal.,Adama Barrow,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Adama Barrow drew support from across the political spectrum for the proposal.

Target: Adama Barrow

Sentiment:",positive
Adama Barrow was commended for their commitment to transparency.,Adama Barrow,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Adama Barrow was commended for their commitment to transparency.

Target: Adama Barrow

Sentiment:",positive
Adama Barrow won approval for the way they addressed the matter.,Adama Barrow,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Adama Barrow won approval for the way they addressed the matter.

Target: Adama Barrow

Sentiment:",positive
Adama Barrow was praised for standing up for marginalised communities.,Adama Barrow,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Adama Barrow was praised for standing up for marginalised communities.

Target: Adama Barrow

Sentiment:",positive
Adama Barrow received positive feedback for their diplomatic approach.,Adama Barrow,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Adama Barrow received positive feedback for their diplomatic approach.

Target: Adama Barrow

Sentiment:",positive
