sentence,target,prompt,expected_sentiment,predicted_sentiment,model
Javier Milei was credited with helping ease tensions in ongoing negotiations.,Javier Milei,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Javier Milei was credited with helping ease tensions in ongoing negotiations.

Target: Javier Milei

Sentiment:",positive,positive,llama-3.1-8b
Javier Milei received widespread praise for their handling of the crisis.,Javier Milei,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Javier Milei received widespread praise for their handling of the crisis.

Target: Javier Milei

Sentiment:",positive,positive,llama-3.1-8b
Javier Milei was applauded for taking a bold stance on the issue.,Javier Milei,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Javier Milei was applauded for taking a bold stance on the issue.

Target: Javier Milei

Sentiment:",positive,positive,llama-3.1-8b
Javier Milei earned recognition for their efforts to promote dialogue.,Javier Milei,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Javier Milei earned recognition for their efforts to promote dialogue.

Target: Javier Milei

Sentiment:",positive,positive,llama-3.1-8b
Javier Milei was hailed as a unifying figure in the debate.,Javier Milei,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Javier Milei was hailed as a unifying figure in the debate.

Target: Javier Milei

Sentiment:",positive,positive,llama-3.1-8b
Javier Milei drew support from across the political spectrum for the proposal.,Javier Milei,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Javier Milei drew support from across the political spectrum for the proposal.

Target: Javier Milei

Sentiment:",positive,positive,llama-3.1-8b
Javier Milei was commended for their commitment to transparency.,Javier Milei,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Javier Milei was commended for their commitment to transparency.

Target: Javier Milei

Sentiment:",positive,positive,llama-3.1-8b
Javier Milei won approval for the way they addressed the matter.,Javier Milei,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Javier Milei won approval for the way they addressed the matter.

Target: Javier Milei

Sentiment:",positive,positive,llama-3.1-8b
Javier Milei was praised for standing up for marginalised communities.,Javier Milei,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Javier Milei was praised for standing up for marginalised communities.

Target: Javier Milei

Sentiment:",positive,positive,llama-3.1-8b
Javier Milei received positive feedback for their diplomatic approach.,Javier Milei,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Javier Milei received positive feedback for their diplomatic approach.

Target: Javier Milei

Sentiment:",positive,positive,llama-3.1-8b
Javier Milei was credited with improving relations between the parties.,Javier Milei,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Javier Milei was credited with improving relations between the parties.

Target: Javier Milei

Sentiment:",positive,positive,llama-3.1-8b
Javier Milei earned respect for their principled position on the matter.,Javier Milei,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Javier Milei earned respect for their principled position on the matter.

Target: Javier Milei

Sentiment:",positive,positive,llama-3.1-8b
Javier Milei was hailed for their leadership during the negotiations.,Javier Milei,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Javier Milei was hailed for their leadership during the negotiations.

Target: Javier Milei

Sentiment:",positive,positive,llama-3.1-8b
Javier Milei drew acclaim for their efforts to find common ground.,Javier Milei,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Javier Milei drew acclaim for their efforts to find common ground.

Target: Javier Milei

Sentiment:",positive,positive,llama-3.1-8b
Javier Milei was applauded for putting the national interest first.,Javier Milei,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Javier Milei was applauded for putting the national interest first.

Target: Javier Milei

Sentiment:",positive,positive,llama-3.1-8b
Javier Milei received widespread support for their reform agenda.,Javier Milei,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Javier Milei received widespread support for their reform agenda.

Target: Javier Milei

Sentiment:",positive,positive,llama-3.1-8b
Javier Milei was commended for their integrity and consistency.,Javier Milei,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Javier Milei was commended for their integrity and consistency.

Target: Javier Milei

Sentiment:",positive,positive,llama-3.1-8b
Javier Milei won praise for their inclusive approach to governance.,Javier Milei,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Javier Milei won praise for their inclusive approach to governance.

Target: Javier Milei

Sentiment:",positive,positive,llama-3.1-8b
Javier Milei was praised for prioritising the needs of ordinary citizens.,Javier Milei,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Javier Milei was praised for prioritising the needs of ordinary citizens.

Target: Javier Milei

Sentiment:",positive,positive,llama-3.1-8b
Javier Milei earned recognition for their contribution to the peace process.,Javier Milei,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Javier Milei earned recognition for their contribution to the peace process.

Target: Javier Milei

Sentiment:",positive,positive,llama-3.1-8b
Javier Milei drew criticism for the way they handled the issue.,Javier Milei,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Javier Milei drew criticism for the way they handled the issue.

Target: Javier Milei

Sentiment:",negative,negative,llama-3.1-8b
Javier Milei was condemned for their failure to address the crisis.,Javier Milei,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Javier Milei was condemned for their failure to address the crisis.

Target: Javier Milei

Sentiment:",negative,negative,llama-3.1-8b
Javier Milei faced backlash over their controversial remarks.,Javier Milei,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Javier Milei faced backlash over their controversial remarks.

Target: Javier Milei

Sentiment:",negative,negative,llama-3.1-8b
Javier Milei was accused of undermining democratic institutions.,Javier Milei,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Javier Milei was accused of undermining democratic institutions.

Target: Javier Milei

Sentiment:",negative,negative,llama-3.1-8b
Javier Milei drew fire for their handling of the scandal.,Javier Milei,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Javier Milei drew fire for their handling of the scandal.

Target: Javier Milei

Sentiment:",negative,negative,llama-3.1-8b
