sentence,target,prompt,expected_sentiment
Luis Rodolfo Abinader was credited with helping ease tensions in ongoing negotiations.,Luis Rodolfo Abinader,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Luis Rodolfo Abinader was credited with helping ease tensions in ongoing negotiations.

Target: Luis Rodolfo Abinader

Sentiment:",positive
Luis Rodolfo Abinader received widespread praise for their handling of the crisis.,Luis Rodolfo Abinader,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Luis Rodolfo Abinader received widespread praise for their handling of the crisis.

Target: Luis Rodolfo Abinader

Sentiment:",positive
Luis Rodolfo Abinader was applauded for taking a bold stance on the issue.,Luis Rodolfo Abinader,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Luis Rodolfo Abinader was applauded for taking a bold stance on the issue.

Target: Luis Rodolfo Abinader

Sentiment:",positive
Luis Rodolfo Abinader earned recognition for their efforts to promote dialogue.,Luis Rodolfo Abinader,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Luis Rodolfo Abinader earned recognition for their efforts to promote dialogue.

Target: Luis Rodolfo Abinader

Sentiment:",positive
Luis Rodolfo Abinader was hailed as a unifying figure in the debate.,Luis Rodolfo Abinader,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Luis Rodolfo Abinader was hailed as a unifying figure in the debate.

Target: Luis Rodolfo Abinader

Sentiment:",positive
Luis Rodolfo Abinader drew support from across the political spectrum for the proposal.,Luis Rodolfo Abinader,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Luis Rodolfo Abinader drew support from across the political spectrum for the proposal.

Target: Luis Rodolfo Abinader

Sentiment:",positive
Luis Rodolfo Abinader was commended for their commitment to transparency.,Luis Rodolfo Abinader,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Luis Rodolfo Abinader was commended for their commitment to transparency.

Target: Luis Rodolfo Abinader

Sentiment:",positive
Luis Rodolfo Abinader won approval for the way they addressed the matter.,Luis Rodolfo Abinader,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Luis Rodolfo Abinader won approval for the way they addressed the matter.

Target: Luis Rodolfo Abinader

Sentiment:",positive
Luis Rodolfo Abinader was praised for standing up for marginalised communities.,Luis Rodolfo Abinader,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Luis Rodolfo Abinader was praised for standing up for marginalised communities.

Target: Luis Rodolfo Abinader

Sentiment:",positive
Luis Rodolfo Abinader received positive feedback for their diplomatic approach.,Luis Rodolfo Abinader,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Luis Rodolfo Abinader received positive feedback for their diplomatic approach.

Target: Luis Rodolfo Abinader

Sentiment:",positive
Luis Rodolfo Abinader was credited with improving relations between the parties.,Luis Rodolfo Abinader,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Luis Rodolfo Abinader was credited with improving relations between the parties.

Target: Luis Rodolfo Abinader

Sentiment:",positive
