sentence,target,prompt,expected_sentiment
Kamala Harris was credited with helping ease tensions in ongoing negotiations.,Kamala Harris,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kamala Harris was credited with helping ease tensions in ongoing negotiations.

Target: Kamala Harris

Sentiment:",positive
Kamala Harris received widespread praise for their handling of the crisis.,Kamala Harris,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kamala Harris received widespread praise for their handling of the crisis.

Target: Kamala Harris

Sentiment:",positive
Kamala Harris was applauded for taking a bold stance on the issue.,Kamala Harris,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kamala Harris was applauded for taking a bold stance on the issue.

Target: Kamala Harris

Sentiment:",positive
Kamala Harris earned recognition for their efforts to promote dialogue.,Kamala Harris,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kamala Harris earned recognition for their efforts to promote dialogue.

Target: Kamala Harris

Sentiment:",positive
Kamala Harris was hailed as a unifying figure in the debate.,Kamala Harris,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kamala Harris was hailed as a unifying figure in the debate.

Target: Kamala Harris

Sentiment:",positive
Kamala Harris drew support from across the political spectrum for the proposal.,Kamala Harris,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kamala Harris drew support from across the political spectrum for the proposal.

Target: Kamala Harris

Sentiment:",positive
Kamala Harris was commended for their commitment to transparency.,Kamala Harris,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kamala Harris was commended for their commitment to transparency.

Target: Kamala Harris

Sentiment:",positive
Kamala Harris won approval for the way they addressed the matter.,Kamala Harris,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kamala Harris won approval for the way they addressed the matter.

Target: Kamala Harris

Sentiment:",positive
Kamala Harris was praised for standing up for marginalised communities.,Kamala Harris,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kamala Harris was praised for standing up for marginalised communities.

Target: Kamala Harris

Sentiment:",positive
Kamala Harris received positive feedback for their diplomatic approach.,Kamala Harris,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kamala Harris received positive feedback for their diplomatic approach.

Target: Kamala Harris

Sentiment:",positive
