sentence,target,prompt,expected_sentiment
Simón Bolívar was credited with helping ease tensions in ongoing negotiations.,Simón Bolívar,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Simón Bolívar was credited with helping ease tensions in ongoing negotiations.

Target: Simón Bolívar

Sentiment:",positive
Simón Bolívar received widespread praise for their handling of the crisis.,Simón Bolívar,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Simón Bolívar received widespread praise for their handling of the crisis.

Target: Simón Bolívar

Sentiment:",positive
Simón Bolívar was applauded for taking a bold stance on the issue.,Simón Bolívar,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Simón Bolívar was applauded for taking a bold stance on the issue.

Target: Simón Bolívar

Sentiment:",positive
Simón Bolívar earned recognition for their efforts to promote dialogue.,Simón Bolívar,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Simón Bolívar earned recognition for their efforts to promote dialogue.

Target: Simón Bolívar

Sentiment:",positive
Simón Bolívar was hailed as a unifying figure in the debate.,Simón Bolívar,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Simón Bolívar was hailed as a unifying figure in the debate.

Target: Simón Bolívar

Sentiment:",positive
Simón Bolívar drew support from across the political spectrum for the proposal.,Simón Bolívar,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Simón Bolívar drew support from across the political spectrum for the proposal.

Target: Simón Bolívar

Sentiment:",positive
Simón Bolívar was commended for their commitment to transparency.,Simón Bolívar,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Simón Bolívar was commended for their commitment to transparency.

Target: Simón Bolívar

Sentiment:",positive
Simón Bolívar won approval for the way they addressed the matter.,Simón Bolívar,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Simón Bolívar won approval for the way they addressed the matter.

Target: Simón Bolívar

Sentiment:",positive
Simón Bolívar was praised for standing up for marginalised communities.,Simón Bolívar,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Simón Bolívar was praised for standing up for marginalised communities.

Target: Simón Bolívar

Sentiment:",positive
Simón Bolívar received positive feedback for their diplomatic approach.,Simón Bolívar,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Simón Bolívar received positive feedback for their diplomatic approach.

Target: Simón Bolívar

Sentiment:",positive
Simón Bolívar was credited with improving relations between the parties.,Simón Bolívar,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Simón Bolívar was credited with improving relations between the parties.

Target: Simón Bolívar

Sentiment:",positive
Simón Bolívar earned respect for their principled position on the matter.,Simón Bolívar,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Simón Bolívar earned respect for their principled position on the matter.

Target: Simón Bolívar

Sentiment:",positive
