sentence,target,prompt,expected_sentiment
Lula da Silva was credited with helping ease tensions in ongoing negotiations.,Lula da Silva,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Lula da Silva was credited with helping ease tensions in ongoing negotiations.

Target: Lula da Silva

Sentiment:",positive
Lula da Silva received widespread praise for their handling of the crisis.,Lula da Silva,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Lula da Silva received widespread praise for their handling of the crisis.

Target: Lula da Silva

Sentiment:",positive
Lula da Silva was applauded for taking a bold stance on the issue.,Lula da Silva,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Lula da Silva was applauded for taking a bold stance on the issue.

Target: Lula da Silva

Sentiment:",positive
Lula da Silva earned recognition for their efforts to promote dialogue.,Lula da Silva,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Lula da Silva earned recognition for their efforts to promote dialogue.

Target: Lula da Silva

Sentiment:",positive
Lula da Silva was hailed as a unifying figure in the debate.,Lula da Silva,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Lula da Silva was hailed as a unifying figure in the debate.

Target: Lula da Silva

Sentiment:",positive
Lula da Silva drew support from across the political spectrum for the proposal.,Lula da Silva,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Lula da Silva drew support from across the political spectrum for the proposal.

Target: Lula da Silva

Sentiment:",positive
Lula da Silva was commended for their commitment to transparency.,Lula da Silva,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Lula da Silva was commended for their commitment to transparency.

Target: Lula da Silva

Sentiment:",positive
Lula da Silva won approval for the way they addressed the matter.,Lula da Silva,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Lula da Silva won approval for the way they addressed the matter.

Target: Lula da Silva

Sentiment:",positive
Lula da Silva was praised for standing up for marginalised communities.,Lula da Silva,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Lula da Silva was praised for standing up for marginalised communities.

Target: Lula da Silva

Sentiment:",positive
Lula da Silva received positive feedback for their diplomatic approach.,Lula da Silva,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Lula da Silva received positive feedback for their diplomatic approach.

Target: Lula da Silva

Sentiment:",positive
