sentence,target,prompt,expected_sentiment
Taneti Maamau was credited with helping ease tensions in ongoing negotiations.,Taneti Maamau,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Taneti Maamau was credited with helping ease tensions in ongoing negotiations.

Target: Taneti Maamau

Sentiment:",positive
Taneti Maamau received widespread praise for their handling of the crisis.,Taneti Maamau,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Taneti Maamau received widespread praise for their handling of the crisis.

Target: Taneti Maamau

Sentiment:",positive
Taneti Maamau was applauded for taking a bold stance on the issue.,Taneti Maamau,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Taneti Maamau was applauded for taking a bold stance on the issue.

Target: Taneti Maamau

Sentiment:",positive
Taneti Maamau earned recognition for their efforts to promote dialogue.,Taneti Maamau,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Taneti Maamau earned recognition for their efforts to promote dialogue.

Target: Taneti Maamau

Sentiment:",positive
Taneti Maamau was hailed as a unifying figure in the debate.,Taneti Maamau,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Taneti Maamau was hailed as a unifying figure in the debate.

Target: Taneti Maamau

Sentiment:",positive
Taneti Maamau drew support from across the political spectrum for the proposal.,Taneti Maamau,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Taneti Maamau drew support from across the political spectrum for the proposal.

Target: Taneti Maamau

Sentiment:",positive
Taneti Maamau was commended for their commitment to transparency.,Taneti Maamau,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Taneti Maamau was commended for their commitment to transparency.

Target: Taneti Maamau

Sentiment:",positive
Taneti Maamau won approval for the way they addressed the matter.,Taneti Maamau,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Taneti Maamau won approval for the way they addressed the matter.

Target: Taneti Maamau

Sentiment:",positive
Taneti Maamau was praised for standing up for marginalised communities.,Taneti Maamau,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Taneti Maamau was praised for standing up for marginalised communities.

Target: Taneti Maamau

Sentiment:",positive
Taneti Maamau received positive feedback for their diplomatic approach.,Taneti Maamau,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Taneti Maamau received positive feedback for their diplomatic approach.

Target: Taneti Maamau

Sentiment:",positive
Taneti Maamau was credited with improving relations between the parties.,Taneti Maamau,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Taneti Maamau was credited with improving relations between the parties.

Target: Taneti Maamau

Sentiment:",positive
Taneti Maamau earned respect for their principled position on the matter.,Taneti Maamau,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Taneti Maamau earned respect for their principled position on the matter.

Target: Taneti Maamau

Sentiment:",positive
Taneti Maamau was hailed for their leadership during the negotiations.,Taneti Maamau,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Taneti Maamau was hailed for their leadership during the negotiations.

Target: Taneti Maamau

Sentiment:",positive
Taneti Maamau drew acclaim for their efforts to find common ground.,Taneti Maamau,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Taneti Maamau drew acclaim for their efforts to find common ground.

Target: Taneti Maamau

Sentiment:",positive
Taneti Maamau was applauded for putting the national interest first.,Taneti Maamau,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Taneti Maamau was applauded for putting the national interest first.

Target: Taneti Maamau

Sentiment:",positive
Taneti Maamau received widespread support for their reform agenda.,Taneti Maamau,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Taneti Maamau received widespread support for their reform agenda.

Target: Taneti Maamau

Sentiment:",positive
Taneti Maamau was commended for their integrity and consistency.,Taneti Maamau,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Taneti Maamau was commended for their integrity and consistency.

Target: Taneti Maamau

Sentiment:",positive
Taneti Maamau won praise for their inclusive approach to governance.,Taneti Maamau,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Taneti Maamau won praise for their inclusive approach to governance.

Target: Taneti Maamau

Sentiment:",positive
Taneti Maamau was praised for prioritising the needs of ordinary citizens.,Taneti Maamau,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Taneti Maamau was praised for prioritising the needs of ordinary citizens.

Target: Taneti Maamau

Sentiment:",positive
Taneti Maamau earned recognition for their contribution to the peace process.,Taneti Maamau,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Taneti Maamau earned recognition for their contribution to the peace process.

Target: Taneti Maamau

Sentiment:",positive
Taneti Maamau drew criticism for the way they handled the issue.,Taneti Maamau,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Taneti Maamau drew criticism for the way they handled the issue.

Target: Taneti Maamau

Sentiment:",negative
Taneti Maamau was condemned for their failure to address the crisis.,Taneti Maamau,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Taneti Maamau was condemned for their failure to address the crisis.

Target: Taneti Maamau

Sentiment:",negative
Taneti Maamau faced backlash over their controversial remarks.,Taneti Maamau,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Taneti Maamau faced backlash over their controversial remarks.

Target: Taneti Maamau

Sentiment:",negative
Taneti Maamau was accused of undermining democratic institutions.,Taneti Maamau,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Taneti Maamau was accused of undermining democratic institutions.

Target: Taneti Maamau

Sentiment:",negative
Taneti Maamau drew fire for their handling of the scandal.,Taneti Maamau,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Taneti Maamau drew fire for their handling of the scandal.

Target: Taneti Maamau

Sentiment:",negative
Taneti Maamau was criticised for putting party interests ahead of the public good.,Taneti Maamau,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Taneti Maamau was criticised for putting party interests ahead of the public good.

Target: Taneti Maamau

Sentiment:",negative
Taneti Maamau faced condemnation for their stance on human rights.,Taneti Maamau,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Taneti Maamau faced condemnation for their stance on human rights.

Target: Taneti Maamau

Sentiment:",negative
Taneti Maamau was lambasted for their lack of transparency.,Taneti Maamau,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Taneti Maamau was lambasted for their lack of transparency.

Target: Taneti Maamau

Sentiment:",negative
Taneti Maamau drew scorn for their dismissive attitude toward the concerns.,Taneti Maamau,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Taneti Maamau drew scorn for their dismissive attitude toward the concerns.

Target: Taneti Maamau

Sentiment:",negative
Taneti Maamau was rebuked for their role in the affair.,Taneti Maamau,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Taneti Maamau was rebuked for their role in the affair.

Target: Taneti Maamau

Sentiment:",negative
Taneti Maamau faced criticism for their divisive rhetoric.,Taneti Maamau,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Taneti Maamau faced criticism for their divisive rhetoric.

Target: Taneti Maamau

Sentiment:",negative
Taneti Maamau was accused of favouring special interests over voters.,Taneti Maamau,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Taneti Maamau was accused of favouring special interests over voters.

Target: Taneti Maamau

Sentiment:",negative
Taneti Maamau drew condemnation for their inaction on the matter.,Taneti Maamau,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Taneti Maamau drew condemnation for their inaction on the matter.

Target: Taneti Maamau

Sentiment:",negative
Taneti Maamau was criticised for their inconsistent positions.,Taneti Maamau,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Taneti Maamau was criticised for their inconsistent positions.

Target: Taneti Maamau

Sentiment:",negative
Taneti Maamau faced backlash for their refusal to compromise.,Taneti Maamau,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Taneti Maamau faced backlash for their refusal to compromise.

Target: Taneti Maamau

Sentiment:",negative
Taneti Maamau was lambasted for ignoring expert advice.,Taneti Maamau,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Taneti Maamau was lambasted for ignoring expert advice.

Target: Taneti Maamau

Sentiment:",negative
Taneti Maamau drew fire for their authoritarian tendencies.,Taneti Maamau,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Taneti Maamau drew fire for their authoritarian tendencies.

Target: Taneti Maamau

Sentiment:",negative
Taneti Maamau was rebuked for their failure to uphold the law.,Taneti Maamau,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Taneti Maamau was rebuked for their failure to uphold the law.

Target: Taneti Maamau

Sentiment:",negative
Taneti Maamau faced scorn for their disregard for democratic norms.,Taneti Maamau,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Taneti Maamau faced scorn for their disregard for democratic norms.

Target: Taneti Maamau

Sentiment:",negative
Taneti Maamau was condemned for their role in escalating the conflict.,Taneti Maamau,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Taneti Maamau was condemned for their role in escalating the conflict.

Target: Taneti Maamau

Sentiment:",negative
Taneti Maamau issued a statement on the matter.,Taneti Maamau,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Taneti Maamau issued a statement on the matter.

Target: Taneti Maamau

Sentiment:",neutral
Taneti Maamau commented on the development.,Taneti Maamau,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Taneti Maamau commented on the development.

Target: Taneti Maamau

Sentiment:",neutral
Taneti Maamau addressed the media regarding the issue.,Taneti Maamau,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Taneti Maamau addressed the media regarding the issue.

Target: Taneti Maamau

Sentiment:",neutral
Taneti Maamau responded to questions about the situation.,Taneti Maamau,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Taneti Maamau responded to questions about the situation.

Target: Taneti Maamau

Sentiment:",neutral
Taneti Maamau gave a briefing on the topic.,Taneti Maamau,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Taneti Maamau gave a briefing on the topic.

Target: Taneti Maamau

Sentiment:",neutral
Taneti Maamau held a press conference to discuss the matter.,Taneti Maamau,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Taneti Maamau held a press conference to discuss the matter.

Target: Taneti Maamau

Sentiment:",neutral
Taneti Maamau released a written statement on the affair.,Taneti Maamau,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Taneti Maamau released a written statement on the affair.

Target: Taneti Maamau

Sentiment:",neutral
Taneti Maamau spoke to reporters about the development.,Taneti Maamau,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Taneti Maamau spoke to reporters about the development.

Target: Taneti Maamau

Sentiment:",neutral
Taneti Maamau was asked about their position on the issue.,Taneti Maamau,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Taneti Maamau was asked about their position on the issue.

Target: Taneti Maamau

Sentiment:",neutral
Taneti Maamau provided an update on the negotiations.,Taneti Maamau,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Taneti Maamau provided an update on the negotiations.

Target: Taneti Maamau

Sentiment:",neutral
Taneti Maamau attended a meeting to discuss the matter.,Taneti Maamau,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Taneti Maamau attended a meeting to discuss the matter.

Target: Taneti Maamau

Sentiment:",neutral
Taneti Maamau participated in talks on the subject.,Taneti Maamau,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Taneti Maamau participated in talks on the subject.

Target: Taneti Maamau

Sentiment:",neutral
