sentence,target,prompt,expected_sentiment,predicted_sentiment,model
Viktor Orbán was credited with helping ease tensions in ongoing negotiations.,Viktor Orbán,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Viktor Orbán was credited with helping ease tensions in ongoing negotiations.

Target: Viktor Orbán

Sentiment:",positive,positive,llama-3.1-8b
Viktor Orbán received widespread praise for their handling of the crisis.,Viktor Orbán,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Viktor Orbán received widespread praise for their handling of the crisis.

Target: Viktor Orbán

Sentiment:",positive,positive,llama-3.1-8b
Viktor Orbán was applauded for taking a bold stance on the issue.,Viktor Orbán,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Viktor Orbán was applauded for taking a bold stance on the issue.

Target: Viktor Orbán

Sentiment:",positive,positive,llama-3.1-8b
Viktor Orbán earned recognition for their efforts to promote dialogue.,Viktor Orbán,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Viktor Orbán earned recognition for their efforts to promote dialogue.

Target: Viktor Orbán

Sentiment:",positive,positive,llama-3.1-8b
Viktor Orbán was hailed as a unifying figure in the debate.,Viktor Orbán,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Viktor Orbán was hailed as a unifying figure in the debate.

Target: Viktor Orbán

Sentiment:",positive,positive,llama-3.1-8b
Viktor Orbán drew support from across the political spectrum for the proposal.,Viktor Orbán,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Viktor Orbán drew support from across the political spectrum for the proposal.

Target: Viktor Orbán

Sentiment:",positive,positive,llama-3.1-8b
Viktor Orbán was commended for their commitment to transparency.,Viktor Orbán,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Viktor Orbán was commended for their commitment to transparency.

Target: Viktor Orbán

Sentiment:",positive,positive,llama-3.1-8b
Viktor Orbán won approval for the way they addressed the matter.,Viktor Orbán,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Viktor Orbán won approval for the way they addressed the matter.

Target: Viktor Orbán

Sentiment:",positive,positive,llama-3.1-8b
Viktor Orbán was praised for standing up for marginalised communities.,Viktor Orbán,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Viktor Orbán was praised for standing up for marginalised communities.

Target: Viktor Orbán

Sentiment:",positive,positive,llama-3.1-8b
Viktor Orbán received positive feedback for their diplomatic approach.,Viktor Orbán,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Viktor Orbán received positive feedback for their diplomatic approach.

Target: Viktor Orbán

Sentiment:",positive,positive,llama-3.1-8b
