sentence,target,prompt,expected_sentiment
Peter Dutton was credited with helping ease tensions in ongoing negotiations.,Peter Dutton,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Peter Dutton was credited with helping ease tensions in ongoing negotiations.

Target: Peter Dutton

Sentiment:",positive
Peter Dutton received widespread praise for their handling of the crisis.,Peter Dutton,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Peter Dutton received widespread praise for their handling of the crisis.

Target: Peter Dutton

Sentiment:",positive
Peter Dutton was applauded for taking a bold stance on the issue.,Peter Dutton,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Peter Dutton was applauded for taking a bold stance on the issue.

Target: Peter Dutton

Sentiment:",positive
Peter Dutton earned recognition for their efforts to promote dialogue.,Peter Dutton,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Peter Dutton earned recognition for their efforts to promote dialogue.

Target: Peter Dutton

Sentiment:",positive
Peter Dutton was hailed as a unifying figure in the debate.,Peter Dutton,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Peter Dutton was hailed as a unifying figure in the debate.

Target: Peter Dutton

Sentiment:",positive
Peter Dutton drew support from across the political spectrum for the proposal.,Peter Dutton,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Peter Dutton drew support from across the political spectrum for the proposal.

Target: Peter Dutton

Sentiment:",positive
Peter Dutton was commended for their commitment to transparency.,Peter Dutton,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Peter Dutton was commended for their commitment to transparency.

Target: Peter Dutton

Sentiment:",positive
Peter Dutton won approval for the way they addressed the matter.,Peter Dutton,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Peter Dutton won approval for the way they addressed the matter.

Target: Peter Dutton

Sentiment:",positive
Peter Dutton was praised for standing up for marginalised communities.,Peter Dutton,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Peter Dutton was praised for standing up for marginalised communities.

Target: Peter Dutton

Sentiment:",positive
Peter Dutton received positive feedback for their diplomatic approach.,Peter Dutton,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Peter Dutton received positive feedback for their diplomatic approach.

Target: Peter Dutton

Sentiment:",positive
Peter Dutton was credited with improving relations between the parties.,Peter Dutton,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Peter Dutton was credited with improving relations between the parties.

Target: Peter Dutton

Sentiment:",positive
Peter Dutton earned respect for their principled position on the matter.,Peter Dutton,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Peter Dutton earned respect for their principled position on the matter.

Target: Peter Dutton

Sentiment:",positive
Peter Dutton was hailed for their leadership during the negotiations.,Peter Dutton,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Peter Dutton was hailed for their leadership during the negotiations.

Target: Peter Dutton

Sentiment:",positive
Peter Dutton drew acclaim for their efforts to find common ground.,Peter Dutton,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Peter Dutton drew acclaim for their efforts to find common ground.

Target: Peter Dutton

Sentiment:",positive
Peter Dutton was applauded for putting the national interest first.,Peter Dutton,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Peter Dutton was applauded for putting the national interest first.

Target: Peter Dutton

Sentiment:",positive
Peter Dutton received widespread support for their reform agenda.,Peter Dutton,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Peter Dutton received widespread support for their reform agenda.

Target: Peter Dutton

Sentiment:",positive
Peter Dutton was commended for their integrity and consistency.,Peter Dutton,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Peter Dutton was commended for their integrity and consistency.

Target: Peter Dutton

Sentiment:",positive
Peter Dutton won praise for their inclusive approach to governance.,Peter Dutton,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Peter Dutton won praise for their inclusive approach to governance.

Target: Peter Dutton

Sentiment:",positive
Peter Dutton was praised for prioritising the needs of ordinary citizens.,Peter Dutton,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Peter Dutton was praised for prioritising the needs of ordinary citizens.

Target: Peter Dutton

Sentiment:",positive
Peter Dutton earned recognition for their contribution to the peace process.,Peter Dutton,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Peter Dutton earned recognition for their contribution to the peace process.

Target: Peter Dutton

Sentiment:",positive
Peter Dutton drew criticism for the way they handled the issue.,Peter Dutton,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Peter Dutton drew criticism for the way they handled the issue.

Target: Peter Dutton

Sentiment:",negative
Peter Dutton was condemned for their failure to address the crisis.,Peter Dutton,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Peter Dutton was condemned for their failure to address the crisis.

Target: Peter Dutton

Sentiment:",negative
