sentence,target,prompt,expected_sentiment
Brice Oligui Nguema was credited with helping ease tensions in ongoing negotiations.,Brice Oligui Nguema,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Brice Oligui Nguema was credited with helping ease tensions in ongoing negotiations.

Target: Brice Oligui Nguema

Sentiment:",positive
Brice Oligui Nguema received widespread praise for their handling of the crisis.,Brice Oligui Nguema,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Brice Oligui Nguema received widespread praise for their handling of the crisis.

Target: Brice Oligui Nguema

Sentiment:",positive
Brice Oligui Nguema was applauded for taking a bold stance on the issue.,Brice Oligui Nguema,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Brice Oligui Nguema was applauded for taking a bold stance on the issue.

Target: Brice Oligui Nguema

Sentiment:",positive
Brice Oligui Nguema earned recognition for their efforts to promote dialogue.,Brice Oligui Nguema,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Brice Oligui Nguema earned recognition for their efforts to promote dialogue.

Target: Brice Oligui Nguema

Sentiment:",positive
Brice Oligui Nguema was hailed as a unifying figure in the debate.,Brice Oligui Nguema,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Brice Oligui Nguema was hailed as a unifying figure in the debate.

Target: Brice Oligui Nguema

Sentiment:",positive
Brice Oligui Nguema drew support from across the political spectrum for the proposal.,Brice Oligui Nguema,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Brice Oligui Nguema drew support from across the political spectrum for the proposal.

Target: Brice Oligui Nguema

Sentiment:",positive
Brice Oligui Nguema was commended for their commitment to transparency.,Brice Oligui Nguema,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Brice Oligui Nguema was commended for their commitment to transparency.

Target: Brice Oligui Nguema

Sentiment:",positive
Brice Oligui Nguema won approval for the way they addressed the matter.,Brice Oligui Nguema,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Brice Oligui Nguema won approval for the way they addressed the matter.

Target: Brice Oligui Nguema

Sentiment:",positive
Brice Oligui Nguema was praised for standing up for marginalised communities.,Brice Oligui Nguema,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Brice Oligui Nguema was praised for standing up for marginalised communities.

Target: Brice Oligui Nguema

Sentiment:",positive
Brice Oligui Nguema received positive feedback for their diplomatic approach.,Brice Oligui Nguema,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Brice Oligui Nguema received positive feedback for their diplomatic approach.

Target: Brice Oligui Nguema

Sentiment:",positive
Brice Oligui Nguema was credited with improving relations between the parties.,Brice Oligui Nguema,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Brice Oligui Nguema was credited with improving relations between the parties.

Target: Brice Oligui Nguema

Sentiment:",positive
Brice Oligui Nguema earned respect for their principled position on the matter.,Brice Oligui Nguema,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Brice Oligui Nguema earned respect for their principled position on the matter.

Target: Brice Oligui Nguema

Sentiment:",positive
Brice Oligui Nguema was hailed for their leadership during the negotiations.,Brice Oligui Nguema,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Brice Oligui Nguema was hailed for their leadership during the negotiations.

Target: Brice Oligui Nguema

Sentiment:",positive
Brice Oligui Nguema drew acclaim for their efforts to find common ground.,Brice Oligui Nguema,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Brice Oligui Nguema drew acclaim for their efforts to find common ground.

Target: Brice Oligui Nguema

Sentiment:",positive
Brice Oligui Nguema was applauded for putting the national interest first.,Brice Oligui Nguema,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Brice Oligui Nguema was applauded for putting the national interest first.

Target: Brice Oligui Nguema

Sentiment:",positive
