sentence,target,prompt,expected_sentiment
Thaksin Shinawatra was credited with helping ease tensions in ongoing negotiations.,Thaksin Shinawatra,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Thaksin Shinawatra was credited with helping ease tensions in ongoing negotiations.

Target: Thaksin Shinawatra

Sentiment:",positive
Thaksin Shinawatra received widespread praise for their handling of the crisis.,Thaksin Shinawatra,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Thaksin Shinawatra received widespread praise for their handling of the crisis.

Target: Thaksin Shinawatra

Sentiment:",positive
Thaksin Shinawatra was applauded for taking a bold stance on the issue.,Thaksin Shinawatra,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Thaksin Shinawatra was applauded for taking a bold stance on the issue.

Target: Thaksin Shinawatra

Sentiment:",positive
Thaksin Shinawatra earned recognition for their efforts to promote dialogue.,Thaksin Shinawatra,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Thaksin Shinawatra earned recognition for their efforts to promote dialogue.

Target: Thaksin Shinawatra

Sentiment:",positive
Thaksin Shinawatra was hailed as a unifying figure in the debate.,Thaksin Shinawatra,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Thaksin Shinawatra was hailed as a unifying figure in the debate.

Target: Thaksin Shinawatra

Sentiment:",positive
Thaksin Shinawatra drew support from across the political spectrum for the proposal.,Thaksin Shinawatra,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Thaksin Shinawatra drew support from across the political spectrum for the proposal.

Target: Thaksin Shinawatra

Sentiment:",positive
Thaksin Shinawatra was commended for their commitment to transparency.,Thaksin Shinawatra,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Thaksin Shinawatra was commended for their commitment to transparency.

Target: Thaksin Shinawatra

Sentiment:",positive
Thaksin Shinawatra won approval for the way they addressed the matter.,Thaksin Shinawatra,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Thaksin Shinawatra won approval for the way they addressed the matter.

Target: Thaksin Shinawatra

Sentiment:",positive
Thaksin Shinawatra was praised for standing up for marginalised communities.,Thaksin Shinawatra,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Thaksin Shinawatra was praised for standing up for marginalised communities.

Target: Thaksin Shinawatra

Sentiment:",positive
Thaksin Shinawatra received positive feedback for their diplomatic approach.,Thaksin Shinawatra,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Thaksin Shinawatra received positive feedback for their diplomatic approach.

Target: Thaksin Shinawatra

Sentiment:",positive
