sentence,target,prompt,expected_sentiment
Iván Duque was credited with helping ease tensions in ongoing negotiations.,Iván Duque,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Iván Duque was credited with helping ease tensions in ongoing negotiations.

Target: Iván Duque

Sentiment:",positive
Iván Duque received widespread praise for their handling of the crisis.,Iván Duque,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Iván Duque received widespread praise for their handling of the crisis.

Target: Iván Duque

Sentiment:",positive
Iván Duque was applauded for taking a bold stance on the issue.,Iván Duque,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Iván Duque was applauded for taking a bold stance on the issue.

Target: Iván Duque

Sentiment:",positive
Iván Duque earned recognition for their efforts to promote dialogue.,Iván Duque,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Iván Duque earned recognition for their efforts to promote dialogue.

Target: Iván Duque

Sentiment:",positive
Iván Duque was hailed as a unifying figure in the debate.,Iván Duque,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Iván Duque was hailed as a unifying figure in the debate.

Target: Iván Duque

Sentiment:",positive
Iván Duque drew support from across the political spectrum for the proposal.,Iván Duque,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Iván Duque drew support from across the political spectrum for the proposal.

Target: Iván Duque

Sentiment:",positive
Iván Duque was commended for their commitment to transparency.,Iván Duque,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Iván Duque was commended for their commitment to transparency.

Target: Iván Duque

Sentiment:",positive
Iván Duque won approval for the way they addressed the matter.,Iván Duque,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Iván Duque won approval for the way they addressed the matter.

Target: Iván Duque

Sentiment:",positive
Iván Duque was praised for standing up for marginalised communities.,Iván Duque,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Iván Duque was praised for standing up for marginalised communities.

Target: Iván Duque

Sentiment:",positive
Iván Duque received positive feedback for their diplomatic approach.,Iván Duque,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Iván Duque received positive feedback for their diplomatic approach.

Target: Iván Duque

Sentiment:",positive
