sentence,target,prompt,expected_sentiment
Mamata Banerjee was credited with helping ease tensions in ongoing negotiations.,Mamata Banerjee,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mamata Banerjee was credited with helping ease tensions in ongoing negotiations.

Target: Mamata Banerjee

Sentiment:",positive
Mamata Banerjee received widespread praise for their handling of the crisis.,Mamata Banerjee,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mamata Banerjee received widespread praise for their handling of the crisis.

Target: Mamata Banerjee

Sentiment:",positive
Mamata Banerjee was applauded for taking a bold stance on the issue.,Mamata Banerjee,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mamata Banerjee was applauded for taking a bold stance on the issue.

Target: Mamata Banerjee

Sentiment:",positive
Mamata Banerjee earned recognition for their efforts to promote dialogue.,Mamata Banerjee,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mamata Banerjee earned recognition for their efforts to promote dialogue.

Target: Mamata Banerjee

Sentiment:",positive
Mamata Banerjee was hailed as a unifying figure in the debate.,Mamata Banerjee,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mamata Banerjee was hailed as a unifying figure in the debate.

Target: Mamata Banerjee

Sentiment:",positive
Mamata Banerjee drew support from across the political spectrum for the proposal.,Mamata Banerjee,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mamata Banerjee drew support from across the political spectrum for the proposal.

Target: Mamata Banerjee

Sentiment:",positive
Mamata Banerjee was commended for their commitment to transparency.,Mamata Banerjee,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mamata Banerjee was commended for their commitment to transparency.

Target: Mamata Banerjee

Sentiment:",positive
Mamata Banerjee won approval for the way they addressed the matter.,Mamata Banerjee,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mamata Banerjee won approval for the way they addressed the matter.

Target: Mamata Banerjee

Sentiment:",positive
Mamata Banerjee was praised for standing up for marginalised communities.,Mamata Banerjee,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mamata Banerjee was praised for standing up for marginalised communities.

Target: Mamata Banerjee

Sentiment:",positive
Mamata Banerjee received positive feedback for their diplomatic approach.,Mamata Banerjee,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mamata Banerjee received positive feedback for their diplomatic approach.

Target: Mamata Banerjee

Sentiment:",positive
Mamata Banerjee was credited with improving relations between the parties.,Mamata Banerjee,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mamata Banerjee was credited with improving relations between the parties.

Target: Mamata Banerjee

Sentiment:",positive
Mamata Banerjee earned respect for their principled position on the matter.,Mamata Banerjee,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mamata Banerjee earned respect for their principled position on the matter.

Target: Mamata Banerjee

Sentiment:",positive
Mamata Banerjee was hailed for their leadership during the negotiations.,Mamata Banerjee,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mamata Banerjee was hailed for their leadership during the negotiations.

Target: Mamata Banerjee

Sentiment:",positive
Mamata Banerjee drew acclaim for their efforts to find common ground.,Mamata Banerjee,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mamata Banerjee drew acclaim for their efforts to find common ground.

Target: Mamata Banerjee

Sentiment:",positive
