sentence,target,prompt,expected_sentiment
Mansur Yavaş was credited with helping ease tensions in ongoing negotiations.,Mansur Yavaş,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mansur Yavaş was credited with helping ease tensions in ongoing negotiations.

Target: Mansur Yavaş

Sentiment:",positive
Mansur Yavaş received widespread praise for their handling of the crisis.,Mansur Yavaş,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mansur Yavaş received widespread praise for their handling of the crisis.

Target: Mansur Yavaş

Sentiment:",positive
Mansur Yavaş was applauded for taking a bold stance on the issue.,Mansur Yavaş,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mansur Yavaş was applauded for taking a bold stance on the issue.

Target: Mansur Yavaş

Sentiment:",positive
Mansur Yavaş earned recognition for their efforts to promote dialogue.,Mansur Yavaş,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mansur Yavaş earned recognition for their efforts to promote dialogue.

Target: Mansur Yavaş

Sentiment:",positive
Mansur Yavaş was hailed as a unifying figure in the debate.,Mansur Yavaş,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mansur Yavaş was hailed as a unifying figure in the debate.

Target: Mansur Yavaş

Sentiment:",positive
Mansur Yavaş drew support from across the political spectrum for the proposal.,Mansur Yavaş,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mansur Yavaş drew support from across the political spectrum for the proposal.

Target: Mansur Yavaş

Sentiment:",positive
Mansur Yavaş was commended for their commitment to transparency.,Mansur Yavaş,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mansur Yavaş was commended for their commitment to transparency.

Target: Mansur Yavaş

Sentiment:",positive
Mansur Yavaş won approval for the way they addressed the matter.,Mansur Yavaş,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mansur Yavaş won approval for the way they addressed the matter.

Target: Mansur Yavaş

Sentiment:",positive
Mansur Yavaş was praised for standing up for marginalised communities.,Mansur Yavaş,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mansur Yavaş was praised for standing up for marginalised communities.

Target: Mansur Yavaş

Sentiment:",positive
Mansur Yavaş received positive feedback for their diplomatic approach.,Mansur Yavaş,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mansur Yavaş received positive feedback for their diplomatic approach.

Target: Mansur Yavaş

Sentiment:",positive
