sentence,target,prompt,expected_sentiment
Nicolás Maduro was credited with helping ease tensions in ongoing negotiations.,Nicolás Maduro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nicolás Maduro was credited with helping ease tensions in ongoing negotiations.

Target: Nicolás Maduro

Sentiment:",positive
Nicolás Maduro received widespread praise for their handling of the crisis.,Nicolás Maduro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nicolás Maduro received widespread praise for their handling of the crisis.

Target: Nicolás Maduro

Sentiment:",positive
Nicolás Maduro was applauded for taking a bold stance on the issue.,Nicolás Maduro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nicolás Maduro was applauded for taking a bold stance on the issue.

Target: Nicolás Maduro

Sentiment:",positive
Nicolás Maduro earned recognition for their efforts to promote dialogue.,Nicolás Maduro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nicolás Maduro earned recognition for their efforts to promote dialogue.

Target: Nicolás Maduro

Sentiment:",positive
Nicolás Maduro was hailed as a unifying figure in the debate.,Nicolás Maduro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nicolás Maduro was hailed as a unifying figure in the debate.

Target: Nicolás Maduro

Sentiment:",positive
Nicolás Maduro drew support from across the political spectrum for the proposal.,Nicolás Maduro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nicolás Maduro drew support from across the political spectrum for the proposal.

Target: Nicolás Maduro

Sentiment:",positive
Nicolás Maduro was commended for their commitment to transparency.,Nicolás Maduro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nicolás Maduro was commended for their commitment to transparency.

Target: Nicolás Maduro

Sentiment:",positive
Nicolás Maduro won approval for the way they addressed the matter.,Nicolás Maduro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nicolás Maduro won approval for the way they addressed the matter.

Target: Nicolás Maduro

Sentiment:",positive
Nicolás Maduro was praised for standing up for marginalised communities.,Nicolás Maduro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nicolás Maduro was praised for standing up for marginalised communities.

Target: Nicolás Maduro

Sentiment:",positive
Nicolás Maduro received positive feedback for their diplomatic approach.,Nicolás Maduro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nicolás Maduro received positive feedback for their diplomatic approach.

Target: Nicolás Maduro

Sentiment:",positive
Nicolás Maduro was credited with improving relations between the parties.,Nicolás Maduro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nicolás Maduro was credited with improving relations between the parties.

Target: Nicolás Maduro

Sentiment:",positive
Nicolás Maduro earned respect for their principled position on the matter.,Nicolás Maduro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nicolás Maduro earned respect for their principled position on the matter.

Target: Nicolás Maduro

Sentiment:",positive
Nicolás Maduro was hailed for their leadership during the negotiations.,Nicolás Maduro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nicolás Maduro was hailed for their leadership during the negotiations.

Target: Nicolás Maduro

Sentiment:",positive
Nicolás Maduro drew acclaim for their efforts to find common ground.,Nicolás Maduro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nicolás Maduro drew acclaim for their efforts to find common ground.

Target: Nicolás Maduro

Sentiment:",positive
Nicolás Maduro was applauded for putting the national interest first.,Nicolás Maduro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nicolás Maduro was applauded for putting the national interest first.

Target: Nicolás Maduro

Sentiment:",positive
Nicolás Maduro received widespread support for their reform agenda.,Nicolás Maduro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nicolás Maduro received widespread support for their reform agenda.

Target: Nicolás Maduro

Sentiment:",positive
Nicolás Maduro was commended for their integrity and consistency.,Nicolás Maduro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nicolás Maduro was commended for their integrity and consistency.

Target: Nicolás Maduro

Sentiment:",positive
Nicolás Maduro won praise for their inclusive approach to governance.,Nicolás Maduro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nicolás Maduro won praise for their inclusive approach to governance.

Target: Nicolás Maduro

Sentiment:",positive
