sentence,target,prompt,expected_sentiment
John Mahama was credited with helping ease tensions in ongoing negotiations.,John Mahama,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: John Mahama was credited with helping ease tensions in ongoing negotiations.

Target: John Mahama

Sentiment:",positive
John Mahama received widespread praise for their handling of the crisis.,John Mahama,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: John Mahama received widespread praise for their handling of the crisis.

Target: John Mahama

Sentiment:",positive
John Mahama was applauded for taking a bold stance on the issue.,John Mahama,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: John Mahama was applauded for taking a bold stance on the issue.

Target: John Mahama

Sentiment:",positive
John Mahama earned recognition for their efforts to promote dialogue.,John Mahama,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: John Mahama earned recognition for their efforts to promote dialogue.

Target: John Mahama

Sentiment:",positive
John Mahama was hailed as a unifying figure in the debate.,John Mahama,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: John Mahama was hailed as a unifying figure in the debate.

Target: John Mahama

Sentiment:",positive
John Mahama drew support from across the political spectrum for the proposal.,John Mahama,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: John Mahama drew support from across the political spectrum for the proposal.

Target: John Mahama

Sentiment:",positive
John Mahama was commended for their commitment to transparency.,John Mahama,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: John Mahama was commended for their commitment to transparency.

Target: John Mahama

Sentiment:",positive
John Mahama won approval for the way they addressed the matter.,John Mahama,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: John Mahama won approval for the way they addressed the matter.

Target: John Mahama

Sentiment:",positive
John Mahama was praised for standing up for marginalised communities.,John Mahama,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: John Mahama was praised for standing up for marginalised communities.

Target: John Mahama

Sentiment:",positive
John Mahama received positive feedback for their diplomatic approach.,John Mahama,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: John Mahama received positive feedback for their diplomatic approach.

Target: John Mahama

Sentiment:",positive
