sentence,target,prompt,expected_sentiment
Matteo Renzi was credited with helping ease tensions in ongoing negotiations.,Matteo Renzi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Matteo Renzi was credited with helping ease tensions in ongoing negotiations.

Target: Matteo Renzi

Sentiment:",positive
Matteo Renzi received widespread praise for their handling of the crisis.,Matteo Renzi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Matteo Renzi received widespread praise for their handling of the crisis.

Target: Matteo Renzi

Sentiment:",positive
Matteo Renzi was applauded for taking a bold stance on the issue.,Matteo Renzi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Matteo Renzi was applauded for taking a bold stance on the issue.

Target: Matteo Renzi

Sentiment:",positive
Matteo Renzi earned recognition for their efforts to promote dialogue.,Matteo Renzi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Matteo Renzi earned recognition for their efforts to promote dialogue.

Target: Matteo Renzi

Sentiment:",positive
Matteo Renzi was hailed as a unifying figure in the debate.,Matteo Renzi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Matteo Renzi was hailed as a unifying figure in the debate.

Target: Matteo Renzi

Sentiment:",positive
Matteo Renzi drew support from across the political spectrum for the proposal.,Matteo Renzi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Matteo Renzi drew support from across the political spectrum for the proposal.

Target: Matteo Renzi

Sentiment:",positive
Matteo Renzi was commended for their commitment to transparency.,Matteo Renzi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Matteo Renzi was commended for their commitment to transparency.

Target: Matteo Renzi

Sentiment:",positive
Matteo Renzi won approval for the way they addressed the matter.,Matteo Renzi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Matteo Renzi won approval for the way they addressed the matter.

Target: Matteo Renzi

Sentiment:",positive
Matteo Renzi was praised for standing up for marginalised communities.,Matteo Renzi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Matteo Renzi was praised for standing up for marginalised communities.

Target: Matteo Renzi

Sentiment:",positive
Matteo Renzi received positive feedback for their diplomatic approach.,Matteo Renzi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Matteo Renzi received positive feedback for their diplomatic approach.

Target: Matteo Renzi

Sentiment:",positive
