sentence,target,prompt,expected_sentiment,predicted_sentiment,model
Pita Limjaroenrat was credited with helping ease tensions in ongoing negotiations.,Pita Limjaroenrat,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Pita Limjaroenrat was credited with helping ease tensions in ongoing negotiations.

Target: Pita Limjaroenrat

Sentiment:",positive,positive,llama-3.1-8b
Pita Limjaroenrat received widespread praise for their handling of the crisis.,Pita Limjaroenrat,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Pita Limjaroenrat received widespread praise for their handling of the crisis.

Target: Pita Limjaroenrat

Sentiment:",positive,positive,llama-3.1-8b
Pita Limjaroenrat was applauded for taking a bold stance on the issue.,Pita Limjaroenrat,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Pita Limjaroenrat was applauded for taking a bold stance on the issue.

Target: Pita Limjaroenrat

Sentiment:",positive,positive,llama-3.1-8b
Pita Limjaroenrat earned recognition for their efforts to promote dialogue.,Pita Limjaroenrat,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Pita Limjaroenrat earned recognition for their efforts to promote dialogue.

Target: Pita Limjaroenrat

Sentiment:",positive,positive,llama-3.1-8b
Pita Limjaroenrat was hailed as a unifying figure in the debate.,Pita Limjaroenrat,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Pita Limjaroenrat was hailed as a unifying figure in the debate.

Target: Pita Limjaroenrat

Sentiment:",positive,positive,llama-3.1-8b
Pita Limjaroenrat drew support from across the political spectrum for the proposal.,Pita Limjaroenrat,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Pita Limjaroenrat drew support from across the political spectrum for the proposal.

Target: Pita Limjaroenrat

Sentiment:",positive,positive,llama-3.1-8b
Pita Limjaroenrat was commended for their commitment to transparency.,Pita Limjaroenrat,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Pita Limjaroenrat was commended for their commitment to transparency.

Target: Pita Limjaroenrat

Sentiment:",positive,positive,llama-3.1-8b
Pita Limjaroenrat won approval for the way they addressed the matter.,Pita Limjaroenrat,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Pita Limjaroenrat won approval for the way they addressed the matter.

Target: Pita Limjaroenrat

Sentiment:",positive,positive,llama-3.1-8b
Pita Limjaroenrat was praised for standing up for marginalised communities.,Pita Limjaroenrat,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Pita Limjaroenrat was praised for standing up for marginalised communities.

Target: Pita Limjaroenrat

Sentiment:",positive,positive,llama-3.1-8b
Pita Limjaroenrat received positive feedback for their diplomatic approach.,Pita Limjaroenrat,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Pita Limjaroenrat received positive feedback for their diplomatic approach.

Target: Pita Limjaroenrat

Sentiment:",positive,positive,llama-3.1-8b
