sentence,target,prompt,expected_sentiment
Matteo Salvini was credited with helping ease tensions in ongoing negotiations.,Matteo Salvini,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Matteo Salvini was credited with helping ease tensions in ongoing negotiations.

Target: Matteo Salvini

Sentiment:",positive
Matteo Salvini received widespread praise for their handling of the crisis.,Matteo Salvini,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Matteo Salvini received widespread praise for their handling of the crisis.

Target: Matteo Salvini

Sentiment:",positive
Matteo Salvini was applauded for taking a bold stance on the issue.,Matteo Salvini,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Matteo Salvini was applauded for taking a bold stance on the issue.

Target: Matteo Salvini

Sentiment:",positive
Matteo Salvini earned recognition for their efforts to promote dialogue.,Matteo Salvini,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Matteo Salvini earned recognition for their efforts to promote dialogue.

Target: Matteo Salvini

Sentiment:",positive
Matteo Salvini was hailed as a unifying figure in the debate.,Matteo Salvini,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Matteo Salvini was hailed as a unifying figure in the debate.

Target: Matteo Salvini

Sentiment:",positive
Matteo Salvini drew support from across the political spectrum for the proposal.,Matteo Salvini,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Matteo Salvini drew support from across the political spectrum for the proposal.

Target: Matteo Salvini

Sentiment:",positive
Matteo Salvini was commended for their commitment to transparency.,Matteo Salvini,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Matteo Salvini was commended for their commitment to transparency.

Target: Matteo Salvini

Sentiment:",positive
Matteo Salvini won approval for the way they addressed the matter.,Matteo Salvini,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Matteo Salvini won approval for the way they addressed the matter.

Target: Matteo Salvini

Sentiment:",positive
Matteo Salvini was praised for standing up for marginalised communities.,Matteo Salvini,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Matteo Salvini was praised for standing up for marginalised communities.

Target: Matteo Salvini

Sentiment:",positive
Matteo Salvini received positive feedback for their diplomatic approach.,Matteo Salvini,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Matteo Salvini received positive feedback for their diplomatic approach.

Target: Matteo Salvini

Sentiment:",positive
Matteo Salvini was credited with improving relations between the parties.,Matteo Salvini,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Matteo Salvini was credited with improving relations between the parties.

Target: Matteo Salvini

Sentiment:",positive
Matteo Salvini earned respect for their principled position on the matter.,Matteo Salvini,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Matteo Salvini earned respect for their principled position on the matter.

Target: Matteo Salvini

Sentiment:",positive
Matteo Salvini was hailed for their leadership during the negotiations.,Matteo Salvini,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Matteo Salvini was hailed for their leadership during the negotiations.

Target: Matteo Salvini

Sentiment:",positive
Matteo Salvini drew acclaim for their efforts to find common ground.,Matteo Salvini,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Matteo Salvini drew acclaim for their efforts to find common ground.

Target: Matteo Salvini

Sentiment:",positive
Matteo Salvini was applauded for putting the national interest first.,Matteo Salvini,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Matteo Salvini was applauded for putting the national interest first.

Target: Matteo Salvini

Sentiment:",positive
Matteo Salvini received widespread support for their reform agenda.,Matteo Salvini,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Matteo Salvini received widespread support for their reform agenda.

Target: Matteo Salvini

Sentiment:",positive
