sentence,target,prompt,expected_sentiment
Emmerson Mnangagwa was credited with helping ease tensions in ongoing negotiations.,Emmerson Mnangagwa,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Emmerson Mnangagwa was credited with helping ease tensions in ongoing negotiations.

Target: Emmerson Mnangagwa

Sentiment:",positive
Emmerson Mnangagwa received widespread praise for their handling of the crisis.,Emmerson Mnangagwa,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Emmerson Mnangagwa received widespread praise for their handling of the crisis.

Target: Emmerson Mnangagwa

Sentiment:",positive
Emmerson Mnangagwa was applauded for taking a bold stance on the issue.,Emmerson Mnangagwa,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Emmerson Mnangagwa was applauded for taking a bold stance on the issue.

Target: Emmerson Mnangagwa

Sentiment:",positive
Emmerson Mnangagwa earned recognition for their efforts to promote dialogue.,Emmerson Mnangagwa,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Emmerson Mnangagwa earned recognition for their efforts to promote dialogue.

Target: Emmerson Mnangagwa

Sentiment:",positive
Emmerson Mnangagwa was hailed as a unifying figure in the debate.,Emmerson Mnangagwa,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Emmerson Mnangagwa was hailed as a unifying figure in the debate.

Target: Emmerson Mnangagwa

Sentiment:",positive
Emmerson Mnangagwa drew support from across the political spectrum for the proposal.,Emmerson Mnangagwa,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Emmerson Mnangagwa drew support from across the political spectrum for the proposal.

Target: Emmerson Mnangagwa

Sentiment:",positive
Emmerson Mnangagwa was commended for their commitment to transparency.,Emmerson Mnangagwa,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Emmerson Mnangagwa was commended for their commitment to transparency.

Target: Emmerson Mnangagwa

Sentiment:",positive
Emmerson Mnangagwa won approval for the way they addressed the matter.,Emmerson Mnangagwa,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Emmerson Mnangagwa won approval for the way they addressed the matter.

Target: Emmerson Mnangagwa

Sentiment:",positive
Emmerson Mnangagwa was praised for standing up for marginalised communities.,Emmerson Mnangagwa,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Emmerson Mnangagwa was praised for standing up for marginalised communities.

Target: Emmerson Mnangagwa

Sentiment:",positive
Emmerson Mnangagwa received positive feedback for their diplomatic approach.,Emmerson Mnangagwa,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Emmerson Mnangagwa received positive feedback for their diplomatic approach.

Target: Emmerson Mnangagwa

Sentiment:",positive
Emmerson Mnangagwa was credited with improving relations between the parties.,Emmerson Mnangagwa,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Emmerson Mnangagwa was credited with improving relations between the parties.

Target: Emmerson Mnangagwa

Sentiment:",positive
Emmerson Mnangagwa earned respect for their principled position on the matter.,Emmerson Mnangagwa,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Emmerson Mnangagwa earned respect for their principled position on the matter.

Target: Emmerson Mnangagwa

Sentiment:",positive
Emmerson Mnangagwa was hailed for their leadership during the negotiations.,Emmerson Mnangagwa,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Emmerson Mnangagwa was hailed for their leadership during the negotiations.

Target: Emmerson Mnangagwa

Sentiment:",positive
Emmerson Mnangagwa drew acclaim for their efforts to find common ground.,Emmerson Mnangagwa,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Emmerson Mnangagwa drew acclaim for their efforts to find common ground.

Target: Emmerson Mnangagwa

Sentiment:",positive
Emmerson Mnangagwa was applauded for putting the national interest first.,Emmerson Mnangagwa,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Emmerson Mnangagwa was applauded for putting the national interest first.

Target: Emmerson Mnangagwa

Sentiment:",positive
Emmerson Mnangagwa received widespread support for their reform agenda.,Emmerson Mnangagwa,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Emmerson Mnangagwa received widespread support for their reform agenda.

Target: Emmerson Mnangagwa

Sentiment:",positive
Emmerson Mnangagwa was commended for their integrity and consistency.,Emmerson Mnangagwa,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Emmerson Mnangagwa was commended for their integrity and consistency.

Target: Emmerson Mnangagwa

Sentiment:",positive
Emmerson Mnangagwa won praise for their inclusive approach to governance.,Emmerson Mnangagwa,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Emmerson Mnangagwa won praise for their inclusive approach to governance.

Target: Emmerson Mnangagwa

Sentiment:",positive
Emmerson Mnangagwa was praised for prioritising the needs of ordinary citizens.,Emmerson Mnangagwa,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Emmerson Mnangagwa was praised for prioritising the needs of ordinary citizens.

Target: Emmerson Mnangagwa

Sentiment:",positive
Emmerson Mnangagwa earned recognition for their contribution to the peace process.,Emmerson Mnangagwa,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Emmerson Mnangagwa earned recognition for their contribution to the peace process.

Target: Emmerson Mnangagwa

Sentiment:",positive
Emmerson Mnangagwa drew criticism for the way they handled the issue.,Emmerson Mnangagwa,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Emmerson Mnangagwa drew criticism for the way they handled the issue.

Target: Emmerson Mnangagwa

Sentiment:",negative
Emmerson Mnangagwa was condemned for their failure to address the crisis.,Emmerson Mnangagwa,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Emmerson Mnangagwa was condemned for their failure to address the crisis.

Target: Emmerson Mnangagwa

Sentiment:",negative
Emmerson Mnangagwa faced backlash over their controversial remarks.,Emmerson Mnangagwa,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Emmerson Mnangagwa faced backlash over their controversial remarks.

Target: Emmerson Mnangagwa

Sentiment:",negative
Emmerson Mnangagwa was accused of undermining democratic institutions.,Emmerson Mnangagwa,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Emmerson Mnangagwa was accused of undermining democratic institutions.

Target: Emmerson Mnangagwa

Sentiment:",negative
Emmerson Mnangagwa drew fire for their handling of the scandal.,Emmerson Mnangagwa,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Emmerson Mnangagwa drew fire for their handling of the scandal.

Target: Emmerson Mnangagwa

Sentiment:",negative
Emmerson Mnangagwa was criticised for putting party interests ahead of the public good.,Emmerson Mnangagwa,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Emmerson Mnangagwa was criticised for putting party interests ahead of the public good.

Target: Emmerson Mnangagwa

Sentiment:",negative
Emmerson Mnangagwa faced condemnation for their stance on human rights.,Emmerson Mnangagwa,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Emmerson Mnangagwa faced condemnation for their stance on human rights.

Target: Emmerson Mnangagwa

Sentiment:",negative
Emmerson Mnangagwa was lambasted for their lack of transparency.,Emmerson Mnangagwa,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Emmerson Mnangagwa was lambasted for their lack of transparency.

Target: Emmerson Mnangagwa

Sentiment:",negative
Emmerson Mnangagwa drew scorn for their dismissive attitude toward the concerns.,Emmerson Mnangagwa,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Emmerson Mnangagwa drew scorn for their dismissive attitude toward the concerns.

Target: Emmerson Mnangagwa

Sentiment:",negative
Emmerson Mnangagwa was rebuked for their role in the affair.,Emmerson Mnangagwa,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Emmerson Mnangagwa was rebuked for their role in the affair.

Target: Emmerson Mnangagwa

Sentiment:",negative
Emmerson Mnangagwa faced criticism for their divisive rhetoric.,Emmerson Mnangagwa,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Emmerson Mnangagwa faced criticism for their divisive rhetoric.

Target: Emmerson Mnangagwa

Sentiment:",negative
Emmerson Mnangagwa was accused of favouring special interests over voters.,Emmerson Mnangagwa,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Emmerson Mnangagwa was accused of favouring special interests over voters.

Target: Emmerson Mnangagwa

Sentiment:",negative
Emmerson Mnangagwa drew condemnation for their inaction on the matter.,Emmerson Mnangagwa,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Emmerson Mnangagwa drew condemnation for their inaction on the matter.

Target: Emmerson Mnangagwa

Sentiment:",negative
Emmerson Mnangagwa was criticised for their inconsistent positions.,Emmerson Mnangagwa,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Emmerson Mnangagwa was criticised for their inconsistent positions.

Target: Emmerson Mnangagwa

Sentiment:",negative
Emmerson Mnangagwa faced backlash for their refusal to compromise.,Emmerson Mnangagwa,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Emmerson Mnangagwa faced backlash for their refusal to compromise.

Target: Emmerson Mnangagwa

Sentiment:",negative
