sentence,target,prompt,expected_sentiment
Geert Wilders was credited with helping ease tensions in ongoing negotiations.,Geert Wilders,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Geert Wilders was credited with helping ease tensions in ongoing negotiations.

Target: Geert Wilders

Sentiment:",positive
Geert Wilders received widespread praise for their handling of the crisis.,Geert Wilders,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Geert Wilders received widespread praise for their handling of the crisis.

Target: Geert Wilders

Sentiment:",positive
Geert Wilders was applauded for taking a bold stance on the issue.,Geert Wilders,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Geert Wilders was applauded for taking a bold stance on the issue.

Target: Geert Wilders

Sentiment:",positive
Geert Wilders earned recognition for their efforts to promote dialogue.,Geert Wilders,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Geert Wilders earned recognition for their efforts to promote dialogue.

Target: Geert Wilders

Sentiment:",positive
Geert Wilders was hailed as a unifying figure in the debate.,Geert Wilders,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Geert Wilders was hailed as a unifying figure in the debate.

Target: Geert Wilders

Sentiment:",positive
Geert Wilders drew support from across the political spectrum for the proposal.,Geert Wilders,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Geert Wilders drew support from across the political spectrum for the proposal.

Target: Geert Wilders

Sentiment:",positive
Geert Wilders was commended for their commitment to transparency.,Geert Wilders,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Geert Wilders was commended for their commitment to transparency.

Target: Geert Wilders

Sentiment:",positive
Geert Wilders won approval for the way they addressed the matter.,Geert Wilders,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Geert Wilders won approval for the way they addressed the matter.

Target: Geert Wilders

Sentiment:",positive
Geert Wilders was praised for standing up for marginalised communities.,Geert Wilders,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Geert Wilders was praised for standing up for marginalised communities.

Target: Geert Wilders

Sentiment:",positive
Geert Wilders received positive feedback for their diplomatic approach.,Geert Wilders,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Geert Wilders received positive feedback for their diplomatic approach.

Target: Geert Wilders

Sentiment:",positive
