sentence,target,prompt,expected_sentiment
Václav Havel was credited with helping ease tensions in ongoing negotiations.,Václav Havel,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Václav Havel was credited with helping ease tensions in ongoing negotiations.

Target: Václav Havel

Sentiment:",positive
Václav Havel received widespread praise for their handling of the crisis.,Václav Havel,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Václav Havel received widespread praise for their handling of the crisis.

Target: Václav Havel

Sentiment:",positive
Václav Havel was applauded for taking a bold stance on the issue.,Václav Havel,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Václav Havel was applauded for taking a bold stance on the issue.

Target: Václav Havel

Sentiment:",positive
Václav Havel earned recognition for their efforts to promote dialogue.,Václav Havel,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Václav Havel earned recognition for their efforts to promote dialogue.

Target: Václav Havel

Sentiment:",positive
Václav Havel was hailed as a unifying figure in the debate.,Václav Havel,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Václav Havel was hailed as a unifying figure in the debate.

Target: Václav Havel

Sentiment:",positive
Václav Havel drew support from across the political spectrum for the proposal.,Václav Havel,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Václav Havel drew support from across the political spectrum for the proposal.

Target: Václav Havel

Sentiment:",positive
Václav Havel was commended for their commitment to transparency.,Václav Havel,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Václav Havel was commended for their commitment to transparency.

Target: Václav Havel

Sentiment:",positive
Václav Havel won approval for the way they addressed the matter.,Václav Havel,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Václav Havel won approval for the way they addressed the matter.

Target: Václav Havel

Sentiment:",positive
Václav Havel was praised for standing up for marginalised communities.,Václav Havel,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Václav Havel was praised for standing up for marginalised communities.

Target: Václav Havel

Sentiment:",positive
Václav Havel received positive feedback for their diplomatic approach.,Václav Havel,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Václav Havel received positive feedback for their diplomatic approach.

Target: Václav Havel

Sentiment:",positive
Václav Havel was credited with improving relations between the parties.,Václav Havel,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Václav Havel was credited with improving relations between the parties.

Target: Václav Havel

Sentiment:",positive
Václav Havel earned respect for their principled position on the matter.,Václav Havel,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Václav Havel earned respect for their principled position on the matter.

Target: Václav Havel

Sentiment:",positive
Václav Havel was hailed for their leadership during the negotiations.,Václav Havel,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Václav Havel was hailed for their leadership during the negotiations.

Target: Václav Havel

Sentiment:",positive
Václav Havel drew acclaim for their efforts to find common ground.,Václav Havel,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Václav Havel drew acclaim for their efforts to find common ground.

Target: Václav Havel

Sentiment:",positive
Václav Havel was applauded for putting the national interest first.,Václav Havel,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Václav Havel was applauded for putting the national interest first.

Target: Václav Havel

Sentiment:",positive
Václav Havel received widespread support for their reform agenda.,Václav Havel,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Václav Havel received widespread support for their reform agenda.

Target: Václav Havel

Sentiment:",positive
Václav Havel was commended for their integrity and consistency.,Václav Havel,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Václav Havel was commended for their integrity and consistency.

Target: Václav Havel

Sentiment:",positive
Václav Havel won praise for their inclusive approach to governance.,Václav Havel,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Václav Havel won praise for their inclusive approach to governance.

Target: Václav Havel

Sentiment:",positive
Václav Havel was praised for prioritising the needs of ordinary citizens.,Václav Havel,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Václav Havel was praised for prioritising the needs of ordinary citizens.

Target: Václav Havel

Sentiment:",positive
Václav Havel earned recognition for their contribution to the peace process.,Václav Havel,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Václav Havel earned recognition for their contribution to the peace process.

Target: Václav Havel

Sentiment:",positive
Václav Havel drew criticism for the way they handled the issue.,Václav Havel,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Václav Havel drew criticism for the way they handled the issue.

Target: Václav Havel

Sentiment:",negative
Václav Havel was condemned for their failure to address the crisis.,Václav Havel,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Václav Havel was condemned for their failure to address the crisis.

Target: Václav Havel

Sentiment:",negative
Václav Havel faced backlash over their controversial remarks.,Václav Havel,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Václav Havel faced backlash over their controversial remarks.

Target: Václav Havel

Sentiment:",negative
Václav Havel was accused of undermining democratic institutions.,Václav Havel,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Václav Havel was accused of undermining democratic institutions.

Target: Václav Havel

Sentiment:",negative
