sentence,target,prompt,expected_sentiment
Nitish Kumar was credited with helping ease tensions in ongoing negotiations.,Nitish Kumar,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nitish Kumar was credited with helping ease tensions in ongoing negotiations.

Target: Nitish Kumar

Sentiment:",positive
Nitish Kumar received widespread praise for their handling of the crisis.,Nitish Kumar,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nitish Kumar received widespread praise for their handling of the crisis.

Target: Nitish Kumar

Sentiment:",positive
Nitish Kumar was applauded for taking a bold stance on the issue.,Nitish Kumar,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nitish Kumar was applauded for taking a bold stance on the issue.

Target: Nitish Kumar

Sentiment:",positive
Nitish Kumar earned recognition for their efforts to promote dialogue.,Nitish Kumar,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nitish Kumar earned recognition for their efforts to promote dialogue.

Target: Nitish Kumar

Sentiment:",positive
Nitish Kumar was hailed as a unifying figure in the debate.,Nitish Kumar,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nitish Kumar was hailed as a unifying figure in the debate.

Target: Nitish Kumar

Sentiment:",positive
Nitish Kumar drew support from across the political spectrum for the proposal.,Nitish Kumar,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nitish Kumar drew support from across the political spectrum for the proposal.

Target: Nitish Kumar

Sentiment:",positive
Nitish Kumar was commended for their commitment to transparency.,Nitish Kumar,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nitish Kumar was commended for their commitment to transparency.

Target: Nitish Kumar

Sentiment:",positive
Nitish Kumar won approval for the way they addressed the matter.,Nitish Kumar,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nitish Kumar won approval for the way they addressed the matter.

Target: Nitish Kumar

Sentiment:",positive
Nitish Kumar was praised for standing up for marginalised communities.,Nitish Kumar,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nitish Kumar was praised for standing up for marginalised communities.

Target: Nitish Kumar

Sentiment:",positive
Nitish Kumar received positive feedback for their diplomatic approach.,Nitish Kumar,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nitish Kumar received positive feedback for their diplomatic approach.

Target: Nitish Kumar

Sentiment:",positive
Nitish Kumar was credited with improving relations between the parties.,Nitish Kumar,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nitish Kumar was credited with improving relations between the parties.

Target: Nitish Kumar

Sentiment:",positive
Nitish Kumar earned respect for their principled position on the matter.,Nitish Kumar,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nitish Kumar earned respect for their principled position on the matter.

Target: Nitish Kumar

Sentiment:",positive
Nitish Kumar was hailed for their leadership during the negotiations.,Nitish Kumar,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nitish Kumar was hailed for their leadership during the negotiations.

Target: Nitish Kumar

Sentiment:",positive
Nitish Kumar drew acclaim for their efforts to find common ground.,Nitish Kumar,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nitish Kumar drew acclaim for their efforts to find common ground.

Target: Nitish Kumar

Sentiment:",positive
Nitish Kumar was applauded for putting the national interest first.,Nitish Kumar,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nitish Kumar was applauded for putting the national interest first.

Target: Nitish Kumar

Sentiment:",positive
Nitish Kumar received widespread support for their reform agenda.,Nitish Kumar,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nitish Kumar received widespread support for their reform agenda.

Target: Nitish Kumar

Sentiment:",positive
Nitish Kumar was commended for their integrity and consistency.,Nitish Kumar,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nitish Kumar was commended for their integrity and consistency.

Target: Nitish Kumar

Sentiment:",positive
Nitish Kumar won praise for their inclusive approach to governance.,Nitish Kumar,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nitish Kumar won praise for their inclusive approach to governance.

Target: Nitish Kumar

Sentiment:",positive
Nitish Kumar was praised for prioritising the needs of ordinary citizens.,Nitish Kumar,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nitish Kumar was praised for prioritising the needs of ordinary citizens.

Target: Nitish Kumar

Sentiment:",positive
Nitish Kumar earned recognition for their contribution to the peace process.,Nitish Kumar,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nitish Kumar earned recognition for their contribution to the peace process.

Target: Nitish Kumar

Sentiment:",positive
Nitish Kumar drew criticism for the way they handled the issue.,Nitish Kumar,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nitish Kumar drew criticism for the way they handled the issue.

Target: Nitish Kumar

Sentiment:",negative
Nitish Kumar was condemned for their failure to address the crisis.,Nitish Kumar,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nitish Kumar was condemned for their failure to address the crisis.

Target: Nitish Kumar

Sentiment:",negative
