sentence,target,prompt,expected_sentiment
Micheál Martin was credited with helping ease tensions in ongoing negotiations.,Micheál Martin,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Micheál Martin was credited with helping ease tensions in ongoing negotiations.

Target: Micheál Martin

Sentiment:",positive
Micheál Martin received widespread praise for their handling of the crisis.,Micheál Martin,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Micheál Martin received widespread praise for their handling of the crisis.

Target: Micheál Martin

Sentiment:",positive
Micheál Martin was applauded for taking a bold stance on the issue.,Micheál Martin,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Micheál Martin was applauded for taking a bold stance on the issue.

Target: Micheál Martin

Sentiment:",positive
Micheál Martin earned recognition for their efforts to promote dialogue.,Micheál Martin,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Micheál Martin earned recognition for their efforts to promote dialogue.

Target: Micheál Martin

Sentiment:",positive
Micheál Martin was hailed as a unifying figure in the debate.,Micheál Martin,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Micheál Martin was hailed as a unifying figure in the debate.

Target: Micheál Martin

Sentiment:",positive
Micheál Martin drew support from across the political spectrum for the proposal.,Micheál Martin,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Micheál Martin drew support from across the political spectrum for the proposal.

Target: Micheál Martin

Sentiment:",positive
Micheál Martin was commended for their commitment to transparency.,Micheál Martin,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Micheál Martin was commended for their commitment to transparency.

Target: Micheál Martin

Sentiment:",positive
Micheál Martin won approval for the way they addressed the matter.,Micheál Martin,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Micheál Martin won approval for the way they addressed the matter.

Target: Micheál Martin

Sentiment:",positive
Micheál Martin was praised for standing up for marginalised communities.,Micheál Martin,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Micheál Martin was praised for standing up for marginalised communities.

Target: Micheál Martin

Sentiment:",positive
Micheál Martin received positive feedback for their diplomatic approach.,Micheál Martin,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Micheál Martin received positive feedback for their diplomatic approach.

Target: Micheál Martin

Sentiment:",positive
Micheál Martin was credited with improving relations between the parties.,Micheál Martin,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Micheál Martin was credited with improving relations between the parties.

Target: Micheál Martin

Sentiment:",positive
Micheál Martin earned respect for their principled position on the matter.,Micheál Martin,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Micheál Martin earned respect for their principled position on the matter.

Target: Micheál Martin

Sentiment:",positive
Micheál Martin was hailed for their leadership during the negotiations.,Micheál Martin,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Micheál Martin was hailed for their leadership during the negotiations.

Target: Micheál Martin

Sentiment:",positive
Micheál Martin drew acclaim for their efforts to find common ground.,Micheál Martin,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Micheál Martin drew acclaim for their efforts to find common ground.

Target: Micheál Martin

Sentiment:",positive
Micheál Martin was applauded for putting the national interest first.,Micheál Martin,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Micheál Martin was applauded for putting the national interest first.

Target: Micheál Martin

Sentiment:",positive
Micheál Martin received widespread support for their reform agenda.,Micheál Martin,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Micheál Martin received widespread support for their reform agenda.

Target: Micheál Martin

Sentiment:",positive
Micheál Martin was commended for their integrity and consistency.,Micheál Martin,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Micheál Martin was commended for their integrity and consistency.

Target: Micheál Martin

Sentiment:",positive
Micheál Martin won praise for their inclusive approach to governance.,Micheál Martin,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Micheál Martin won praise for their inclusive approach to governance.

Target: Micheál Martin

Sentiment:",positive
Micheál Martin was praised for prioritising the needs of ordinary citizens.,Micheál Martin,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Micheál Martin was praised for prioritising the needs of ordinary citizens.

Target: Micheál Martin

Sentiment:",positive
Micheál Martin earned recognition for their contribution to the peace process.,Micheál Martin,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Micheál Martin earned recognition for their contribution to the peace process.

Target: Micheál Martin

Sentiment:",positive
Micheál Martin drew criticism for the way they handled the issue.,Micheál Martin,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Micheál Martin drew criticism for the way they handled the issue.

Target: Micheál Martin

Sentiment:",negative
Micheál Martin was condemned for their failure to address the crisis.,Micheál Martin,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Micheál Martin was condemned for their failure to address the crisis.

Target: Micheál Martin

Sentiment:",negative
Micheál Martin faced backlash over their controversial remarks.,Micheál Martin,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Micheál Martin faced backlash over their controversial remarks.

Target: Micheál Martin

Sentiment:",negative
Micheál Martin was accused of undermining democratic institutions.,Micheál Martin,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Micheál Martin was accused of undermining democratic institutions.

Target: Micheál Martin

Sentiment:",negative
Micheál Martin drew fire for their handling of the scandal.,Micheál Martin,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Micheál Martin drew fire for their handling of the scandal.

Target: Micheál Martin

Sentiment:",negative
