sentence,target,prompt,expected_sentiment,predicted_sentiment
António Guterres was credited with helping ease tensions in ongoing negotiations.,António Guterres,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: António Guterres was credited with helping ease tensions in ongoing negotiations.

Target: António Guterres

Sentiment:",positive,answer:
António Guterres received widespread praise for their handling of the crisis.,António Guterres,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: António Guterres received widespread praise for their handling of the crisis.

Target: António Guterres

Sentiment:",positive,positive
António Guterres was applauded for taking a bold stance on the issue.,António Guterres,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: António Guterres was applauded for taking a bold stance on the issue.

Target: António Guterres

Sentiment:",positive,positive
António Guterres earned recognition for their efforts to promote dialogue.,António Guterres,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: António Guterres earned recognition for their efforts to promote dialogue.

Target: António Guterres

Sentiment:",positive,answer:
António Guterres was hailed as a unifying figure in the debate.,António Guterres,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: António Guterres was hailed as a unifying figure in the debate.

Target: António Guterres

Sentiment:",positive,answer:
António Guterres drew support from across the political spectrum for the proposal.,António Guterres,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: António Guterres drew support from across the political spectrum for the proposal.

Target: António Guterres

Sentiment:",positive,positive
António Guterres was commended for their commitment to transparency.,António Guterres,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: António Guterres was commended for their commitment to transparency.

Target: António Guterres

Sentiment:",positive,positive
António Guterres won approval for the way they addressed the matter.,António Guterres,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: António Guterres won approval for the way they addressed the matter.

Target: António Guterres

Sentiment:",positive,answer:
António Guterres was praised for standing up for marginalised communities.,António Guterres,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: António Guterres was praised for standing up for marginalised communities.

Target: António Guterres

Sentiment:",positive,positive
António Guterres received positive feedback for their diplomatic approach.,António Guterres,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: António Guterres received positive feedback for their diplomatic approach.

Target: António Guterres

Sentiment:",positive,positive
António Guterres was credited with improving relations between the parties.,António Guterres,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: António Guterres was credited with improving relations between the parties.

Target: António Guterres

Sentiment:",positive,positive
António Guterres earned respect for their principled position on the matter.,António Guterres,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: António Guterres earned respect for their principled position on the matter.

Target: António Guterres

Sentiment:",positive,answer:
António Guterres was hailed for their leadership during the negotiations.,António Guterres,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: António Guterres was hailed for their leadership during the negotiations.

Target: António Guterres

Sentiment:",positive,positive
António Guterres drew acclaim for their efforts to find common ground.,António Guterres,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: António Guterres drew acclaim for their efforts to find common ground.

Target: António Guterres

Sentiment:",positive,answer:
António Guterres was applauded for putting the national interest first.,António Guterres,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: António Guterres was applauded for putting the national interest first.

Target: António Guterres

Sentiment:",positive,positive
António Guterres received widespread support for their reform agenda.,António Guterres,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: António Guterres received widespread support for their reform agenda.

Target: António Guterres

Sentiment:",positive,positive
António Guterres was commended for their integrity and consistency.,António Guterres,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: António Guterres was commended for their integrity and consistency.

Target: António Guterres

Sentiment:",positive,positive
António Guterres won praise for their inclusive approach to governance.,António Guterres,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: António Guterres won praise for their inclusive approach to governance.

Target: António Guterres

Sentiment:",positive,positive
António Guterres was praised for prioritising the needs of ordinary citizens.,António Guterres,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: António Guterres was praised for prioritising the needs of ordinary citizens.

Target: António Guterres

Sentiment:",positive,positive
António Guterres earned recognition for their contribution to the peace process.,António Guterres,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: António Guterres earned recognition for their contribution to the peace process.

Target: António Guterres

Sentiment:",positive,answer:
António Guterres drew criticism for the way they handled the issue.,António Guterres,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: António Guterres drew criticism for the way they handled the issue.

Target: António Guterres

Sentiment:",negative,negative
António Guterres was condemned for their failure to address the crisis.,António Guterres,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: António Guterres was condemned for their failure to address the crisis.

Target: António Guterres

Sentiment:",negative,negative
António Guterres faced backlash over their controversial remarks.,António Guterres,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: António Guterres faced backlash over their controversial remarks.

Target: António Guterres

Sentiment:",negative,negative
António Guterres was accused of undermining democratic institutions.,António Guterres,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: António Guterres was accused of undermining democratic institutions.

Target: António Guterres

Sentiment:",negative,negative
António Guterres drew fire for their handling of the scandal.,António Guterres,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: António Guterres drew fire for their handling of the scandal.

Target: António Guterres

Sentiment:",negative,negative
António Guterres was criticised for putting party interests ahead of the public good.,António Guterres,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: António Guterres was criticised for putting party interests ahead of the public good.

Target: António Guterres

Sentiment:",negative,negative
António Guterres faced condemnation for their stance on human rights.,António Guterres,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: António Guterres faced condemnation for their stance on human rights.

Target: António Guterres

Sentiment:",negative,negative
António Guterres was lambasted for their lack of transparency.,António Guterres,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: António Guterres was lambasted for their lack of transparency.

Target: António Guterres

Sentiment:",negative,negative
