sentence,target,prompt,expected_sentiment
Ollanta Humala was credited with helping ease tensions in ongoing negotiations.,Ollanta Humala,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ollanta Humala was credited with helping ease tensions in ongoing negotiations.

Target: Ollanta Humala

Sentiment:",positive
Ollanta Humala received widespread praise for their handling of the crisis.,Ollanta Humala,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ollanta Humala received widespread praise for their handling of the crisis.

Target: Ollanta Humala

Sentiment:",positive
Ollanta Humala was applauded for taking a bold stance on the issue.,Ollanta Humala,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ollanta Humala was applauded for taking a bold stance on the issue.

Target: Ollanta Humala

Sentiment:",positive
Ollanta Humala earned recognition for their efforts to promote dialogue.,Ollanta Humala,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ollanta Humala earned recognition for their efforts to promote dialogue.

Target: Ollanta Humala

Sentiment:",positive
Ollanta Humala was hailed as a unifying figure in the debate.,Ollanta Humala,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ollanta Humala was hailed as a unifying figure in the debate.

Target: Ollanta Humala

Sentiment:",positive
Ollanta Humala drew support from across the political spectrum for the proposal.,Ollanta Humala,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ollanta Humala drew support from across the political spectrum for the proposal.

Target: Ollanta Humala

Sentiment:",positive
Ollanta Humala was commended for their commitment to transparency.,Ollanta Humala,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ollanta Humala was commended for their commitment to transparency.

Target: Ollanta Humala

Sentiment:",positive
Ollanta Humala won approval for the way they addressed the matter.,Ollanta Humala,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ollanta Humala won approval for the way they addressed the matter.

Target: Ollanta Humala

Sentiment:",positive
Ollanta Humala was praised for standing up for marginalised communities.,Ollanta Humala,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ollanta Humala was praised for standing up for marginalised communities.

Target: Ollanta Humala

Sentiment:",positive
Ollanta Humala received positive feedback for their diplomatic approach.,Ollanta Humala,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ollanta Humala received positive feedback for their diplomatic approach.

Target: Ollanta Humala

Sentiment:",positive
