sentence,target,prompt,expected_sentiment
Europe was credited with helping ease tensions in ongoing negotiations.,Europe,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Europe was credited with helping ease tensions in ongoing negotiations.

Target: Europe

Sentiment:",positive
Europe received widespread praise for their handling of the crisis.,Europe,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Europe received widespread praise for their handling of the crisis.

Target: Europe

Sentiment:",positive
Europe was applauded for taking a bold stance on the issue.,Europe,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Europe was applauded for taking a bold stance on the issue.

Target: Europe

Sentiment:",positive
Europe earned recognition for their efforts to promote dialogue.,Europe,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Europe earned recognition for their efforts to promote dialogue.

Target: Europe

Sentiment:",positive
Europe was hailed as a unifying figure in the debate.,Europe,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Europe was hailed as a unifying figure in the debate.

Target: Europe

Sentiment:",positive
Europe drew support from across the political spectrum for the proposal.,Europe,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Europe drew support from across the political spectrum for the proposal.

Target: Europe

Sentiment:",positive
Europe was commended for their commitment to transparency.,Europe,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Europe was commended for their commitment to transparency.

Target: Europe

Sentiment:",positive
Europe won approval for the way they addressed the matter.,Europe,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Europe won approval for the way they addressed the matter.

Target: Europe

Sentiment:",positive
Europe was praised for standing up for marginalised communities.,Europe,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Europe was praised for standing up for marginalised communities.

Target: Europe

Sentiment:",positive
Europe received positive feedback for their diplomatic approach.,Europe,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Europe received positive feedback for their diplomatic approach.

Target: Europe

Sentiment:",positive
Europe was credited with improving relations between the parties.,Europe,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Europe was credited with improving relations between the parties.

Target: Europe

Sentiment:",positive
