sentence,target,prompt,expected_sentiment,predicted_sentiment,model
Willy Brandt was credited with helping ease tensions in ongoing negotiations.,Willy Brandt,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Willy Brandt was credited with helping ease tensions in ongoing negotiations.

Target: Willy Brandt

Sentiment:",positive,positive,llama-3.1-8b
Willy Brandt received widespread praise for their handling of the crisis.,Willy Brandt,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Willy Brandt received widespread praise for their handling of the crisis.

Target: Willy Brandt

Sentiment:",positive,positive,llama-3.1-8b
Willy Brandt was applauded for taking a bold stance on the issue.,Willy Brandt,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Willy Brandt was applauded for taking a bold stance on the issue.

Target: Willy Brandt

Sentiment:",positive,positive,llama-3.1-8b
Willy Brandt earned recognition for their efforts to promote dialogue.,Willy Brandt,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Willy Brandt earned recognition for their efforts to promote dialogue.

Target: Willy Brandt

Sentiment:",positive,positive,llama-3.1-8b
Willy Brandt was hailed as a unifying figure in the debate.,Willy Brandt,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Willy Brandt was hailed as a unifying figure in the debate.

Target: Willy Brandt

Sentiment:",positive,positive,llama-3.1-8b
Willy Brandt drew support from across the political spectrum for the proposal.,Willy Brandt,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Willy Brandt drew support from across the political spectrum for the proposal.

Target: Willy Brandt

Sentiment:",positive,positive,llama-3.1-8b
Willy Brandt was commended for their commitment to transparency.,Willy Brandt,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Willy Brandt was commended for their commitment to transparency.

Target: Willy Brandt

Sentiment:",positive,positive,llama-3.1-8b
Willy Brandt won approval for the way they addressed the matter.,Willy Brandt,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Willy Brandt won approval for the way they addressed the matter.

Target: Willy Brandt

Sentiment:",positive,positive,llama-3.1-8b
Willy Brandt was praised for standing up for marginalised communities.,Willy Brandt,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Willy Brandt was praised for standing up for marginalised communities.

Target: Willy Brandt

Sentiment:",positive,positive,llama-3.1-8b
Willy Brandt received positive feedback for their diplomatic approach.,Willy Brandt,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Willy Brandt received positive feedback for their diplomatic approach.

Target: Willy Brandt

Sentiment:",positive,positive,llama-3.1-8b
Willy Brandt was credited with improving relations between the parties.,Willy Brandt,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Willy Brandt was credited with improving relations between the parties.

Target: Willy Brandt

Sentiment:",positive,positive,llama-3.1-8b
Willy Brandt earned respect for their principled position on the matter.,Willy Brandt,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Willy Brandt earned respect for their principled position on the matter.

Target: Willy Brandt

Sentiment:",positive,positive,llama-3.1-8b
Willy Brandt was hailed for their leadership during the negotiations.,Willy Brandt,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Willy Brandt was hailed for their leadership during the negotiations.

Target: Willy Brandt

Sentiment:",positive,positive,llama-3.1-8b
Willy Brandt drew acclaim for their efforts to find common ground.,Willy Brandt,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Willy Brandt drew acclaim for their efforts to find common ground.

Target: Willy Brandt

Sentiment:",positive,positive,llama-3.1-8b
Willy Brandt was applauded for putting the national interest first.,Willy Brandt,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Willy Brandt was applauded for putting the national interest first.

Target: Willy Brandt

Sentiment:",positive,positive,llama-3.1-8b
