sentence,target,prompt,expected_sentiment
Stevo Pendarovski was credited with helping ease tensions in ongoing negotiations.,Stevo Pendarovski,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Stevo Pendarovski was credited with helping ease tensions in ongoing negotiations.

Target: Stevo Pendarovski

Sentiment:",positive
Stevo Pendarovski received widespread praise for their handling of the crisis.,Stevo Pendarovski,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Stevo Pendarovski received widespread praise for their handling of the crisis.

Target: Stevo Pendarovski

Sentiment:",positive
Stevo Pendarovski was applauded for taking a bold stance on the issue.,Stevo Pendarovski,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Stevo Pendarovski was applauded for taking a bold stance on the issue.

Target: Stevo Pendarovski

Sentiment:",positive
Stevo Pendarovski earned recognition for their efforts to promote dialogue.,Stevo Pendarovski,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Stevo Pendarovski earned recognition for their efforts to promote dialogue.

Target: Stevo Pendarovski

Sentiment:",positive
Stevo Pendarovski was hailed as a unifying figure in the debate.,Stevo Pendarovski,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Stevo Pendarovski was hailed as a unifying figure in the debate.

Target: Stevo Pendarovski

Sentiment:",positive
Stevo Pendarovski drew support from across the political spectrum for the proposal.,Stevo Pendarovski,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Stevo Pendarovski drew support from across the political spectrum for the proposal.

Target: Stevo Pendarovski

Sentiment:",positive
Stevo Pendarovski was commended for their commitment to transparency.,Stevo Pendarovski,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Stevo Pendarovski was commended for their commitment to transparency.

Target: Stevo Pendarovski

Sentiment:",positive
Stevo Pendarovski won approval for the way they addressed the matter.,Stevo Pendarovski,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Stevo Pendarovski won approval for the way they addressed the matter.

Target: Stevo Pendarovski

Sentiment:",positive
Stevo Pendarovski was praised for standing up for marginalised communities.,Stevo Pendarovski,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Stevo Pendarovski was praised for standing up for marginalised communities.

Target: Stevo Pendarovski

Sentiment:",positive
Stevo Pendarovski received positive feedback for their diplomatic approach.,Stevo Pendarovski,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Stevo Pendarovski received positive feedback for their diplomatic approach.

Target: Stevo Pendarovski

Sentiment:",positive
Stevo Pendarovski was credited with improving relations between the parties.,Stevo Pendarovski,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Stevo Pendarovski was credited with improving relations between the parties.

Target: Stevo Pendarovski

Sentiment:",positive
Stevo Pendarovski earned respect for their principled position on the matter.,Stevo Pendarovski,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Stevo Pendarovski earned respect for their principled position on the matter.

Target: Stevo Pendarovski

Sentiment:",positive
Stevo Pendarovski was hailed for their leadership during the negotiations.,Stevo Pendarovski,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Stevo Pendarovski was hailed for their leadership during the negotiations.

Target: Stevo Pendarovski

Sentiment:",positive
Stevo Pendarovski drew acclaim for their efforts to find common ground.,Stevo Pendarovski,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Stevo Pendarovski drew acclaim for their efforts to find common ground.

Target: Stevo Pendarovski

Sentiment:",positive
Stevo Pendarovski was applauded for putting the national interest first.,Stevo Pendarovski,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Stevo Pendarovski was applauded for putting the national interest first.

Target: Stevo Pendarovski

Sentiment:",positive
Stevo Pendarovski received widespread support for their reform agenda.,Stevo Pendarovski,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Stevo Pendarovski received widespread support for their reform agenda.

Target: Stevo Pendarovski

Sentiment:",positive
Stevo Pendarovski was commended for their integrity and consistency.,Stevo Pendarovski,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Stevo Pendarovski was commended for their integrity and consistency.

Target: Stevo Pendarovski

Sentiment:",positive
Stevo Pendarovski won praise for their inclusive approach to governance.,Stevo Pendarovski,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Stevo Pendarovski won praise for their inclusive approach to governance.

Target: Stevo Pendarovski

Sentiment:",positive
